Package,PDcy,PDpt
"org.eclipse.jdt.core",19,22
"org.eclipse.jdt.core.compiler",1,33
"org.eclipse.jdt.core.dom",15,4
"org.eclipse.jdt.core.dom.rewrite",2,1
"org.eclipse.jdt.core.eval",2,3
"org.eclipse.jdt.core.formatter",3,4
"org.eclipse.jdt.core.jdom",3,2
"org.eclipse.jdt.core.search",9,7
"org.eclipse.jdt.core.util",2,4
"org.eclipse.jdt.internal.antadapter",0,1
"org.eclipse.jdt.internal.codeassist",15,4
"org.eclipse.jdt.internal.codeassist.complete",9,1
"org.eclipse.jdt.internal.codeassist.impl",9,5
"org.eclipse.jdt.internal.codeassist.select",9,1
"org.eclipse.jdt.internal.compiler",11,24
"org.eclipse.jdt.internal.compiler.ast",11,22
"org.eclipse.jdt.internal.compiler.batch",7,2
"org.eclipse.jdt.internal.compiler.classfmt",8,18
"org.eclipse.jdt.internal.compiler.codegen",9,6
"org.eclipse.jdt.internal.compiler.env",4,25
"org.eclipse.jdt.internal.compiler.flow",6,4
"org.eclipse.jdt.internal.compiler.impl",8,28
"org.eclipse.jdt.internal.compiler.lookup",10,26
"org.eclipse.jdt.internal.compiler.parser",12,21
"org.eclipse.jdt.internal.compiler.parser.diagnose",7,1
"org.eclipse.jdt.internal.compiler.problem",8,23
"org.eclipse.jdt.internal.compiler.util",2,24
"org.eclipse.jdt.internal.core",27,15
"org.eclipse.jdt.internal.core.builder",11,3
"org.eclipse.jdt.internal.core.dom.rewrite",5,2
"org.eclipse.jdt.internal.core.eval",10,1
"org.eclipse.jdt.internal.core.hierarchy",18,3
"org.eclipse.jdt.internal.core.index",5,3
"org.eclipse.jdt.internal.core.jdom",10,3
"org.eclipse.jdt.internal.core.search",18,5
"org.eclipse.jdt.internal.core.search.indexing",18,7
"org.eclipse.jdt.internal.core.search.matching",21,4
"org.eclipse.jdt.internal.core.search.processing",1,6
"org.eclipse.jdt.internal.core.util",15,16
"org.eclipse.jdt.internal.eval",16,3
"org.eclipse.jdt.internal.formatter",12,4
"org.eclipse.jdt.internal.formatter.align",1,2
"org.eclipse.jdt.internal.formatter.old",5,1

