Martin packaging metrics,Sex, 27 out 2017 14:47:33 BRST
Package,A,Ca,Ce,D,I
"","0,33",1,2,"0,00","0,67"
"category","1,00",4,0,"0,00","0,00"
"com.mongodb","0,14",347,441,"0,30","0,56"
"com.mongodb.annotations","1,00",0,0,"1,00","1,00"
"com.mongodb.assertions","0,00",22,1,"0,96","0,04"
"com.mongodb.async","1,00",15,1,"0,06","0,06"
"com.mongodb.async.client","0,41",66,197,"0,16","0,75"
"com.mongodb.async.client.gridfs","0,54",21,73,"0,32","0,78"
"com.mongodb.async.client.gridfs.helpers","0,00",3,7,"0,30","0,70"
"com.mongodb.binding","0,50",51,68,"0,07","0,52"
"com.mongodb.bulk","0,20",46,21,"0,49","0,34"
"com.mongodb.client","0,86",52,41,"0,30","0,44"
"com.mongodb.client.gridfs","0,44",13,47,"0,23","0,78"
"com.mongodb.client.gridfs.codecs","0,00",3,9,"0,25","0,75"
"com.mongodb.client.gridfs.model","0,00",11,5,"0,69","0,31"
"com.mongodb.client.jndi","0,00",0,2,"0,00","1,00"
"com.mongodb.client.model","0,01",188,223,"0,45","0,42"
"com.mongodb.client.model.changestream","0,00",14,15,"0,48","0,52"
"com.mongodb.client.model.geojson","0,14",22,25,"0,33","0,53"
"com.mongodb.client.model.geojson.codecs","0,08",16,45,"0,19","0,74"
"com.mongodb.client.result","0,33",22,9,"0,38","0,14"
"com.mongodb.connection","0,25",267,549,"0,07","0,68"
"com.mongodb.connection.netty","0,00",12,25,"0,32","0,71"
"com.mongodb.diagnostics.logging","0,25",22,4,"0,60","0,15"
"com.mongodb.event","0,27",105,76,"0,31","0,42"
"com.mongodb.gridfs","0,14",6,20,"0,09","0,82"
"com.mongodb.internal","0,00",3,0,"1,00","0,00"
"com.mongodb.internal.async","0,00",4,3,"0,57","0,43"
"com.mongodb.internal.authentication","0,00",2,2,"0,50","0,50"
"com.mongodb.internal.connection","0,29",31,23,"0,28","0,42"
"com.mongodb.internal.event","0,00",8,18,"0,31","0,69"
"com.mongodb.internal.management.jmx","0,00",1,2,"0,33","0,67"
"com.mongodb.internal.thread","0,00",2,0,"1,00","0,00"
"com.mongodb.internal.validator","0,00",11,5,"0,69","0,31"
"com.mongodb.management","0,33",6,11,"0,02","0,65"
"com.mongodb.operation","0,18",142,492,"0,05","0,78"
"com.mongodb.selector","0,14",17,18,"0,34","0,51"
"com.mongodb.util","0,11",42,71,"0,26","0,53"
"org.bson","0,18",376,132,"0,56","0,24"
"org.bson.assertions","0,00",14,0,"1,00","0,00"
"org.bson.codecs","0,07",223,170,"0,50","0,45"
"org.bson.codecs.configuration","0,27",52,19,"0,46","0,26"
"org.bson.codecs.pojo","0,18",41,67,"0,20","0,63"
"org.bson.codecs.pojo.annotations","1,00",5,0,"0,00","0,00"
"org.bson.conversions","1,00",10,2,"0,17","0,17"
"org.bson.diagnostics","0,25",7,4,"0,39","0,36"
"org.bson.internal","0,00",6,0,"1,00","0,00"
"org.bson.io","0,50",27,10,"0,23","0,27"
"org.bson.json","0,05",77,93,"0,40","0,56"
"org.bson.types","0,00",62,10,"0,86","0,14"
"org.bson.util","0,32",21,18,"0,22","0,47"

