system;versioning-link
apache-ant;git://git.apache.org/ant.git
apache-tomcat;git://git.apache.org/tomcat.git
jEdit;git://gitorious.org/jedit/mirror.git
android-framework-opt-telephony;https://android.googlesource.com/platform/frameworks/opt/telephony.git
android-framework-base;https://android.googlesource.com/platform/frameworks/base.git
android-framework-support;https://android.googlesource.com/platform/frameworks/support.git
android-sdk;https://android.googlesource.com/platform/sdk.git
android-tool-base;https://android.googlesource.com/platform/tools/base.git
apache-commons-lang;https://github.com/apache/commons-lang.git
apache-cassandra;https://github.com/apache/cassandra.git
apache-commons-codec;https://github.com/apache/commons-codec.git
apache-derby;https://github.com/apache/derby.git
eclipse-core;https://github.com/eclipse/eclipse.jdt.core.git
apache-james-mime4j;https://github.com/apache/james-mime4j.git
google-guava;https://code.google.com/p/guava-libraries/
aardvark;https://github.com/vark/Aardvark.git
and-engine;https://github.com/nicolasgramlich/AndEngine.git
apache-commons-io;https://github.com/apache/commons-io.git
apache-commons-logging;https://github.com/apache/commons-logging.git
mongo-db;https://github.com/erh/mongo-jdbc.git
