Dependency metrics,Qui, 26 out 2017 16:13:13 BRST
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"AddEventRequest",0,4,50,1,2
"CalEvent",0,0,0,6,8
"CalendarController",0,6,54,0,0
"DatabaseManager",0,1,44,3,5
"DeleteEventRequest",0,2,4,1,2
"EventManager",0,2,46,3,4
"GCalendar",0,2,2,6,6
"GCalendarRequest",0,1,3,4,5
"NetworkDownException",0,0,0,3,7
"RequestManager",0,8,53,1,1
"SimpleApp",0,1,1,0,0
"SimpleMobileApp",0,1,46,0,0
"SimpleNetworkClientSample",0,1,1,0,0
"SimpleNetworkServerSample",0,1,62,0,0
"UpdateEventRequest",0,4,50,1,2
"WwdClientExample",0,1,1,0,0
"WwdEmbedded",0,1,1,0,0
"WwdUtils",0,0,0,2,2
"nserverdemo.NetworkServerUtil",0,1,62,0,0
"nserverdemo.NsSample",0,1,1,0,0
"nserverdemo.NsSampleClientThread",0,1,1,0,0
"nserverdemo.NsSampleWork",0,0,0,1,1
"org.apache.derby.PackagePrivateTestSuite",0,1,2,0,0
"org.apache.derby.authentication.SystemPrincipal",0,0,0,3,4
"org.apache.derby.catalog.GetProcedureColumns",0,8,42,0,0
"org.apache.derby.catalog.SystemProcedures",0,24,220,1,1
"org.apache.derby.catalog.TriggerNewTransitionRows",0,2,133,0,0
"org.apache.derby.catalog.TriggerOldTransitionRows",0,2,133,0,0
"org.apache.derby.catalog.types.BaseTypeIdImpl",1,9,40,1,789
"org.apache.derby.catalog.types.DecimalTypeIdImpl",0,1,1,1,790
"org.apache.derby.catalog.types.DefaultInfoImpl",0,4,18,6,98
"org.apache.derby.catalog.types.IndexDescriptorImpl",0,5,11,1,434
"org.apache.derby.catalog.types.MethodAliasInfo",0,3,3,0,0
"org.apache.derby.catalog.types.OldRoutineType",0,5,35,0,0
"org.apache.derby.catalog.types.ReferencedColumnsDescriptorImpl",0,4,4,10,45
"org.apache.derby.catalog.types.RoutineAliasInfo",0,7,36,11,435
"org.apache.derby.catalog.types.RowMultiSetImpl",3,3,33,1,824
"org.apache.derby.catalog.types.StatisticsImpl",0,4,11,4,5
