Dependency metrics,Qui, 26 out 2017 11:32:44 BRST
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.commons.io.ByteOrderMark",0,1,1,4,7
"org.apache.commons.io.CopyUtils",0,0,0,2,2
"org.apache.commons.io.DirectoryWalker",0,4,30,8,13
"org.apache.commons.io.DirectoryWalker.CancelException",0,0,0,7,14
"org.apache.commons.io.EndianUtils",0,0,0,2,3
"org.apache.commons.io.FileCleaner",0,2,34,1,1
"org.apache.commons.io.FileCleaningTracker",1,3,33,4,4
"org.apache.commons.io.FileCleaningTracker.Reaper",1,2,33,1,4
"org.apache.commons.io.FileCleaningTracker.Tracker",0,1,31,2,5
"org.apache.commons.io.FileDeleteStrategy",1,1,30,6,8
"org.apache.commons.io.FileDeleteStrategy.ForceFileDeleteStrategy",1,2,30,1,8
"org.apache.commons.io.FileExistsException",0,0,0,2,64
"org.apache.commons.io.FileSystemUtils",0,4,10,2,2
"org.apache.commons.io.FileUtils",2,12,28,23,63
"org.apache.commons.io.FilenameUtils",1,2,2,8,83
"org.apache.commons.io.HexDump",0,1,1,1,1
"org.apache.commons.io.IOCase",1,1,2,15,83
"org.apache.commons.io.IOExceptionWithCause",0,0,0,3,10
"org.apache.commons.io.IOUtils",1,3,5,21,73
"org.apache.commons.io.LineIterator",1,1,5,3,73
"org.apache.commons.io.TaggedIOException",0,1,1,5,5
"org.apache.commons.io.ThreadMonitor",0,0,0,2,4
"org.apache.commons.io.comparator.AbstractFileComparator",0,0,0,17,26
"org.apache.commons.io.comparator.CompositeFileComparator",0,2,2,1,1
"org.apache.commons.io.comparator.DefaultFileComparator",0,2,2,2,9
"org.apache.commons.io.comparator.DirectoryFileComparator",0,2,2,1,1
"org.apache.commons.io.comparator.ExtensionFileComparator",0,4,5,2,2
"org.apache.commons.io.comparator.LastModifiedFileComparator",0,2,2,1,1
"org.apache.commons.io.comparator.NameFileComparator",0,3,5,2,9
"org.apache.commons.io.comparator.PathFileComparator",0,3,5,1,1
"org.apache.commons.io.comparator.ReverseComparator",0,1,1,8,24
"org.apache.commons.io.comparator.SizeFileComparator",0,3,31,2,2
"org.apache.commons.io.filefilter.AbstractFileFilter",0,1,1,19,84
"org.apache.commons.io.filefilter.AgeFileFilter",2,2,28,1,63
"org.apache.commons.io.filefilter.AndFileFilter",0,3,3,4,66
"org.apache.commons.io.filefilter.CanReadFileFilter",0,5,6,1,1
"org.apache.commons.io.filefilter.CanWriteFileFilter",0,3,3,2,2
"org.apache.commons.io.filefilter.DelegateFileFilter",0,1,2,2,64
"org.apache.commons.io.filefilter.DirectoryFileFilter",0,2,2,3,64
"org.apache.commons.io.filefilter.EmptyFileFilter",0,4,4,1,1
"org.apache.commons.io.filefilter.FalseFileFilter",0,1,1,4,69
"org.apache.commons.io.filefilter.FileFileFilter",0,2,2,2,64
"org.apache.commons.io.filefilter.FileFilterUtils",2,17,28,8,63
"org.apache.commons.io.filefilter.HiddenFileFilter",0,3,3,3,3
"org.apache.commons.io.filefilter.MagicNumberFileFilter",0,3,8,2,64
"org.apache.commons.io.filefilter.NameFileFilter",0,3,5,5,64
"org.apache.commons.io.filefilter.NotFileFilter",0,2,2,6,68
"org.apache.commons.io.filefilter.OrFileFilter",0,3,3,5,65
"org.apache.commons.io.filefilter.PrefixFileFilter",0,3,5,2,64
"org.apache.commons.io.filefilter.RegexFileFilter",0,2,5,1,1
"org.apache.commons.io.filefilter.SizeFileFilter",0,1,2,1,64
"org.apache.commons.io.filefilter.SuffixFileFilter",0,3,5,3,64
"org.apache.commons.io.filefilter.TrueFileFilter",0,1,1,5,69
"org.apache.commons.io.filefilter.WildcardFileFilter",0,4,5,2,2
"org.apache.commons.io.filefilter.WildcardFilter",0,3,5,1,1
"org.apache.commons.io.input.AutoCloseInputStream",0,2,3,1,1
"org.apache.commons.io.input.BOMInputStream",0,3,3,2,5
"org.apache.commons.io.input.BoundedInputStream",0,1,1,1,1
"org.apache.commons.io.input.BrokenInputStream",0,0,0,2,2
"org.apache.commons.io.input.CharSequenceReader",0,1,1,1,1
"org.apache.commons.io.input.ClassLoaderObjectInputStream",0,0,0,1,1
"org.apache.commons.io.input.CloseShieldInputStream",0,2,3,1,1
"org.apache.commons.io.input.ClosedInputStream",0,0,0,5,89
"org.apache.commons.io.input.CountingInputStream",0,1,2,1,1
"org.apache.commons.io.input.DemuxInputStream",0,0,0,2,3
"org.apache.commons.io.input.NullInputStream",0,1,1,4,5
"org.apache.commons.io.input.NullReader",0,1,1,4,5
"org.apache.commons.io.input.ProxyInputStream",0,1,1,10,21
"org.apache.commons.io.input.ProxyReader",0,1,1,2,2
"org.apache.commons.io.input.ReaderInputStream",0,1,1,1,1
"org.apache.commons.io.input.SwappedDataInputStream",0,3,3,1,1
"org.apache.commons.io.input.TaggedInputStream",0,2,4,1,1
"org.apache.commons.io.input.Tailer",1,3,30,4,4
"org.apache.commons.io.input.TailerListenerAdapter",0,2,31,0,0
"org.apache.commons.io.input.TeeInputStream",0,1,2,1,1
"org.apache.commons.io.input.XmlStreamReader",0,3,5,2,3
"org.apache.commons.io.input.XmlStreamReaderException",0,0,0,1,4
"org.apache.commons.io.monitor.FilesystemEntry",2,1,8,1,7
"org.apache.commons.io.monitor.FilesystemListenerAdaptor",0,2,9,0,0
"org.apache.commons.io.monitor.FilesystemMonitor",0,1,9,1,1
"org.apache.commons.io.monitor.FilesystemObserver",2,4,8,7,7
"org.apache.commons.io.output.BrokenOutputStream",0,0,0,2,2
"org.apache.commons.io.output.ByteArrayOutputStream",0,2,2,13,82
"org.apache.commons.io.output.CloseShieldOutputStream",0,2,3,1,1
"org.apache.commons.io.output.ClosedOutputStream",0,0,0,3,4
"org.apache.commons.io.output.CountingOutputStream",0,1,2,1,1
"org.apache.commons.io.output.DeferredFileOutputStream",0,3,7,1,1
"org.apache.commons.io.output.DemuxOutputStream",0,0,0,2,3
"org.apache.commons.io.output.FileWriterWithEncoding",0,2,29,1,1
"org.apache.commons.io.output.LockableFileWriter",0,2,29,1,1
"org.apache.commons.io.output.NullOutputStream",0,0,0,5,67
"org.apache.commons.io.output.NullWriter",0,0,0,3,3
"org.apache.commons.io.output.ProxyOutputStream",0,1,1,8,13
"org.apache.commons.io.output.ProxyWriter",0,1,1,1,1
"org.apache.commons.io.output.StringBuilderWriter",0,0,0,3,76
"org.apache.commons.io.output.TaggedOutputStream",0,2,4,1,1
"org.apache.commons.io.output.TeeOutputStream",0,1,2,1,1
"org.apache.commons.io.output.ThresholdingOutputStream",0,1,1,2,2
"org.apache.commons.io.output.WriterOutputStream",0,1,1,1,1
"org.apache.commons.io.output.XmlStreamWriter",0,1,6,1,1

Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.commons.io.filefilter.ConditionalFileFilter",0,1,1,5,70
"org.apache.commons.io.filefilter.IOFileFilter",0,0,0,29,92
"org.apache.commons.io.input.TailerListener",1,1,30,4,4
"org.apache.commons.io.monitor.FilesystemListener",2,1,8,3,7

Package,PDcy,PDpt
"org.apache.commons.io",4,6
"org.apache.commons.io.comparator",2,1
"org.apache.commons.io.filefilter",2,2
"org.apache.commons.io.input",3,3
"org.apache.commons.io.monitor",3,0
"org.apache.commons.io.output",3,3

