Dependency metrics,Qui, 26 out 2017 16:48:42 BRST
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.james.mime4j.MimeException",0,0,0,25,104
"org.apache.james.mime4j.MimeIOException",0,1,1,3,57
"org.apache.james.mime4j.codec.Base64InputStream",0,3,4,7,77
"org.apache.james.mime4j.codec.Base64OutputStream",0,1,1,5,95
"org.apache.james.mime4j.codec.ByteQueue",0,1,2,2,82
"org.apache.james.mime4j.codec.CodecUtil",1,3,4,11,43
"org.apache.james.mime4j.codec.DecoderUtil",0,3,8,3,55
"org.apache.james.mime4j.codec.EncoderUtil",0,5,6,4,55
"org.apache.james.mime4j.codec.EncoderUtil.Encoding",0,0,0,2,56
"org.apache.james.mime4j.codec.EncoderUtil.Usage",0,0,0,3,56
"org.apache.james.mime4j.codec.QuotedPrintableEncoder",0,1,1,2,44
"org.apache.james.mime4j.codec.QuotedPrintableInputStream",0,1,3,8,78
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream",1,2,4,2,43
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer",0,1,1,1,83
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor",0,5,8,3,51
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor",0,7,14,2,49
"org.apache.james.mime4j.field.AbstractField",10,8,45,21,46
"org.apache.james.mime4j.field.AddressListField",10,6,45,4,46
"org.apache.james.mime4j.field.ContentDispositionField",10,5,45,5,46
"org.apache.james.mime4j.field.ContentTransferEncodingField",10,5,45,6,46
"org.apache.james.mime4j.field.ContentTypeField",10,5,45,7,46
"org.apache.james.mime4j.field.DateTimeField",10,5,45,4,46
"org.apache.james.mime4j.field.DefaultFieldParser",10,10,45,1,46
"org.apache.james.mime4j.field.DelegatingFieldParser",10,4,45,2,46
"org.apache.james.mime4j.field.FieldName",0,0,0,5,47
"org.apache.james.mime4j.field.Fields",0,18,46,3,29
"org.apache.james.mime4j.field.MailboxField",10,8,45,4,46
"org.apache.james.mime4j.field.MailboxListField",10,7,45,4,46
"org.apache.james.mime4j.field.ParseException",0,1,1,10,88
"org.apache.james.mime4j.field.UnstructuredField",10,5,45,5,46
"org.apache.james.mime4j.field.address.Address",5,3,22,8,53
"org.apache.james.mime4j.field.address.AddressList",5,5,22,7,53
"org.apache.james.mime4j.field.address.Builder",5,8,22,3,53
"org.apache.james.mime4j.field.address.Builder.ChildNodeIterator",0,0,0,1,54
"org.apache.james.mime4j.field.address.DomainList",0,0,0,3,54
"org.apache.james.mime4j.field.address.Group",5,4,22,4,53
"org.apache.james.mime4j.field.address.Mailbox",5,5,22,11,53
"org.apache.james.mime4j.field.address.MailboxList",5,2,22,8,53
"org.apache.james.mime4j.field.address.parser.BaseNode",0,0,0,0,0
"org.apache.james.mime4j.field.address.parser.ParseException",0,2,3,7,54
"org.apache.james.mime4j.field.contentdisposition.parser.ParseException",0,2,3,1,1
"org.apache.james.mime4j.field.contenttype.parser.ParseException",0,2,3,2,48
"org.apache.james.mime4j.field.datetime.DateTime",0,0,0,2,50
"org.apache.james.mime4j.field.datetime.parser.ParseException",0,2,3,3,69
"org.apache.james.mime4j.field.language.parser.ParseException",0,2,3,0,0
"org.apache.james.mime4j.field.mimeversion.parser.ParseException",0,2,3,1,1
"org.apache.james.mime4j.field.structured.parser.ParseException",0,2,3,0,0
"org.apache.james.mime4j.io.BufferedLineReaderInputStream",0,4,8,7,52
"org.apache.james.mime4j.io.EOLConvertingInputStream",0,0,0,1,1
"org.apache.james.mime4j.io.LimitedInputStream",0,1,1,2,49
"org.apache.james.mime4j.io.LineNumberInputStream",0,1,1,3,48
"org.apache.james.mime4j.io.LineReaderInputStream",0,1,4,7,56
"org.apache.james.mime4j.io.LineReaderInputStreamAdaptor",0,3,8,2,49
"org.apache.james.mime4j.io.MaxHeaderLimitException",0,1,1,2,49
"org.apache.james.mime4j.io.MaxLineLimitException",0,1,2,6,56
"org.apache.james.mime4j.io.MimeBoundaryInputStream",0,4,9,2,49
"org.apache.james.mime4j.io.PositionInputStream",0,0,0,3,51
"org.apache.james.mime4j.message.BinaryBody",14,1,109,4,27
"org.apache.james.mime4j.message.BodyCopier",14,4,109,1,27
"org.apache.james.mime4j.message.BodyFactory",14,10,109,4,27
"org.apache.james.mime4j.message.BodyPart",14,1,109,8,27
"org.apache.james.mime4j.message.Entity",14,14,109,15,27
"org.apache.james.mime4j.message.Header",0,4,48,11,29
"org.apache.james.mime4j.message.Message",14,23,109,12,27
"org.apache.james.mime4j.message.MessageBuilder",14,19,109,1,27
"org.apache.james.mime4j.message.MessageWriter",14,16,109,3,27
"org.apache.james.mime4j.message.Multipart",14,5,109,9,27
"org.apache.james.mime4j.message.SimpleContentHandler",0,10,78,0,0
"org.apache.james.mime4j.message.SingleBody",14,2,109,6,27
"org.apache.james.mime4j.message.StorageBinaryBody",14,3,109,2,27
