Complexity metrics,Qui, 26 out 2017 14:55:36 BRST
Method,ev(G),iv(G),v(G)
"org.apache.commons.logging.LogConfigurationException.LogConfigurationException()",1,1,1
"org.apache.commons.logging.LogConfigurationException.LogConfigurationException(String)",1,1,1
"org.apache.commons.logging.LogConfigurationException.LogConfigurationException(String,Throwable)",1,1,1
"org.apache.commons.logging.LogConfigurationException.LogConfigurationException(Throwable)",1,2,2
"org.apache.commons.logging.LogConfigurationException.getCause()",1,1,1
"org.apache.commons.logging.LogFactory.LogFactory()",1,1,1
"org.apache.commons.logging.LogFactory.cacheFactory(ClassLoader,LogFactory)",1,3,3
"org.apache.commons.logging.LogFactory.createFactory(String,ClassLoader)",6,18,20
"org.apache.commons.logging.LogFactory.createFactoryStore()",1,4,6
"org.apache.commons.logging.LogFactory.directGetContextClassLoader()",2,4,5
"org.apache.commons.logging.LogFactory.getCachedFactory(ClassLoader)",1,2,2
"org.apache.commons.logging.LogFactory.getClassLoader(Class)",1,3,3
"org.apache.commons.logging.LogFactory.getConfigurationFile(ClassLoader,String)",2,14,15
"org.apache.commons.logging.LogFactory.getContextClassLoader()",1,1,1
"org.apache.commons.logging.LogFactory.getFactory()",2,35,38
"org.apache.commons.logging.LogFactory.getLog(Class)",1,1,1
"org.apache.commons.logging.LogFactory.getLog(String)",1,1,1
"org.apache.commons.logging.LogFactory.getProperties(URL)",2,4,4
"org.apache.commons.logging.LogFactory.getResourceAsStream(ClassLoader,String)",2,2,2
"org.apache.commons.logging.LogFactory.getResources(ClassLoader,String)",2,4,5
"org.apache.commons.logging.LogFactory.implementsLogFactory(Class)",1,7,7
"org.apache.commons.logging.LogFactory.initDiagnostics()",4,3,8
"org.apache.commons.logging.LogFactory.isDiagnosticsEnabled()",1,1,1
"org.apache.commons.logging.LogFactory.logClassLoaderEnvironment(Class)",2,3,4
"org.apache.commons.logging.LogFactory.logDiagnostic(String)",1,2,2
"org.apache.commons.logging.LogFactory.logHierarchy(String,ClassLoader)",5,8,9
"org.apache.commons.logging.LogFactory.logRawDiagnostic(String)",1,2,2
"org.apache.commons.logging.LogFactory.newFactory(String,ClassLoader)",1,1,1
"org.apache.commons.logging.LogFactory.newFactory(String,ClassLoader,ClassLoader)",2,4,4
"org.apache.commons.logging.LogFactory.objectId(Object)",2,2,2
"org.apache.commons.logging.LogFactory.release(ClassLoader)",1,5,5
"org.apache.commons.logging.LogFactory.releaseAll()",1,4,4
"org.apache.commons.logging.LogSource.LogSource()",1,1,1
"org.apache.commons.logging.LogSource.getInstance(Class)",1,1,1
"org.apache.commons.logging.LogSource.getInstance(String)",1,2,2
"org.apache.commons.logging.LogSource.getLogNames()",1,1,1
"org.apache.commons.logging.LogSource.makeNewLogInstance(String)",1,1,3
"org.apache.commons.logging.LogSource.setLogImplementation(Class)",1,1,1
"org.apache.commons.logging.LogSource.setLogImplementation(String)",1,1,2
"org.apache.commons.logging.impl.AvalonLogger.AvalonLogger(Logger)",1,1,1
"org.apache.commons.logging.impl.AvalonLogger.AvalonLogger(String)",2,1,2
"org.apache.commons.logging.impl.AvalonLogger.debug(Object)",1,2,2
"org.apache.commons.logging.impl.AvalonLogger.debug(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.AvalonLogger.error(Object)",1,2,2
"org.apache.commons.logging.impl.AvalonLogger.error(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.AvalonLogger.fatal(Object)",1,2,2
"org.apache.commons.logging.impl.AvalonLogger.fatal(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.AvalonLogger.getLogger()",1,1,1
