SmellsMetrics,Ter, 12 jun 2018 11:18:04 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"null.accept(File,String)",3,0,n/a,5,0,2,1,3
"null.allowsInnerResources()",0,1,n/a,3,0,0,1,1
"null.compare(DynamicRenderingKey,DynamicRenderingKey)",3,0,n/a,3,0,2,1,1
"null.getContentType()",0,3,n/a,3,0,0,1,1
"null.getDescription()",0,0,n/a,3,0,0,1,1
"null.getFileBaseName()",0,8,n/a,3,0,0,1,1
"null.getFileExtension()",0,11,n/a,3,0,0,1,1
"null.getName()",0,3,n/a,3,0,0,1,1
"null.getProductionType()",0,14,n/a,3,0,0,1,1
"null.getTitle()",0,1,n/a,3,0,0,1,1
"null.isCacheable()",0,2,n/a,3,0,0,1,1
"null.isInvariantAsInnerResource()",0,2,n/a,3,0,0,1,1
"null.isVariable()",0,4,n/a,3,0,0,1,1
"null.mapRow(ResultSet,int)",6,0,n/a,6,0,2,4,1
"uk.ac.ed.ph.aardvark.cms.editors.BinaryTimeToThinkEditingStrategy.createSourceResourceTemplate()",1,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.BinaryTimeToThinkEditingStrategy.doTextSearchAndReplaceOnSourceResource(BinaryTimeToThinkSource,ResourceName,SearchAndReplaceMapper)",21,1,n/a,19,1,3,16,2
"uk.ac.ed.ph.aardvark.cms.editors.BinaryTimeToThinkEditingStrategy.getSourceResourceClass()",0,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.BinaryTimeToThinkEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CheckpointEditingStrategy.createSourceResourceTemplate()",1,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CheckpointEditingStrategy.doTextSearchAndReplaceOnSourceResource(CheckpointSource,ResourceName,SearchAndReplaceMapper)",11,1,n/a,12,1,3,8,2
"uk.ac.ed.ph.aardvark.cms.editors.CheckpointEditingStrategy.getSourceResourceClass()",0,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CheckpointEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.createResourceTemplate()",3,2,n/a,5,0,0,3,1
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.doLinkIdSearchAndReplace(String,List<NodeLinkId>,SearchAndReplaceMapper)",6,2,n/a,6,1,3,4,2
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.doTextSearchAndReplace(Serializable,ResourceName,SearchAndReplaceMapper)",9,2,n/a,17,1,3,12,3
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.getSerializableReaderCallback(ResourceType)",4,3,n/a,10,1,1,5,3
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.includeResourceInMap(ResourceName)",0,1,n/a,3,0,1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.serializeResourceObject(Serializable,ResourceType,FileOutputStream)",5,1,n/a,15,2,3,7,3
"uk.ac.ed.ph.aardvark.cms.editors.CourseEditingStrategy.createSourceResourceTemplate()",0,2,n/a,7,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CourseEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CustomJavaEditingStrategy.createSourceResourceTemplate()",1,2,n/a,4,0,0,1,1
