SmellsMetrics,Ter, 12 jun 2018 14:14:32 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"null.call(IEntity)",2,8,n/a,5,0,1,2,1
"null.check(String,String)",1,1,n/a,4,0,2,1,1
"null.check(byte,byte)",0,0,n/a,4,0,2,1,1
"null.check(char,char)",0,0,n/a,4,0,2,1,1
"null.check(double,double)",0,0,n/a,4,0,2,1,1
"null.check(float,float)",0,0,n/a,4,0,2,1,1
"null.check(int,int)",0,1,n/a,4,0,2,1,1
"null.check(long,long)",0,0,n/a,4,0,2,1,1
"null.check(short,short)",0,0,n/a,4,0,2,1,1
"null.compare(IEntity,IEntity)",2,0,n/a,4,0,2,1,1
"null.compare(IModifier<?>,IModifier<?>)",2,0,n/a,12,1,2,7,3
"null.compare(TextureAtlasSourceWithWithLocationCallback<?>,TextureAtlasSourceWithWithLocationCallback<?>)",8,0,n/a,9,1,2,4,2
"null.matches(int,int,int,int,int,int)",0,1,n/a,4,0,6,1,1
"null.onAllocatePoolItem()",1,4,n/a,4,0,0,1,1
"null.onHandleRecycleItem(IntLRUCacheQueueNode)",0,2,n/a,6,0,1,3,1
"null.onHandleRecycleItem(IntLRUCacheValueHolder<V>)",0,2,n/a,5,0,1,2,1
"null.onHandleRecycleItem(LRUCacheQueueNode<K>)",0,2,n/a,6,0,1,3,1
"null.onHandleRecycleItem(LRUCacheValueHolder<K, V>)",0,2,n/a,5,0,1,2,1
"null.swapAxis(float[])",0,1,n/a,7,0,1,4,1
"org.andengine.AndEngine.checkCodePathSupport()",3,1,n/a,9,2,0,4,3
"org.andengine.AndEngine.checkDeviceSupported()",2,1,n/a,4,0,0,2,1
"org.andengine.AndEngine.checkEGLConfigChooserSupport()",6,1,n/a,15,1,0,8,2
"org.andengine.AndEngine.checkOpenGLSupport()",1,1,n/a,3,0,0,1,1
"org.andengine.AndEngine.isDeviceSupported()",1,0,n/a,8,1,0,4,2
"org.andengine.audio.BaseAudioEntity.BaseAudioEntity(IAudioManager<? extends IAudioEntity>)",0,2,n/a,3,0,1,1,1
"org.andengine.audio.BaseAudioEntity.assertNotReleased()",1,24,n/a,5,1,0,2,2
"org.andengine.audio.BaseAudioEntity.getActualLeftVolume()",2,0,n/a,4,0,0,2,1
"org.andengine.audio.BaseAudioEntity.getActualRightVolume()",2,0,n/a,4,0,0,2,1
"org.andengine.audio.BaseAudioEntity.getAudioManager()",1,2,n/a,4,0,0,2,1
"org.andengine.audio.BaseAudioEntity.getLeftVolume()",1,0,n/a,5,0,0,2,1
"org.andengine.audio.BaseAudioEntity.getMasterVolume()",2,4,n/a,4,0,0,2,1
"org.andengine.audio.BaseAudioEntity.getRightVolume()",1,0,n/a,5,0,0,2,1
"org.andengine.audio.BaseAudioEntity.getVolume()",1,0,n/a,5,0,0,2,1
"org.andengine.audio.BaseAudioEntity.isReleased()",0,0,n/a,3,0,0,1,1
"org.andengine.audio.BaseAudioEntity.onMasterVolumeChanged(float)",1,1,n/a,4,0,1,1,1
"org.andengine.audio.BaseAudioEntity.pause()",1,2,n/a,4,0,0,1,1
"org.andengine.audio.BaseAudioEntity.play()",1,2,n/a,4,0,0,1,1
"org.andengine.audio.BaseAudioEntity.release()",1,3,n/a,5,0,0,2,1
"org.andengine.audio.BaseAudioEntity.resume()",1,2,n/a,4,0,0,1,1
"org.andengine.audio.BaseAudioEntity.setLooping(boolean)",1,2,n/a,4,0,1,1,1
"org.andengine.audio.BaseAudioEntity.setVolume(float)",2,0,n/a,5,0,1,2,1
"org.andengine.audio.BaseAudioEntity.setVolume(float,float)",1,3,n/a,6,0,2,3,1
