SmellMetrics,Ter, 12 jun 2018 18:01:07 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"com.android.annotations.VisibleForTesting.visibility()",n/a,27,0,n/a,n/a,0,n/a,n/a
"com.android.io.FileWrapper.FileWrapper(File)",2,2,n/a,7,0,1,1,1
"com.android.io.FileWrapper.FileWrapper(File,String)",1,11,n/a,10,0,2,1,1
"com.android.io.FileWrapper.FileWrapper(String)",1,2,n/a,10,0,1,1,1
"com.android.io.FileWrapper.FileWrapper(String,String)",1,11,n/a,10,0,2,1,1
"com.android.io.FileWrapper.FileWrapper(URI)",1,2,n/a,11,0,1,1,1
"com.android.io.FileWrapper.exists()",1,0,n/a,4,0,0,1,1
"com.android.io.FileWrapper.getContents()",2,0,n/a,7,1,0,3,2
"com.android.io.FileWrapper.getModificationStamp()",1,0,n/a,3,0,0,1,1
"com.android.io.FileWrapper.getOsLocation()",1,0,n/a,3,0,0,1,1
"com.android.io.FileWrapper.getOutputStream()",2,0,n/a,7,1,0,3,2
"com.android.io.FileWrapper.getParentFolder()",2,0,n/a,7,1,0,4,2
"com.android.io.FileWrapper.getPreferredWriteMode()",0,0,n/a,3,0,0,1,1
"com.android.io.FileWrapper.setContents(InputStream)",6,0,n/a,21,3,1,12,5
"com.android.io.FolderWrapper.FolderWrapper(File)",2,8,n/a,7,0,1,1,1
"com.android.io.FolderWrapper.FolderWrapper(File,String)",1,1,n/a,10,0,2,1,1
"com.android.io.FolderWrapper.FolderWrapper(String)",1,8,n/a,10,0,1,1,1
"com.android.io.FolderWrapper.FolderWrapper(String,String)",1,1,n/a,10,0,2,1,1
"com.android.io.FolderWrapper.FolderWrapper(URI)",1,8,n/a,11,0,1,1,1
"com.android.io.FolderWrapper.exists()",1,2,n/a,4,0,0,1,1
"com.android.io.FolderWrapper.getFile(String)",1,0,n/a,3,0,1,1,1
"com.android.io.FolderWrapper.getFolder(String)",1,0,n/a,3,0,1,1,1
"com.android.io.FolderWrapper.getOsLocation()",1,0,n/a,3,0,0,1,1
"com.android.io.FolderWrapper.getParentFolder()",2,0,n/a,7,1,0,4,2
"com.android.io.FolderWrapper.hasFile(String)",3,0,n/a,3,2,1,3,1
"com.android.io.FolderWrapper.list(FilenameFilter)",8,1,n/a,13,3,1,8,5
"com.android.io.FolderWrapper.listMembers()",5,0,n/a,16,3,0,13,6
"com.android.io.IAbstractFile.getContents()",n/a,14,1,n/a,n/a,0,n/a,n/a
"com.android.io.IAbstractFile.getModificationStamp()",n/a,1,1,n/a,n/a,0,n/a,n/a
"com.android.io.IAbstractFile.getOutputStream()",n/a,1,1,n/a,n/a,0,n/a,n/a
"com.android.io.IAbstractFile.getPreferredWriteMode()",n/a,0,1,n/a,n/a,0,n/a,n/a
"com.android.io.IAbstractFile.setContents(InputStream)",n/a,0,1,n/a,n/a,1,n/a,n/a
"com.android.io.IAbstractFolder.FilenameFilter.accept(IAbstractFolder,String)",n/a,1,0,n/a,n/a,2,n/a,n/a
"com.android.io.IAbstractFolder.getFile(String)",n/a,4,1,n/a,n/a,1,n/a,n/a
"com.android.io.IAbstractFolder.getFolder(String)",n/a,1,1,n/a,n/a,1,n/a,n/a
"com.android.io.IAbstractFolder.hasFile(String)",n/a,1,1,n/a,n/a,1,n/a,n/a
"com.android.io.IAbstractFolder.list(FilenameFilter)",n/a,0,1,n/a,n/a,1,n/a,n/a
"com.android.io.IAbstractFolder.listMembers()",n/a,2,1,n/a,n/a,0,n/a,n/a
"com.android.io.IAbstractResource.exists()",n/a,0,0,n/a,n/a,0,n/a,n/a
"com.android.io.IAbstractResource.getName()",n/a,0,0,n/a,n/a,0,n/a,n/a
"com.android.io.IAbstractResource.getOsLocation()",n/a,0,0,n/a,n/a,0,n/a,n/a
"com.android.io.IAbstractResource.getParentFolder()",n/a,0,0,n/a,n/a,0,n/a,n/a
"com.android.io.StreamException.StreamException(Exception)",1,2,n/a,3,0,1,1,1
"com.android.resources.Density.Density(String,String,int)",0,6,n/a,5,0,3,3,1
"com.android.resources.Density.getByIndex(int)",1,1,n/a,10,2,1,6,3
"com.android.resources.Density.getDpiValue()",0,21,n/a,3,0,0,1,1
"com.android.resources.Density.getEnum(String)",2,1,n/a,13,2,1,4,3
"com.android.resources.Density.getEnum(int)",1,0,n/a,13,2,1,4,3
"com.android.resources.Density.getIndex(Density)",1,1,n/a,10,2,1,6,3
"com.android.resources.Density.getLegacyValue()",2,0,n/a,6,1,0,3,2
"com.android.resources.Density.getLongDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.Density.getResourceValue()",0,16,n/a,3,0,0,1,1
"com.android.resources.Density.getShortDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.Density.isFakeValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.Density.isValidValueForDevice()",0,1,n/a,3,0,0,1,1
"com.android.resources.FolderTypeRelationship.add(ResourceType,ResourceFolderType)",10,27,n/a,26,1,2,12,5
"com.android.resources.FolderTypeRelationship.getRelatedFolders(ResourceType)",2,6,n/a,13,1,1,4,2
"com.android.resources.FolderTypeRelationship.getRelatedResourceTypes(ResourceFolderType)",2,5,n/a,13,1,1,4,2
"com.android.resources.FolderTypeRelationship.makeSafe()",8,1,n/a,19,2,0,8,5
"com.android.resources.FolderTypeRelationship.match(ResourceType,ResourceFolderType)",2,1,n/a,14,1,2,4,2
"com.android.resources.Keyboard.Keyboard(String,String,String,String)",0,3,n/a,7,0,4,4,1
"com.android.resources.Keyboard.getByIndex(int)",1,1,n/a,10,2,1,6,3
"com.android.resources.Keyboard.getEnum(String)",3,3,n/a,14,2,1,4,5
"com.android.resources.Keyboard.getIndex(Keyboard)",1,1,n/a,10,2,1,6,3
"com.android.resources.Keyboard.getLongDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.Keyboard.getResourceValue()",0,2,n/a,3,0,0,1,1
"com.android.resources.Keyboard.getShortDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.Keyboard.isFakeValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.Keyboard.isValidValueForDevice()",0,0,n/a,3,0,0,1,1
"com.android.resources.KeyboardState.KeyboardState(String,String,String)",0,3,n/a,5,0,3,3,1
"com.android.resources.KeyboardState.getByIndex(int)",1,1,n/a,10,2,1,6,3
"com.android.resources.KeyboardState.getEnum(String)",2,2,n/a,13,2,1,4,3
"com.android.resources.KeyboardState.getIndex(KeyboardState)",1,1,n/a,10,2,1,6,3
"com.android.resources.KeyboardState.getLongDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.KeyboardState.getResourceValue()",0,4,n/a,3,0,0,1,1
"com.android.resources.KeyboardState.getShortDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.KeyboardState.isFakeValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.KeyboardState.isValidValueForDevice()",0,0,n/a,3,0,0,1,1
"com.android.resources.Navigation.Navigation(String,String,String)",0,4,n/a,5,0,3,3,1
"com.android.resources.Navigation.getByIndex(int)",1,1,n/a,10,2,1,6,3
"com.android.resources.Navigation.getEnum(String)",2,3,n/a,13,2,1,4,3
"com.android.resources.Navigation.getIndex(Navigation)",1,1,n/a,10,2,1,6,3
"com.android.resources.Navigation.getLongDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.Navigation.getResourceValue()",0,2,n/a,3,0,0,1,1
"com.android.resources.Navigation.getShortDisplayValue()",0,0,n/a,3,0,0,1,1
