SmellsMetrics,Ter, 12 jun 2018 14:16:31 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoCompat()",0,0,n/a,5,0,0,0,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl.getCanRetrieveWindowContent(AccessibilityServiceInfo)",1,1,n/a,4,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl.getDescription(AccessibilityServiceInfo)",1,1,n/a,4,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl.getId(AccessibilityServiceInfo)",1,1,n/a,4,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl.getResolveInfo(AccessibilityServiceInfo)",1,1,n/a,4,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl.getSettingsActivityName(AccessibilityServiceInfo)",1,1,n/a,4,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl.getCanRetrieveWindowContent(AccessibilityServiceInfo)",0,1,n/a,3,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl.getDescription(AccessibilityServiceInfo)",0,1,n/a,3,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl.getId(AccessibilityServiceInfo)",0,1,n/a,3,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl.getResolveInfo(AccessibilityServiceInfo)",0,1,n/a,3,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl.getSettingsActivityName(AccessibilityServiceInfo)",0,1,n/a,3,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoVersionImpl.getCanRetrieveWindowContent(AccessibilityServiceInfo)",n/a,1,2,n/a,n/a,1,n/a,n/a
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoVersionImpl.getDescription(AccessibilityServiceInfo)",n/a,1,2,n/a,n/a,1,n/a,n/a
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoVersionImpl.getId(AccessibilityServiceInfo)",n/a,1,2,n/a,n/a,1,n/a,n/a
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoVersionImpl.getResolveInfo(AccessibilityServiceInfo)",n/a,1,2,n/a,n/a,1,n/a,n/a
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoVersionImpl.getSettingsActivityName(AccessibilityServiceInfo)",n/a,1,2,n/a,n/a,1,n/a,n/a
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.feedbackTypeToString(int)",12,0,n/a,38,2,1,25,8
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.flagToString(int)",0,0,n/a,16,1,1,5,3
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getCanRetrieveWindowContent(AccessibilityServiceInfo)",1,0,n/a,12,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getDescription(AccessibilityServiceInfo)",1,0,n/a,12,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getId(AccessibilityServiceInfo)",1,0,n/a,11,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getResolveInfo(AccessibilityServiceInfo)",1,0,n/a,11,0,1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getSettingsActivityName(AccessibilityServiceInfo)",1,0,n/a,12,0,1,1,1
"android.support.v4.app.ActivityCompat.invalidateOptionsMenu(Activity)",1,1,n/a,39,1,1,4,2
"android.support.v4.app.BackStackRecord.BackStackRecord(FragmentManagerImpl)",0,2,n/a,3,0,1,1,1
"android.support.v4.app.BackStackRecord.add(Fragment,String)",1,4,n/a,4,0,2,2,1
"android.support.v4.app.BackStackRecord.add(int,Fragment)",1,1,n/a,4,0,2,2,1
"android.support.v4.app.BackStackRecord.add(int,Fragment,String)",1,4,n/a,4,0,3,2,1
"android.support.v4.app.BackStackRecord.addOp(Op)",0,7,n/a,14,1,1,10,2
"android.support.v4.app.BackStackRecord.addToBackStack(String)",1,6,n/a,9,1,1,5,2
"android.support.v4.app.BackStackRecord.attach(Fragment)",2,1,n/a,7,0,1,5,1
"android.support.v4.app.BackStackRecord.bumpBackStackNesting(int)",5,3,n/a,24,3,1,19,9
"android.support.v4.app.BackStackRecord.commit()",1,7,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.commitAllowingStateLoss()",1,5,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.commitInternal(boolean)",4,2,n/a,12,1,1,10,4
"android.support.v4.app.BackStackRecord.detach(Fragment)",2,3,n/a,7,0,1,5,1
"android.support.v4.app.BackStackRecord.disallowAddToBackStack()",1,0,n/a,8,1,0,4,2
"android.support.v4.app.BackStackRecord.doAddOp(int,Fragment,String,int)",5,4,n/a,23,2,4,13,7
"android.support.v4.app.BackStackRecord.dump(String,FileDescriptor,PrintWriter,String[])",77,1,n/a,73,5,4,79,20
"android.support.v4.app.BackStackRecord.getBreadCrumbShortTitle()",1,0,n/a,6,1,0,3,2
"android.support.v4.app.BackStackRecord.getBreadCrumbShortTitleRes()",0,0,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.getBreadCrumbTitle()",1,0,n/a,6,1,0,3,2
"android.support.v4.app.BackStackRecord.getBreadCrumbTitleRes()",0,0,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.getId()",0,1,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.getName()",0,2,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.getTransition()",0,0,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.getTransitionStyle()",0,0,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.hide(Fragment)",2,0,n/a,7,0,1,5,1
"android.support.v4.app.BackStackRecord.isAddToBackStackAllowed()",0,0,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.isEmpty()",0,0,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.popFromBackStack(boolean)",22,1,n/a,73,5,1,57,16
"android.support.v4.app.BackStackRecord.remove(Fragment)",2,3,n/a,7,0,1,5,1
"android.support.v4.app.BackStackRecord.replace(int,Fragment)",1,0,n/a,3,0,2,1,1
"android.support.v4.app.BackStackRecord.replace(int,Fragment,String)",2,2,n/a,7,1,3,4,2
