Complexity metrics,Ter, 24 out 2017 17:17:05 BRST
Method,ev(G),iv(G),v(G)
"com.android.SdkConstants.androidCmdName()",1,1,2
"com.android.SdkConstants.currentPlatform()",4,3,4
"com.android.SdkConstants.currentPlatformName()",4,3,4
"com.android.SdkConstants.ext(String,String)",2,1,2
"com.android.SdkConstants.mkSdCardCmdName()",1,1,2
"com.android.assetstudiolib.ActionBarIconGenerator.ActionBarIconGenerator()",1,1,1
"com.android.assetstudiolib.ActionBarIconGenerator.generate(GraphicGeneratorContext,Options)",1,2,3
"com.android.assetstudiolib.GraphicGenerator.Shape.Shape(String)",1,1,1
"com.android.assetstudiolib.GraphicGenerator.Style.Style(String)",1,1,1
"com.android.assetstudiolib.GraphicGenerator.generate(String,Map<String, Map<String, BufferedImage>>,GraphicGeneratorContext,Options,String)",4,5,8
"com.android.assetstudiolib.GraphicGenerator.getClipartIcon(String)",1,1,1
"com.android.assetstudiolib.GraphicGenerator.getClipartImage(String)",1,1,1
"com.android.assetstudiolib.GraphicGenerator.getClipartNames()",3,6,7
"com.android.assetstudiolib.GraphicGenerator.getIconFolder(Options)",1,1,1
"com.android.assetstudiolib.GraphicGenerator.getIconName(Options,String)",1,1,1
"com.android.assetstudiolib.GraphicGenerator.getIconPath(Options,String)",1,1,1
"com.android.assetstudiolib.GraphicGenerator.getMdpiScaleFactor(Density)",1,1,1
"com.android.assetstudiolib.GraphicGenerator.getStencilImage(String)",1,1,1
"com.android.assetstudiolib.LauncherIconGenerator.generate(GraphicGeneratorContext,Options)",1,7,8
"com.android.assetstudiolib.LauncherIconGenerator.generate(String,Map<String, Map<String, BufferedImage>>,GraphicGeneratorContext,Options,String)",1,3,3
"com.android.assetstudiolib.LauncherIconGenerator.getIconPath(Options,String)",2,1,2
"com.android.assetstudiolib.MenuIconGenerator.MenuIconGenerator()",1,1,1
"com.android.assetstudiolib.MenuIconGenerator.generate(GraphicGeneratorContext,Options)",1,1,1
"com.android.assetstudiolib.NotificationIconGenerator.NotificationIconGenerator()",1,1,1
"com.android.assetstudiolib.NotificationIconGenerator.Version.Version(String)",1,1,1
