Dependency metrics,Qua, 25 out 2017 18:00:40 BRST
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.commons.codec.CharEncoding",0,0,0,12,39
"org.apache.commons.codec.DecoderException",0,0,0,22,42
"org.apache.commons.codec.EncoderException",0,0,0,37,66
"org.apache.commons.codec.StringEncoderComparator",0,3,3,1,1
"org.apache.commons.codec.binary.Base32",0,3,10,5,5
"org.apache.commons.codec.binary.Base32InputStream",0,2,12,1,1
"org.apache.commons.codec.binary.Base32OutputStream",0,2,12,1,1
"org.apache.commons.codec.binary.Base64",0,3,10,8,9
"org.apache.commons.codec.binary.Base64InputStream",0,2,12,1,1
"org.apache.commons.codec.binary.Base64OutputStream",0,2,12,1,1
"org.apache.commons.codec.binary.BaseNCodec",0,6,9,12,20
"org.apache.commons.codec.binary.BaseNCodecInputStream",0,2,10,4,4
"org.apache.commons.codec.binary.BaseNCodecOutputStream",0,2,10,4,4
"org.apache.commons.codec.binary.BinaryCodec",0,5,7,1,1
"org.apache.commons.codec.binary.Hex",0,7,9,3,4
"org.apache.commons.codec.binary.StringUtils",0,1,1,16,37
"org.apache.commons.codec.digest.DigestUtils",0,2,10,1,1
"org.apache.commons.codec.language.AbstractCaverphone",0,2,3,4,4
"org.apache.commons.codec.language.Caverphone1",0,1,4,1,1
"org.apache.commons.codec.language.Caverphone2",0,1,4,1,1
"org.apache.commons.codec.language.ColognePhonetic",0,6,7,1,1
"org.apache.commons.codec.language.ColognePhonetic.CologneBuffer",0,1,1,3,4
"org.apache.commons.codec.language.ColognePhonetic.CologneInputBuffer",0,2,2,1,2
"org.apache.commons.codec.language.ColognePhonetic.CologneOutputBuffer",0,1,2,1,2
"org.apache.commons.codec.language.DoubleMetaphone",1,3,4,4,4
"org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult",1,1,4,1,4
"org.apache.commons.codec.language.Metaphone",0,3,4,1,1
"org.apache.commons.codec.language.RefinedSoundex",0,4,5,1,1
"org.apache.commons.codec.language.Soundex",0,4,5,2,2
"org.apache.commons.codec.language.SoundexUtils",0,2,3,3,5
"org.apache.commons.codec.language.bm.BeiderMorseEncoder",0,5,13,1,1
"org.apache.commons.codec.language.bm.Lang",0,5,5,3,6
"org.apache.commons.codec.language.bm.Lang.LangRule",0,0,0,1,7
"org.apache.commons.codec.language.bm.Languages",0,2,2,4,9
"org.apache.commons.codec.language.bm.NameType",0,0,0,8,10
"org.apache.commons.codec.language.bm.PhoneticEngine",1,7,9,3,4
"org.apache.commons.codec.language.bm.PhoneticEngine.RulesApplication",1,2,9,1,4
"org.apache.commons.codec.language.bm.ResourceConstants",0,0,0,3,10
"org.apache.commons.codec.language.bm.Rule",0,5,5,4,6
"org.apache.commons.codec.language.bm.RuleType",0,0,0,5,7
"org.apache.commons.codec.net.BCodec",0,7,14,1,1
"org.apache.commons.codec.net.QCodec",0,8,15,1,1
"org.apache.commons.codec.net.QuotedPrintableCodec",0,10,13,2,3
"org.apache.commons.codec.net.RFC1522Codec",0,3,4,4,6
"org.apache.commons.codec.net.URLCodec",1,10,12,2,7
"org.apache.commons.codec.net.Utils",1,2,12,3,7

Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.commons.codec.BinaryDecoder",0,2,2,6,35
"org.apache.commons.codec.BinaryEncoder",0,2,2,7,36
"org.apache.commons.codec.Decoder",0,1,1,3,37
"org.apache.commons.codec.Encoder",0,1,1,5,61
"org.apache.commons.codec.StringDecoder",0,2,2,4,10
"org.apache.commons.codec.StringEncoder",0,2,2,23,33

Package,PDcy,PDpt
"org.apache.commons.codec",1,4
"org.apache.commons.codec.binary",1,2
"org.apache.commons.codec.digest",1,0
"org.apache.commons.codec.language",1,1
"org.apache.commons.codec.language.bm",1,0
"org.apache.commons.codec.net",2,0

