Complexity metrics,Qui, 26 out 2017 16:49:18 BRST
Method,ev(G),iv(G),v(G)
"null.initialValue()",1,1,1
"null.parse(String,String,ByteSequence)",1,1,1
"org.apache.james.mime4j.MimeException.MimeException(String)",1,1,1
"org.apache.james.mime4j.MimeException.MimeException(String,Throwable)",1,1,1
"org.apache.james.mime4j.MimeException.MimeException(Throwable)",1,1,1
"org.apache.james.mime4j.MimeIOException.MimeIOException(MimeException)",1,1,1
"org.apache.james.mime4j.MimeIOException.MimeIOException(String)",1,1,1
"org.apache.james.mime4j.codec.Base64InputStream.Base64InputStream(InputStream)",1,1,1
"org.apache.james.mime4j.codec.Base64InputStream.Base64InputStream(InputStream,boolean)",2,1,2
"org.apache.james.mime4j.codec.Base64InputStream.close()",2,1,2
"org.apache.james.mime4j.codec.Base64InputStream.decodePad(int,int,byte[],int,int)",1,6,6
"org.apache.james.mime4j.codec.Base64InputStream.handleUnexpecedPad(int)",2,2,2
"org.apache.james.mime4j.codec.Base64InputStream.handleUnexpectedEof(int)",2,2,2
"org.apache.james.mime4j.codec.Base64InputStream.read()",5,2,5
"org.apache.james.mime4j.codec.Base64InputStream.read(byte[])",4,1,4
"org.apache.james.mime4j.codec.Base64InputStream.read(byte[],int,int)",5,1,7
"org.apache.james.mime4j.codec.Base64InputStream.read0(byte[],int,int)",10,12,19
"org.apache.james.mime4j.codec.Base64OutputStream.Base64OutputStream(OutputStream)",1,1,1
"org.apache.james.mime4j.codec.Base64OutputStream.Base64OutputStream(OutputStream,int)",1,1,1
"org.apache.james.mime4j.codec.Base64OutputStream.Base64OutputStream(OutputStream,int,byte[])",3,1,3
"org.apache.james.mime4j.codec.Base64OutputStream.checkLineSeparator(byte[])",4,2,4
"org.apache.james.mime4j.codec.Base64OutputStream.close()",2,1,2
"org.apache.james.mime4j.codec.Base64OutputStream.close0()",1,3,4
"org.apache.james.mime4j.codec.Base64OutputStream.flush()",2,1,2
"org.apache.james.mime4j.codec.Base64OutputStream.flush0()",1,2,2
"org.apache.james.mime4j.codec.Base64OutputStream.write(byte[])",4,1,4
"org.apache.james.mime4j.codec.Base64OutputStream.write(byte[],int,int)",5,1,7
"org.apache.james.mime4j.codec.Base64OutputStream.write(int)",2,1,2
"org.apache.james.mime4j.codec.Base64OutputStream.write0(byte[],int,int)",1,6,8
"org.apache.james.mime4j.codec.Base64OutputStream.writeLineSeparator()",1,2,3
"org.apache.james.mime4j.codec.Base64OutputStream.writePad()",1,3,5
"org.apache.james.mime4j.codec.ByteQueue.ByteQueue()",1,1,1
"org.apache.james.mime4j.codec.ByteQueue.ByteQueue(int)",1,1,1
"org.apache.james.mime4j.codec.ByteQueue.clear()",1,1,2
"org.apache.james.mime4j.codec.ByteQueue.count()",1,1,1
"org.apache.james.mime4j.codec.ByteQueue.dequeue()",1,1,1
"org.apache.james.mime4j.codec.ByteQueue.enqueue(byte)",1,1,1
"org.apache.james.mime4j.codec.ByteQueue.iterator()",1,1,1
"org.apache.james.mime4j.codec.CodecUtil.copy(InputStream,OutputStream)",1,2,2
"org.apache.james.mime4j.codec.CodecUtil.encodeBase64(InputStream,OutputStream)",1,1,1
"org.apache.james.mime4j.codec.CodecUtil.encodeQuotedPrintable(InputStream,OutputStream)",1,1,1
"org.apache.james.mime4j.codec.CodecUtil.encodeQuotedPrintableBinary(InputStream,OutputStream)",1,1,1
"org.apache.james.mime4j.codec.CodecUtil.wrapBase64(OutputStream)",1,1,1
"org.apache.james.mime4j.codec.CodecUtil.wrapQuotedPrintable(OutputStream,boolean)",1,1,1
"org.apache.james.mime4j.codec.DecoderUtil.decodeB(String,String)",1,1,1
"org.apache.james.mime4j.codec.DecoderUtil.decodeBase64(String)",1,3,3
"org.apache.james.mime4j.codec.DecoderUtil.decodeBaseQuotedPrintable(String)",1,3,3
"org.apache.james.mime4j.codec.DecoderUtil.decodeEncodedWord(String,int,int)",8,14,16
"org.apache.james.mime4j.codec.DecoderUtil.decodeEncodedWords(String)",4,7,8
"org.apache.james.mime4j.codec.DecoderUtil.decodeQ(String,String)",1,3,3
"org.apache.james.mime4j.codec.EncoderUtil.EncoderUtil()",1,1,1
