Dependency metrics,Qui, 26 out 2017 14:39:55 BRST
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.commons.lang3.AnnotationUtils",0,5,29,1,1
"org.apache.commons.lang3.ArrayUtils",19,6,28,27,165
"org.apache.commons.lang3.BitField",0,0,0,1,1
"org.apache.commons.lang3.BooleanUtils",0,3,30,2,2
"org.apache.commons.lang3.CharEncoding",0,0,0,1,1
"org.apache.commons.lang3.CharRange",1,1,1,4,7
"org.apache.commons.lang3.CharRange.CharacterIterator",1,1,1,1,7
"org.apache.commons.lang3.CharSequenceUtils",0,0,0,2,166
"org.apache.commons.lang3.CharSet",0,2,3,3,4
"org.apache.commons.lang3.CharSetUtils",0,3,32,1,1
"org.apache.commons.lang3.CharUtils",19,1,28,5,165
"org.apache.commons.lang3.ClassUtils",19,5,28,10,165
"org.apache.commons.lang3.EnumUtils",0,2,29,1,1
"org.apache.commons.lang3.JavaVersion",0,0,0,10,171
"org.apache.commons.lang3.LocaleUtils",1,1,1,2,2
"org.apache.commons.lang3.LocaleUtils.SyncAvoid",1,1,1,1,2
"org.apache.commons.lang3.ObjectUtils",19,6,28,10,165
"org.apache.commons.lang3.ObjectUtils.Null",19,1,28,2,165
"org.apache.commons.lang3.RandomStringUtils",0,1,1,1,1
"org.apache.commons.lang3.Range",0,1,1,1,1
"org.apache.commons.lang3.Range.ComparableComparator",0,0,0,1,2
"org.apache.commons.lang3.SerializationException",0,0,0,2,12
"org.apache.commons.lang3.SerializationUtils",0,2,2,7,11
"org.apache.commons.lang3.SerializationUtils.ClassLoaderAwareObjectInputStream",0,0,0,1,12
"org.apache.commons.lang3.StringEscapeUtils",0,10,41,2,2
"org.apache.commons.lang3.StringEscapeUtils.CsvEscaper",0,3,31,1,3
"org.apache.commons.lang3.StringEscapeUtils.CsvUnescaper",0,3,31,1,3
"org.apache.commons.lang3.StringUtils",19,5,28,24,165
"org.apache.commons.lang3.SystemUtils",0,1,1,14,169
"org.apache.commons.lang3.Validate",19,3,28,9,165
"org.apache.commons.lang3.builder.CompareToBuilder",19,4,28,2,165
"org.apache.commons.lang3.builder.EqualsBuilder",19,6,28,5,165
"org.apache.commons.lang3.builder.HashCodeBuilder",19,4,28,5,165
"org.apache.commons.lang3.builder.IDKey",0,0,0,2,166
"org.apache.commons.lang3.builder.ReflectionToStringBuilder",19,5,28,6,165
"org.apache.commons.lang3.builder.StandardToStringStyle",0,1,29,1,1
"org.apache.commons.lang3.builder.ToStringBuilder",19,4,28,19,165
"org.apache.commons.lang3.builder.ToStringStyle",19,8,28,19,165
"org.apache.commons.lang3.builder.ToStringStyle.DefaultToStringStyle",19,1,28,1,165
"org.apache.commons.lang3.builder.ToStringStyle.MultiLineToStringStyle",19,2,28,1,165
"org.apache.commons.lang3.builder.ToStringStyle.NoFieldNameToStringStyle",19,1,28,1,165
"org.apache.commons.lang3.builder.ToStringStyle.ShortPrefixToStringStyle",19,1,28,1,165
"org.apache.commons.lang3.builder.ToStringStyle.SimpleToStringStyle",19,1,28,1,165
"org.apache.commons.lang3.concurrent.AtomicInitializer",0,2,5,0,0
"org.apache.commons.lang3.concurrent.AtomicSafeInitializer",0,2,5,1,2
"org.apache.commons.lang3.concurrent.BackgroundInitializer",1,4,6,9,10
"org.apache.commons.lang3.concurrent.BackgroundInitializer.InitializationTask",1,1,6,1,10
"org.apache.commons.lang3.concurrent.BasicThreadFactory",1,1,2,2,2
"org.apache.commons.lang3.concurrent.BasicThreadFactory.Builder",1,2,2,2,2
"org.apache.commons.lang3.concurrent.CallableBackgroundInitializer",0,1,7,1,2
"org.apache.commons.lang3.concurrent.ConcurrentException",3,1,4,17,26
"org.apache.commons.lang3.concurrent.ConcurrentRuntimeException",3,1,4,2,26
"org.apache.commons.lang3.concurrent.ConcurrentUtils",3,4,4,4,26
"org.apache.commons.lang3.concurrent.ConcurrentUtils.ConstantFuture",0,0,0,1,27
"org.apache.commons.lang3.concurrent.ConstantInitializer",0,3,34,2,2
"org.apache.commons.lang3.concurrent.LazyInitializer",0,2,5,1,2
"org.apache.commons.lang3.concurrent.MultiBackgroundInitializer",0,3,8,1,1
"org.apache.commons.lang3.concurrent.MultiBackgroundInitializer.MultiBackgroundInitializerResults",0,2,7,2,2
"org.apache.commons.lang3.concurrent.TimedSemaphore",0,0,0,3,3
"org.apache.commons.lang3.event.EventListenerSupport",1,2,30,5,5
"org.apache.commons.lang3.event.EventListenerSupport.ProxyInvocationHandler",1,1,30,2,5
"org.apache.commons.lang3.event.EventUtils",0,2,32,1,1
"org.apache.commons.lang3.event.EventUtils.EventBindingInvocationHandler",0,1,31,1,2
"org.apache.commons.lang3.exception.CloneFailedException",0,0,0,2,166
"org.apache.commons.lang3.exception.ContextedException",0,3,32,1,1
"org.apache.commons.lang3.exception.ContextedRuntimeException",0,3,32,1,1
"org.apache.commons.lang3.exception.DefaultExceptionContext",0,5,31,5,5
"org.apache.commons.lang3.exception.ExceptionUtils",0,5,29,4,7
"org.apache.commons.lang3.math.Fraction",0,0,0,1,1
"org.apache.commons.lang3.math.IEEE754rUtils",0,1,1,1,1
"org.apache.commons.lang3.math.NumberUtils",0,2,29,4,6
"org.apache.commons.lang3.mutable.MutableBoolean",0,1,1,1,1
"org.apache.commons.lang3.mutable.MutableByte",0,1,1,1,1
"org.apache.commons.lang3.mutable.MutableDouble",0,1,1,1,1
"org.apache.commons.lang3.mutable.MutableFloat",0,1,1,1,1
"org.apache.commons.lang3.mutable.MutableInt",0,1,1,3,167
"org.apache.commons.lang3.mutable.MutableLong",0,1,1,2,2
"org.apache.commons.lang3.mutable.MutableObject",0,1,1,6,6
"org.apache.commons.lang3.mutable.MutableShort",0,1,1,1,1
"org.apache.commons.lang3.reflect.ConstructorUtils",0,4,30,1,1
"org.apache.commons.lang3.reflect.FieldUtils",0,2,30,1,1
"org.apache.commons.lang3.reflect.MemberUtils",0,2,29,3,9
"org.apache.commons.lang3.reflect.MethodUtils",0,4,30,4,5
"org.apache.commons.lang3.reflect.TypeUtils",0,2,29,1,1
"org.apache.commons.lang3.text.CompositeFormat",0,0,0,1,1
"org.apache.commons.lang3.text.ExtendedMessageFormat",0,4,36,2,2
"org.apache.commons.lang3.text.FormattableUtils",0,3,29,1,1
"org.apache.commons.lang3.text.StrBuilder",4,8,39,9,10
"org.apache.commons.lang3.text.StrBuilder.StrBuilderReader",4,2,39,1,10
"org.apache.commons.lang3.text.StrBuilder.StrBuilderTokenizer",4,2,39,1,10
"org.apache.commons.lang3.text.StrBuilder.StrBuilderWriter",4,1,39,1,10
"org.apache.commons.lang3.text.StrLookup",1,1,1,3,4
"org.apache.commons.lang3.text.StrLookup.MapStrLookup",1,1,1,1,4
"org.apache.commons.lang3.text.StrMatcher",5,7,34,13,20
"org.apache.commons.lang3.text.StrMatcher.CharMatcher",5,1,34,3,20
"org.apache.commons.lang3.text.StrMatcher.CharSetMatcher",5,2,34,1,20
"org.apache.commons.lang3.text.StrMatcher.NoMatcher",5,1,34,1,20
"org.apache.commons.lang3.text.StrMatcher.StringMatcher",5,2,34,2,20
"org.apache.commons.lang3.text.StrMatcher.TrimMatcher",5,1,34,1,20
"org.apache.commons.lang3.text.StrSubstitutor",0,4,42,1,1
"org.apache.commons.lang3.text.StrTokenizer",4,4,39,4,10
"org.apache.commons.lang3.text.WordUtils",0,3,29,2,4
"org.apache.commons.lang3.text.translate.AggregateTranslator",1,2,30,2,19
"org.apache.commons.lang3.text.translate.CharSequenceTranslator",1,2,30,16,19
"org.apache.commons.lang3.text.translate.CodePointTranslator",0,1,31,2,7
"org.apache.commons.lang3.text.translate.EntityArrays",0,1,1,2,4
"org.apache.commons.lang3.text.translate.LookupTranslator",0,1,31,2,4
"org.apache.commons.lang3.text.translate.NumericEntityEscaper",0,1,32,2,2
"org.apache.commons.lang3.text.translate.NumericEntityUnescaper",0,3,32,2,4
"org.apache.commons.lang3.text.translate.NumericEntityUnescaper.OPTION",0,0,0,2,5
"org.apache.commons.lang3.text.translate.OctalUnescaper",0,1,31,2,4
"org.apache.commons.lang3.text.translate.UnicodeEscaper",0,2,32,2,4
"org.apache.commons.lang3.text.translate.UnicodeUnescaper",0,1,31,2,4
"org.apache.commons.lang3.time.DateFormatUtils",0,1,48,4,4
"org.apache.commons.lang3.time.DateUtils",0,1,1,4,7
"org.apache.commons.lang3.time.DateUtils.DateIterator",0,0,0,1,8
"org.apache.commons.lang3.time.DurationFormatUtils",0,4,32,2,3
"org.apache.commons.lang3.time.DurationFormatUtils.Token",0,2,29,2,4
"org.apache.commons.lang3.time.FastDateFormat",1,18,47,7,7
"org.apache.commons.lang3.time.FastDateFormat.CharacterLiteral",0,1,1,1,8
"org.apache.commons.lang3.time.FastDateFormat.PaddedNumberField",0,2,31,1,8
"org.apache.commons.lang3.time.FastDateFormat.StringLiteral",0,1,1,1,8
"org.apache.commons.lang3.time.FastDateFormat.TextField",0,2,2,1,8
"org.apache.commons.lang3.time.FastDateFormat.TimeZoneDisplayKey",0,0,0,1,8
"org.apache.commons.lang3.time.FastDateFormat.TimeZoneNameRule",1,2,47,1,7
"org.apache.commons.lang3.time.FastDateFormat.TimeZoneNumberRule",0,1,1,1,8
"org.apache.commons.lang3.time.FastDateFormat.TwelveHourField",0,2,2,1,8
"org.apache.commons.lang3.time.FastDateFormat.TwentyFourHourField",0,2,2,1,8
"org.apache.commons.lang3.time.FastDateFormat.TwoDigitMonthField",0,1,2,1,8
"org.apache.commons.lang3.time.FastDateFormat.TwoDigitNumberField",0,1,2,1,8
"org.apache.commons.lang3.time.FastDateFormat.TwoDigitYearField",0,1,2,1,8
"org.apache.commons.lang3.time.FastDateFormat.UnpaddedMonthField",0,1,2,1,8
"org.apache.commons.lang3.time.FastDateFormat.UnpaddedNumberField",0,1,2,1,8
"org.apache.commons.lang3.time.FormatCache",0,1,1,1,8
"org.apache.commons.lang3.time.FormatCache.MultipartKey",0,0,0,1,9
"org.apache.commons.lang3.time.StopWatch",0,1,33,1,1
"org.apache.commons.lang3.tuple.ImmutablePair",19,1,28,4,165
"org.apache.commons.lang3.tuple.MutablePair",0,1,29,2,2
"org.apache.commons.lang3.tuple.Pair",19,3,28,11,165

Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.commons.lang3.builder.Builder",0,0,0,5,169
"org.apache.commons.lang3.concurrent.ConcurrentInitializer",3,1,4,11,26
"org.apache.commons.lang3.exception.ExceptionContext",0,1,29,4,7
"org.apache.commons.lang3.mutable.Mutable",0,0,0,10,185
