SmellsMetrics,Ter, 12 jun 2018 13:55:29 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"null.appendDetail(StringBuffer,String,Object)",2,2,n/a,10,1,3,3,2
"null.createInstance(String,TimeZone,Locale)",1,1,n/a,4,0,3,1,1
"null.getShortClassName(Class<?>)",6,2,n/a,18,2,1,7,4
"org.apache.commons.lang3.AnnotationUtils.AnnotationUtils()",0,0,n/a,9,0,0,0,1
"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals(Annotation[],Annotation[])",1,1,n/a,18,2,2,8,4
"org.apache.commons.lang3.AnnotationUtils.arrayMemberEquals(Class<?>,Object,Object)",19,1,n/a,38,1,3,19,10
"org.apache.commons.lang3.AnnotationUtils.arrayMemberHash(Class<?>,Object)",17,1,n/a,34,1,2,17,9
"org.apache.commons.lang3.AnnotationUtils.equals(Annotation,Annotation)",13,16,n/a,43,4,2,20,11
"org.apache.commons.lang3.AnnotationUtils.hashCode(Annotation)",8,4,n/a,31,3,1,11,5
"org.apache.commons.lang3.AnnotationUtils.hashMember(String,Object)",8,1,n/a,17,1,2,6,3
"org.apache.commons.lang3.AnnotationUtils.isValidAnnotationMemberType(Class<?>)",7,5,n/a,21,1,1,5,7
"org.apache.commons.lang3.AnnotationUtils.memberEquals(Class<?>,Object,Object)",6,1,n/a,25,1,3,9,6
"org.apache.commons.lang3.AnnotationUtils.toString(Annotation)",9,2,n/a,24,2,1,9,5
"org.apache.commons.lang3.ArrayUtils.ArrayUtils()",1,1,n/a,10,0,0,1,1
"org.apache.commons.lang3.ArrayUtils.add(Object,int,Object,Class<?>)",9,9,n/a,32,2,4,15,6
"org.apache.commons.lang3.ArrayUtils.add(T[],T)",4,8,n/a,43,1,2,9,3
"org.apache.commons.lang3.ArrayUtils.add(T[],int,T)",5,8,n/a,43,1,3,8,3
"org.apache.commons.lang3.ArrayUtils.add(boolean[],boolean)",1,3,n/a,26,0,2,3,1
"org.apache.commons.lang3.ArrayUtils.add(boolean[],int,boolean)",2,7,n/a,30,0,3,1,1
"org.apache.commons.lang3.ArrayUtils.add(byte[],byte)",1,4,n/a,26,0,2,3,1
"org.apache.commons.lang3.ArrayUtils.add(byte[],int,byte)",2,7,n/a,30,0,3,1,1
"org.apache.commons.lang3.ArrayUtils.add(char[],char)",1,4,n/a,26,0,2,3,1
"org.apache.commons.lang3.ArrayUtils.add(char[],int,char)",2,8,n/a,31,0,3,1,1
"org.apache.commons.lang3.ArrayUtils.add(double[],double)",1,4,n/a,26,0,2,3,1
"org.apache.commons.lang3.ArrayUtils.add(double[],int,double)",2,7,n/a,30,0,3,1,1
"org.apache.commons.lang3.ArrayUtils.add(float[],float)",1,4,n/a,26,0,2,3,1
"org.apache.commons.lang3.ArrayUtils.add(float[],int,float)",2,7,n/a,30,0,3,1,1
"org.apache.commons.lang3.ArrayUtils.add(int[],int)",1,4,n/a,26,0,2,3,1
"org.apache.commons.lang3.ArrayUtils.add(int[],int,int)",2,7,n/a,30,0,3,1,1
"org.apache.commons.lang3.ArrayUtils.add(long[],int,long)",2,7,n/a,30,0,3,1,1
"org.apache.commons.lang3.ArrayUtils.add(long[],long)",1,4,n/a,26,0,2,3,1
"org.apache.commons.lang3.ArrayUtils.add(short[],int,short)",2,7,n/a,30,0,3,1,1
"org.apache.commons.lang3.ArrayUtils.add(short[],short)",1,4,n/a,26,0,2,3,1
"org.apache.commons.lang3.ArrayUtils.addAll(T[],T...)",13,11,n/a,52,2,2,14,5
"org.apache.commons.lang3.ArrayUtils.addAll(boolean[],boolean...)",4,3,n/a,28,1,2,8,3
"org.apache.commons.lang3.ArrayUtils.addAll(byte[],byte...)",4,3,n/a,28,1,2,8,3
"org.apache.commons.lang3.ArrayUtils.addAll(char[],char...)",4,3,n/a,28,1,2,8,3
"org.apache.commons.lang3.ArrayUtils.addAll(double[],double...)",4,3,n/a,28,1,2,8,3
"org.apache.commons.lang3.ArrayUtils.addAll(float[],float...)",4,3,n/a,28,1,2,8,3
"org.apache.commons.lang3.ArrayUtils.addAll(int[],int...)",4,3,n/a,28,1,2,8,3
"org.apache.commons.lang3.ArrayUtils.addAll(long[],long...)",4,3,n/a,28,1,2,8,3
"org.apache.commons.lang3.ArrayUtils.addAll(short[],short...)",4,3,n/a,28,1,2,8,3
"org.apache.commons.lang3.ArrayUtils.clone(T[])",1,9,n/a,19,1,1,3,2
"org.apache.commons.lang3.ArrayUtils.clone(boolean[])",1,6,n/a,15,1,1,3,2
"org.apache.commons.lang3.ArrayUtils.clone(byte[])",1,6,n/a,15,1,1,3,2
"org.apache.commons.lang3.ArrayUtils.clone(char[])",1,8,n/a,15,1,1,3,2
"org.apache.commons.lang3.ArrayUtils.clone(double[])",1,6,n/a,15,1,1,3,2
