SmellsMetrics,Ter, 12 jun 2018 13:51:28 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.commons.logging.Log.debug(Object)",n/a,6,7,n/a,n/a,1,n/a,n/a
"org.apache.commons.logging.Log.debug(Object,Throwable)",n/a,6,7,n/a,n/a,2,n/a,n/a
"org.apache.commons.logging.Log.error(Object)",n/a,6,7,n/a,n/a,1,n/a,n/a
"org.apache.commons.logging.Log.error(Object,Throwable)",n/a,6,7,n/a,n/a,2,n/a,n/a
"org.apache.commons.logging.Log.fatal(Object)",n/a,6,7,n/a,n/a,1,n/a,n/a
"org.apache.commons.logging.Log.fatal(Object,Throwable)",n/a,6,7,n/a,n/a,2,n/a,n/a
"org.apache.commons.logging.Log.info(Object)",n/a,6,7,n/a,n/a,1,n/a,n/a
"org.apache.commons.logging.Log.info(Object,Throwable)",n/a,6,7,n/a,n/a,2,n/a,n/a
"org.apache.commons.logging.Log.isDebugEnabled()",n/a,1,7,n/a,n/a,0,n/a,n/a
"org.apache.commons.logging.Log.isErrorEnabled()",n/a,1,7,n/a,n/a,0,n/a,n/a
"org.apache.commons.logging.Log.isFatalEnabled()",n/a,1,7,n/a,n/a,0,n/a,n/a
"org.apache.commons.logging.Log.isInfoEnabled()",n/a,1,7,n/a,n/a,0,n/a,n/a
"org.apache.commons.logging.Log.isTraceEnabled()",n/a,1,7,n/a,n/a,0,n/a,n/a
"org.apache.commons.logging.Log.isWarnEnabled()",n/a,1,7,n/a,n/a,0,n/a,n/a
"org.apache.commons.logging.Log.trace(Object)",n/a,6,7,n/a,n/a,1,n/a,n/a
"org.apache.commons.logging.Log.trace(Object,Throwable)",n/a,6,7,n/a,n/a,2,n/a,n/a
"org.apache.commons.logging.Log.warn(Object)",n/a,6,7,n/a,n/a,1,n/a,n/a
"org.apache.commons.logging.Log.warn(Object,Throwable)",n/a,6,7,n/a,n/a,2,n/a,n/a
"org.apache.commons.logging.LogConfigurationException.LogConfigurationException()",1,0,n/a,6,0,0,1,1
"org.apache.commons.logging.LogConfigurationException.LogConfigurationException(String)",1,6,n/a,8,0,1,1,1
"org.apache.commons.logging.LogConfigurationException.LogConfigurationException(String,Throwable)",1,5,n/a,10,0,2,2,1
"org.apache.commons.logging.LogConfigurationException.LogConfigurationException(Throwable)",2,6,n/a,9,0,1,1,2
"org.apache.commons.logging.LogConfigurationException.getCause()",0,0,n/a,6,0,0,1,1
