SmellsMetrics,Ter, 12 jun 2018 11:07:25 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"null.afterExecute(Runnable,Throwable)",2,0,n/a,6,0,2,2,1
"null.apply(IMutation,Multimap<InetAddress, InetAddress>,IWriteResponseHandler,String,ConsistencyLevel)",6,1,n/a,7,0,5,4,2
"null.compare(DecoratedKey,DecoratedKey)",1,0,n/a,4,0,2,1,1
"null.compare(IColumnIterator,IColumnIterator)",3,0,n/a,4,0,2,1,1
"null.compare(InetAddress,InetAddress)",3,0,n/a,4,0,2,1,1
"null.compare(ReplayPosition,ReplayPosition)",4,0,n/a,6,0,2,3,2
"null.fromByteArray(ByteBuffer)",1,0,n/a,4,0,1,1,1
"null.fromString(String)",2,0,n/a,4,0,1,1,1
"null.get()",2,0,n/a,7,0,0,3,1
"null.initialValue()",1,0,n/a,5,0,0,1,1
"null.rejectedExecution(Runnable,ThreadPoolExecutor)",8,0,n/a,25,3,2,11,5
"null.run()",5,0,n/a,24,2,0,9,4
"null.toByteArray(Token<BigInteger>)",2,0,n/a,4,0,1,1,1
"null.toByteArray(Token<String>)",1,0,n/a,4,0,1,1,1
"null.toByteArray(Token<byte[]>)",1,0,n/a,4,0,1,1,1
"null.toString(Token<BigInteger>)",1,0,n/a,4,0,1,1,1
"null.toString(Token<String>)",0,0,n/a,4,0,1,1,1
"null.toString(Token<byte[]>)",1,0,n/a,4,0,1,1,1
"null.validate(String)",2,0,n/a,11,1,1,3,2
"org.apache.cassandra.auth.AllowAllAuthenticator.authenticate(Map<? extends CharSequence, ? extends CharSequence>)",0,0,n/a,4,0,1,1,1
"org.apache.cassandra.auth.AllowAllAuthenticator.defaultUser()",0,0,n/a,4,0,0,1,1
"org.apache.cassandra.auth.AllowAllAuthenticator.validateConfiguration()",0,0,n/a,4,0,0,0,1
"org.apache.cassandra.auth.AllowAllAuthority.authorize(AuthenticatedUser,List<Object>)",0,0,n/a,4,0,2,1,1
"org.apache.cassandra.auth.AllowAllAuthority.validateConfiguration()",0,0,n/a,4,0,0,0,1
"org.apache.cassandra.auth.AuthenticatedUser.AuthenticatedUser(String)",1,0,n/a,5,0,1,2,1
"org.apache.cassandra.auth.AuthenticatedUser.AuthenticatedUser(String,Set<String>)",1,0,n/a,5,0,2,2,1
"org.apache.cassandra.auth.AuthenticatedUser.toString()",1,0,n/a,5,0,0,1,1
"org.apache.cassandra.auth.IAuthenticator.authenticate(Map<? extends CharSequence, ? extends CharSequence>)",n/a,1,0,n/a,n/a,1,n/a,n/a
"org.apache.cassandra.auth.IAuthenticator.defaultUser()",n/a,1,0,n/a,n/a,0,n/a,n/a
"org.apache.cassandra.auth.IAuthenticator.validateConfiguration()",n/a,1,0,n/a,n/a,0,n/a,n/a
"org.apache.cassandra.auth.IAuthority.authorize(AuthenticatedUser,List<Object>)",n/a,3,0,n/a,n/a,2,n/a,n/a
"org.apache.cassandra.auth.IAuthority.validateConfiguration()",n/a,1,0,n/a,n/a,0,n/a,n/a
"org.apache.cassandra.auth.Resources.toString(List<Object>)",7,1,n/a,13,1,1,7,3
"org.apache.cassandra.auth.SimpleAuthenticator.authenticate(Map<? extends CharSequence, ? extends CharSequence>)",34,0,n/a,69,2,1,44,13
"org.apache.cassandra.auth.SimpleAuthenticator.authenticationErrorMessage(PasswordMode,String)",1,2,n/a,4,0,2,1,1
"org.apache.cassandra.auth.SimpleAuthenticator.defaultUser()",0,0,n/a,5,0,0,1,1
"org.apache.cassandra.auth.SimpleAuthenticator.validateConfiguration()",4,0,n/a,9,1,0,3,2
