SmellMetrics,Ter, 12 jun 2018 17:41:05 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"null.accept(CompletionProposal)",52,48,n/a,96,3,1,45,15
"null.accept(File,String)",1,0,n/a,3,0,2,1,1
"null.createBuffer(IOpenable)",1,1,n/a,6,0,1,1,1
"null.genericTypeArguments()",0,14,n/a,1,0,0,1,1
"null.getClasspathEntries()",0,7,n/a,1,0,0,1,1
"null.getDescription()",0,6,n/a,1,0,0,1,1
"null.getKind()",0,2,n/a,1,0,0,1,1
"null.getPath()",0,0,n/a,1,0,0,1,1
"null.isSuperAccess()",0,6,n/a,1,0,0,1,1
"null.isTypeAccess()",0,1,n/a,1,0,0,1,1
"null.preferenceChange(PreferenceChangeEvent)",7,0,n/a,12,3,1,6,4
"null.setActualReceiverType(ReferenceBinding)",0,5,n/a,1,0,1,0,1
"null.setDepth(int)",0,9,n/a,1,0,1,0,1
"null.setFieldIndex(int)",0,6,n/a,1,0,1,0,1
"null.sourceEnd()",0,3,n/a,1,0,0,1,1
"null.sourceStart()",0,4,n/a,1,0,0,1,1
"null.toString()",1,0,n/a,1,0,0,1,1
"org.eclipse.jdt.core.BufferChangedEvent.BufferChangedEvent(IBuffer,int,int,String)",1,4,n/a,14,0,4,4,1
"org.eclipse.jdt.core.BufferChangedEvent.getBuffer()",0,2,n/a,8,0,0,1,1
"org.eclipse.jdt.core.BufferChangedEvent.getLength()",0,0,n/a,10,0,0,1,1
"org.eclipse.jdt.core.BufferChangedEvent.getOffset()",0,0,n/a,9,0,0,1,1
"org.eclipse.jdt.core.BufferChangedEvent.getText()",0,0,n/a,10,0,0,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.ClasspathContainerInitializer()",0,0,n/a,6,0,0,0,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.canUpdateClasspathContainer(IPath,IJavaProject)",0,1,n/a,14,0,2,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.getComparisonID(IPath,IJavaProject)",1,0,n/a,22,1,2,3,2
"org.eclipse.jdt.core.ClasspathContainerInitializer.getDescription(IPath,IJavaProject)",2,4,n/a,15,0,2,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.initialize(IPath,IJavaProject)",n/a,1,1,n/a,n/a,2,n/a,n/a
"org.eclipse.jdt.core.ClasspathContainerInitializer.requestClasspathContainerUpdate(IPath,IJavaProject,IClasspathContainer)",0,1,n/a,25,0,3,0,1
"org.eclipse.jdt.core.ClasspathVariableInitializer.ClasspathVariableInitializer()",0,0,n/a,6,0,0,0,1
"org.eclipse.jdt.core.ClasspathVariableInitializer.initialize(String)",n/a,1,0,n/a,n/a,1,n/a,n/a
"org.eclipse.jdt.core.CompletionProposal.CompletionProposal(int,int)",2,1,n/a,23,1,2,6,5
"org.eclipse.jdt.core.CompletionProposal.create(int,int)",1,1,n/a,16,0,2,1,1
"org.eclipse.jdt.core.CompletionProposal.findParameterNames(IProgressMonitor)",4,14,n/a,61,3,1,15,6
"org.eclipse.jdt.core.CompletionProposal.getCompletion()",13,23,n/a,40,5,0,23,6
"org.eclipse.jdt.core.CompletionProposal.getCompletionLocation()",0,1,n/a,12,0,0,1,1
"org.eclipse.jdt.core.CompletionProposal.getDeclarationSignature()",0,31,n/a,35,0,0,1,1
"org.eclipse.jdt.core.CompletionProposal.getFlags()",0,36,n/a,47,0,0,1,1
"org.eclipse.jdt.core.CompletionProposal.getKind()",0,18,n/a,17,0,0,1,1
"org.eclipse.jdt.core.CompletionProposal.getName()",0,26,n/a,28,0,0,1,1
"org.eclipse.jdt.core.CompletionProposal.getRelevance()",0,23,n/a,8,0,0,1,1
"org.eclipse.jdt.core.CompletionProposal.getReplaceEnd()",0,25,n/a,13,0,0,1,1
"org.eclipse.jdt.core.CompletionProposal.getReplaceStart()",0,25,n/a,24,0,0,1,1
"org.eclipse.jdt.core.CompletionProposal.getSignature()",0,35,n/a,35,0,0,1,1
"org.eclipse.jdt.core.CompletionProposal.getTokenEnd()",0,1,n/a,12,0,0,1,1
"org.eclipse.jdt.core.CompletionProposal.getTokenStart()",0,1,n/a,16,0,0,1,1
"org.eclipse.jdt.core.CompletionProposal.setCompletion(char[])",0,34,n/a,18,0,1,1,1
"org.eclipse.jdt.core.CompletionProposal.setDeclarationSignature(char[])",0,26,n/a,17,0,1,1,1
"org.eclipse.jdt.core.CompletionProposal.setFlags(int)",0,30,n/a,16,0,1,1,1
"org.eclipse.jdt.core.CompletionProposal.setName(char[])",0,15,n/a,18,0,1,1,1
"org.eclipse.jdt.core.CompletionProposal.setParameterNames(char[][])",0,6,n/a,15,0,1,2,1
"org.eclipse.jdt.core.CompletionProposal.setRelevance(int)",1,34,n/a,18,1,1,3,2
"org.eclipse.jdt.core.CompletionProposal.setReplaceRange(int,int)",1,35,n/a,25,1,2,4,3
"org.eclipse.jdt.core.CompletionProposal.setSignature(char[])",0,31,n/a,16,0,1,1,1
"org.eclipse.jdt.core.CompletionProposal.setTokenRange(int,int)",1,0,n/a,23,1,2,4,3
"org.eclipse.jdt.core.CompletionRequestor.CompletionRequestor()",0,3,n/a,8,0,0,0,1
"org.eclipse.jdt.core.CompletionRequestor.accept(CompletionProposal)",n/a,48,3,n/a,n/a,1,n/a,n/a
"org.eclipse.jdt.core.CompletionRequestor.beginReporting()",0,2,n/a,11,0,0,0,1
"org.eclipse.jdt.core.CompletionRequestor.completionFailure(IProblem)",0,7,n/a,13,0,1,0,1
"org.eclipse.jdt.core.CompletionRequestor.endReporting()",0,2,n/a,11,0,0,0,1
"org.eclipse.jdt.core.CompletionRequestor.isIgnored(int)",1,37,n/a,18,1,1,3,3
"org.eclipse.jdt.core.CompletionRequestor.setIgnored(int,boolean)",1,1,n/a,22,1,2,5,4
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptAnonymousType(char[],char[],char[][],char[][],char[][],char[],int,int,int,int)",0,2,n/a,16,0,10,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptClass(char[],char[],char[],int,int,int,int)",0,2,n/a,13,0,7,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptError(IProblem)",0,1,n/a,6,0,1,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptField(char[],char[],char[],char[],char[],char[],int,int,int,int)",0,2,n/a,16,0,10,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptInterface(char[],char[],char[],int,int,int,int)",0,2,n/a,13,0,7,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptKeyword(char[],int,int,int)",0,1,n/a,10,0,4,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptLabel(char[],int,int,int)",0,1,n/a,10,0,4,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptLocalVariable(char[],char[],char[],int,int,int,int)",0,4,n/a,13,0,7,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptMethod(char[],char[],char[],char[][],char[][],char[][],char[],char[],char[],int,int,int,int)",0,2,n/a,19,0,13,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptMethodDeclaration(char[],char[],char[],char[][],char[][],char[][],char[],char[],char[],int,int,int,int)",0,2,n/a,19,0,13,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptModifier(char[],int,int,int)",0,0,n/a,10,0,4,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptPackage(char[],char[],int,int,int)",0,2,n/a,11,0,5,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptType(char[],char[],char[],int,int,int)",0,0,n/a,12,0,6,0,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptVariableName(char[],char[],char[],char[],int,int,int)",0,0,n/a,13,0,7,0,1
"org.eclipse.jdt.core.CorrectionEngine.CorrectionEngine(Map)",0,0,n/a,10,0,1,0,1
"org.eclipse.jdt.core.CorrectionEngine.computeCorrections(ICompilationUnit,int,int,int,String[],ICorrectionRequestor)",4,2,n/a,69,2,6,34,13
"org.eclipse.jdt.core.CorrectionEngine.computeCorrections(IMarker,ICompilationUnit,int,ICorrectionRequestor)",8,0,n/a,30,0,4,9,3
"org.eclipse.jdt.core.CorrectionEngine.computeCorrections(IProblem,ICompilationUnit,ICorrectionRequestor)",7,0,n/a,28,1,3,3,2
"org.eclipse.jdt.core.CorrectionEngine.correct(char[])",14,1,n/a,45,3,1,33,9
"org.eclipse.jdt.core.CorrectionEngine.getProblemArguments(IMarker)",2,0,n/a,14,0,1,2,1
"org.eclipse.jdt.core.ElementChangedEvent.ElementChangedEvent(IJavaElementDelta,int)",1,1,n/a,10,0,2,2,1
"org.eclipse.jdt.core.ElementChangedEvent.getDelta()",0,4,n/a,8,0,0,1,1
"org.eclipse.jdt.core.ElementChangedEvent.getType()",0,0,n/a,12,0,0,1,1
"org.eclipse.jdt.core.Flags.Flags()",0,0,n/a,6,0,0,0,1
"org.eclipse.jdt.core.Flags.isAbstract(int)",0,1,n/a,9,0,1,1,1
"org.eclipse.jdt.core.Flags.isAnnotation(int)",0,1,n/a,12,0,1,1,1
"org.eclipse.jdt.core.Flags.isBridge(int)",0,0,n/a,12,0,1,1,1
"org.eclipse.jdt.core.Flags.isDeprecated(int)",0,1,n/a,10,0,1,1,1
"org.eclipse.jdt.core.Flags.isEnum(int)",0,1,n/a,12,0,1,1,1
"org.eclipse.jdt.core.Flags.isFinal(int)",0,2,n/a,9,0,1,1,1
"org.eclipse.jdt.core.Flags.isInterface(int)",0,2,n/a,10,0,1,1,1
"org.eclipse.jdt.core.Flags.isNative(int)",0,1,n/a,9,0,1,1,1
"org.eclipse.jdt.core.Flags.isPrivate(int)",0,1,n/a,9,0,1,1,1
