Complexity metrics,Sex, 27 out 2017 11:21:48 BRST
Method,ev(G),iv(G),v(G)
"com.google.common.base.Absent.asSet()",1,1,1
"com.google.common.base.Absent.equals(Object)",1,1,1
"com.google.common.base.Absent.get()",1,1,1
"com.google.common.base.Absent.hashCode()",1,1,1
"com.google.common.base.Absent.isPresent()",1,1,1
"com.google.common.base.Absent.or(Object)",1,1,1
"com.google.common.base.Absent.or(Optional<?>)",1,1,1
"com.google.common.base.Absent.or(Supplier<?>)",1,1,1
"com.google.common.base.Absent.orNull()",1,1,1
"com.google.common.base.Absent.readResolve()",1,1,1
"com.google.common.base.Absent.toString()",1,1,1
"com.google.common.base.Absent.transform(Function<Object, V>)",1,1,1
"com.google.common.base.Absent_CustomFieldSerializer.deserialize(SerializationStreamReader,Absent)",1,1,1
"com.google.common.base.Absent_CustomFieldSerializer.instantiate(SerializationStreamReader)",1,1,1
"com.google.common.base.Absent_CustomFieldSerializer.serialize(SerializationStreamWriter,Absent)",1,1,1
"com.google.common.base.AbstractIterator.AbstractIterator()",1,1,1
"com.google.common.base.AbstractIterator.endOfData()",1,1,1
"com.google.common.base.AbstractIterator.hasNext()",4,2,4
"com.google.common.base.AbstractIterator.next()",2,1,2
"com.google.common.base.AbstractIterator.remove()",1,1,1
"com.google.common.base.AbstractIterator.tryToComputeNext()",2,1,2
"com.google.common.base.Ascii.Ascii()",1,1,1
"com.google.common.base.Ascii.isLowerCase(char)",1,1,2
"com.google.common.base.Ascii.isUpperCase(char)",1,1,2
"com.google.common.base.Ascii.toLowerCase(String)",1,2,2
"com.google.common.base.Ascii.toLowerCase(char)",1,1,2
"com.google.common.base.Ascii.toUpperCase(String)",1,2,2
"com.google.common.base.Ascii.toUpperCase(char)",1,1,2
"com.google.common.base.CaseFormat.CaseFormat(CharMatcher,String)",1,1,1
"com.google.common.base.CaseFormat.firstCharOnlyToUpper(String)",2,1,2
"com.google.common.base.CaseFormat.normalizeFirstWord(String)",3,3,3
"com.google.common.base.CaseFormat.normalizeWord(String)",6,6,6
"com.google.common.base.CaseFormat.to(CaseFormat,String)",12,11,16
"com.google.common.base.CharMatcher.And.And(CharMatcher,CharMatcher)",1,1,1
"com.google.common.base.CharMatcher.And.And(CharMatcher,CharMatcher,String)",1,1,1
"com.google.common.base.CharMatcher.And.matches(char)",1,2,2
"com.google.common.base.CharMatcher.And.setBits(BitSet)",1,1,1
"com.google.common.base.CharMatcher.And.withToString(String)",1,1,1
"com.google.common.base.CharMatcher.BitSetMatcher.BitSetMatcher(BitSet,String)",1,1,1
"com.google.common.base.CharMatcher.BitSetMatcher.matches(char)",1,1,1
"com.google.common.base.CharMatcher.BitSetMatcher.setBits(BitSet)",1,1,1
"com.google.common.base.CharMatcher.CharMatcher()",1,1,1
"com.google.common.base.CharMatcher.CharMatcher(String)",1,1,1
"com.google.common.base.CharMatcher.FastMatcher.FastMatcher()",1,1,1
"com.google.common.base.CharMatcher.FastMatcher.FastMatcher(String)",1,1,1
"com.google.common.base.CharMatcher.FastMatcher.negate()",1,1,1
"com.google.common.base.CharMatcher.FastMatcher.precomputed()",1,1,1
"com.google.common.base.CharMatcher.NegatedFastMatcher.NegatedFastMatcher(CharMatcher)",1,1,1
