Complexity metrics,Sex, 27 out 2017 14:45:55 BRST
Method,ev(G),iv(G),v(G)
"DocTaglet.genLink(String)",1,2,2
"DocTaglet.inConstructor()",1,1,1
"DocTaglet.inField()",1,1,1
"DocTaglet.inMethod()",1,1,1
"DocTaglet.inOverview()",1,1,1
"DocTaglet.inPackage()",1,1,1
"DocTaglet.inType()",1,1,1
"DocTaglet.isInlineTag()",1,1,1
"DocTaglet.toString(Tag)",1,1,1
"DocTaglet.toString(Tag[])",2,2,3
"ManualTaglet.getBaseDocURI()",1,1,1
"ManualTaglet.getHeader()",1,1,1
"ManualTaglet.getName()",1,1,1
"ManualTaglet.register(Map<String, Taglet>)",1,1,1
"ServerReleaseTaglet.getBaseDocURI()",1,1,1
"ServerReleaseTaglet.getHeader()",1,1,1
"ServerReleaseTaglet.getName()",1,1,1
"ServerReleaseTaglet.register(Map<String, Taglet>)",1,1,1
"com.mongodb.AcknowledgedBulkWriteResult.AcknowledgedBulkWriteResult(int,int,int,Integer,List<BulkWriteUpsert>)",1,1,1
"com.mongodb.AcknowledgedBulkWriteResult.equals(Object)",8,3,10
"com.mongodb.AcknowledgedBulkWriteResult.getInsertedCount()",1,1,1
"com.mongodb.AcknowledgedBulkWriteResult.getMatchedCount()",1,1,1
"com.mongodb.AcknowledgedBulkWriteResult.getModifiedCount()",2,1,2
"com.mongodb.AcknowledgedBulkWriteResult.getRemovedCount()",1,1,1
"com.mongodb.AcknowledgedBulkWriteResult.getUpserts()",1,1,1
"com.mongodb.AcknowledgedBulkWriteResult.hashCode()",1,2,2
"com.mongodb.AcknowledgedBulkWriteResult.isAcknowledged()",1,1,1
"com.mongodb.AcknowledgedBulkWriteResult.isModifiedCountAvailable()",1,1,1
"com.mongodb.AcknowledgedBulkWriteResult.toString()",1,1,1
"com.mongodb.AggregateIterableImpl.AggregateIterableImpl(ClientSession,MongoNamespace,Class<TDocument>,Class<TResult>,CodecRegistry,ReadPreference,ReadConcern,WriteConcern,OperationExecutor,List<? extends Bson>)",1,1,1
