Martin packaging metrics,Sex, 17 nov 2017 11:12:08 BRST
Package,A,Ca,Ce,D,I
"etc.testcases.core.containersrc.test","0,00",0,3,"0,00","1,00"
"etc.testcases.core.loaderref.src","0,00",0,1,"0,00","1,00"
"etc.testcases.taskdefs.javadoc.java","0,00",0,0,"0,00","1,00"
"etc.testcases.taskdefs.manifestclasspath","0,00",1,1,"0,50","0,50"
"etc.testcases.taskdefs.optional.depend.src1","0,00",2,4,"0,33","0,67"
"etc.testcases.taskdefs.optional.depend.src2","0,00",0,1,"0,00","1,00"
"etc.testcases.taskdefs.optional.depend.src3","0,00",0,1,"0,00","1,00"
"etc.testcases.taskdefs.optional.depend.src4.test","0,00",0,0,"0,00","1,00"
"etc.testcases.taskdefs.optional.depend.src5","0,00",6,2,"0,75","0,25"
"etc.testcases.taskdefs.optional.javah.input.org.example","0,00",0,0,"0,00","1,00"
"etc.testcases.taskdefs.rmic.src","0,33",1,3,"0,08","0,75"
"etc.testcases.types.assertions","0,00",0,0,"0,00","1,00"
"main.org.apache.tools.ant","0,33",500,111,"0,49","0,17"
"main.org.apache.tools.ant.attribute","0,22",5,8,"0,16","0,50"
"main.org.apache.tools.ant.dispatch","0,67",5,2,"0,05","0,29"
"main.org.apache.tools.ant.filters","0,11",55,66,"0,35","0,63"
"main.org.apache.tools.ant.filters.util","0,00",4,4,"0,50","0,50"
"main.org.apache.tools.ant.helper","0,00",21,43,"0,33","0,67"
"main.org.apache.tools.ant.input","0,14",14,9,"0,47","0,39"
"main.org.apache.tools.ant.launch","0,25",6,0,"0,75","0,00"
"main.org.apache.tools.ant.listener","0,00",2,15,"0,12","0,94"
"main.org.apache.tools.ant.loader","0,00",0,3,"0,00","1,00"
"main.org.apache.tools.ant.property","0,38",11,6,"0,27","0,35"
"main.org.apache.tools.ant.taskdefs","0,08",333,593,"0,28","0,68"
"main.org.apache.tools.ant.taskdefs.compilers","0,21",8,37,"0,04","0,82"
"main.org.apache.tools.ant.taskdefs.condition","0,06",31,55,"0,30","0,64"
"main.org.apache.tools.ant.taskdefs.cvslib","0,00",0,17,"0,00","1,00"
"main.org.apache.tools.ant.taskdefs.email","0,09",10,16,"0,29","0,67"
"main.org.apache.tools.ant.taskdefs.launcher","0,00",1,14,"0,07","0,93"
"main.org.apache.tools.ant.taskdefs.optional","0,03",18,82,"0,15","0,94"
"main.org.apache.tools.ant.taskdefs.optional.ccm","0,14",0,13,"0,14","1,00"
"main.org.apache.tools.ant.taskdefs.optional.clearcase","0,07",0,44,"0,07","1,00"
"main.org.apache.tools.ant.taskdefs.optional.depend","0,12",1,10,"0,03","1,00"
"main.org.apache.tools.ant.taskdefs.optional.depend.constantpool","0,11",4,1,"0,69","0,25"
"main.org.apache.tools.ant.taskdefs.optional.ejb","0,04",10,39,"0,16","0,97"
"main.org.apache.tools.ant.taskdefs.optional.extension","0,06",2,19,"0,03","0,90"
"main.org.apache.tools.ant.taskdefs.optional.extension.resolvers","0,00",3,8,"0,27","0,73"
"main.org.apache.tools.ant.taskdefs.optional.i18n","0,00",0,4,"0,00","1,00"
"main.org.apache.tools.ant.taskdefs.optional.image","0,00",0,5,"0,00","1,00"
"main.org.apache.tools.ant.taskdefs.optional.j2ee","0,33",0,13,"0,33","1,00"
"main.org.apache.tools.ant.taskdefs.optional.javacc","0,00",0,12,"0,00","1,00"
"main.org.apache.tools.ant.taskdefs.optional.javah","0,20",2,20,"0,11","0,91"
"main.org.apache.tools.ant.taskdefs.optional.jdepend","0,00",1,6,"0,14","1,00"
"main.org.apache.tools.ant.taskdefs.optional.jlink","0,00",1,5,"0,17","0,83"
"main.org.apache.tools.ant.taskdefs.optional.jsp","0,17",9,9,"0,33","0,56"
"main.org.apache.tools.ant.taskdefs.optional.jsp.compilers","0,50",4,11,"0,23","0,73"
