smells_analysis,Sex, 18 mai 2018 16:12:20 BRT
Method,CALL,CALLED,CALLEDp,CDENS,CONTROL,ev(G),EXEC,EXP,IF_NEST,IMP,iv(G),LOC,LOOP,LOOP_NEST,NBD,NCLOC,NP,NTP,RLOC,STAT,v(G)
"null.canEncode(String)",0,15,9,"0,00%",0,1,1,1,0,n/a,1,1,0,0,0,1,1,0,"4,17%",1,1
"null.compare(Comparable<?>,Comparable<?>)",1,4,1,"0,00%",0,1,1,8,0,n/a,1,3,0,0,0,3,2,0,"60,00%",1,1
"null.compare(ZipEntry,ZipEntry)",2,4,1,"30,00%",3,4,7,45,1,n/a,1,16,0,0,1,16,2,0,"88,89%",10,8
"null.decode(byte[])",3,10,9,"30,00%",3,3,7,27,1,n/a,2,12,1,1,2,12,1,0,"50,00%",10,3
"null.encode(String)",3,18,11,"14,29%",1,1,6,24,0,n/a,2,9,1,1,1,8,1,0,"37,50%",7,2
"null.eval(int,int)",0,1,1,"0,00%",0,1,1,3,0,n/a,1,1,0,0,0,1,2,0,"33,33%",1,1
"null.evaluate(String,PropertyHelper)",5,1,1,"0,00%",0,1,1,21,0,n/a,3,5,0,0,0,5,2,0,"55,56%",1,3
"null.filterResource(Resource)",4,1,1,"40,00%",2,3,3,14,1,n/a,2,11,1,1,2,8,1,0,"84,62%",5,3
"null.getFallbackFormat()",1,2,2,"0,00%",0,1,1,9,0,n/a,1,4,0,0,0,4,0,0,"20,00%",1,1
"null.getPrimaryFormat()",1,2,2,"0,00%",0,1,1,9,0,n/a,1,14,0,0,0,4,0,0,"70,00%",1,1
"null.getProperty(String)",0,2,2,"0,00%",0,1,1,1,0,n/a,1,4,0,0,0,3,1,0,"66,67%",1,1
"null.getReader(Reader)",0,1,1,"0,00%",0,1,1,1,0,n/a,1,3,0,0,0,3,1,0,"60,00%",1,1
"null.getReader(Resource)",4,1,1,"0,00%",0,1,2,13,0,n/a,1,6,0,0,0,6,1,0,"75,00%",2,2
"null.getTargetSelectorForSource(Resource)",0,1,1,"0,00%",0,1,1,1,0,n/a,1,4,0,0,0,4,1,0,"66,67%",1,1
"null.hasNext()",0,169,151,"0,00%",0,1,1,1,0,n/a,1,3,0,0,0,3,0,0,"27,27%",1,1
"null.initialValue()",0,0,0,"0,00%",0,1,1,2,0,n/a,1,3,0,0,0,3,0,0,"60,00%",1,1
"null.isFilesystemOnly()",0,18,18,"0,00%",0,1,1,1,0,n/a,1,3,0,0,0,3,0,0,"27,27%",1,1
"null.isSelected(Resource)",1,9,9,"0,00%",0,1,1,4,0,n/a,1,3,0,0,0,3,1,0,"60,00%",1,1
"null.iterator()",0,27,27,"0,00%",0,1,1,1,0,n/a,1,3,0,0,0,3,0,0,"27,27%",1,1
"null.log(String)",0,2,2,"0,00%",0,1,0,0,0,n/a,1,3,0,0,0,2,1,0,"60,00%",0,1
"null.next()",1,186,160,"0,00%",0,1,1,1,0,n/a,1,3,0,0,0,3,0,0,"27,27%",1,1
"null.parsePropertyName(String,ParsePosition,ParseNextProperty)",5,1,1,"40,00%",2,1,3,29,2,n/a,4,21,0,0,2,10,3,0,"87,50%",5,4
"null.read()",0,48,33,"0,00%",0,1,1,1,0,n/a,1,3,0,0,0,3,0,0,"60,00%",1,1
"null.remove()",1,2,2,"0,00%",0,1,1,1,0,n/a,1,3,0,0,0,3,0,0,"27,27%",1,1
"null.size()",0,30,30,"0,00%",0,1,1,1,0,n/a,1,3,0,0,0,3,0,0,"27,27%",1,1
"org.apache.tools.ant.AntClassLoader.AntClassLoader()",1,1,1,"0,00%",0,1,1,3,0,n/a,1,6,0,0,0,3,0,0,"0,41%",1,1
"org.apache.tools.ant.AntClassLoader.AntClassLoader(ClassLoader,Project,Path)",3,0,0,"0,00%",0,1,3,9,0,n/a,1,14,0,0,0,5,3,0,"0,96%",3,1
"org.apache.tools.ant.AntClassLoader.AntClassLoader(ClassLoader,Project,Path,boolean)",4,8,4,"20,00%",1,1,4,15,1,n/a,2,25,0,0,1,9,4,0,"1,71%",5,2
"org.apache.tools.ant.AntClassLoader.AntClassLoader(ClassLoader,boolean)",1,0,0,"0,00%",0,1,3,10,0,n/a,1,18,0,0,0,5,2,0,"1,23%",3,1
"org.apache.tools.ant.AntClassLoader.AntClassLoader(Project,Path)",3,1,1,"0,00%",0,1,3,9,0,n/a,1,16,0,0,0,5,2,0,"1,09%",3,1
"org.apache.tools.ant.AntClassLoader.AntClassLoader(Project,Path,boolean)",1,0,0,"0,00%",0,1,1,6,0,n/a,1,15,0,0,0,3,3,0,"1,03%",1,1
"org.apache.tools.ant.AntClassLoader.ResourceEnumeration.ResourceEnumeration(String)",1,1,1,"0,00%",0,1,3,10,0,n/a,1,11,0,0,0,5,1,0,"13,92%",3,1
"org.apache.tools.ant.AntClassLoader.ResourceEnumeration.findNextResource()",3,2,2,"28,57%",2,1,5,29,0,n/a,3,20,1,1,2,12,0,0,"25,32%",7,4
"org.apache.tools.ant.AntClassLoader.ResourceEnumeration.hasMoreElements()",0,211,195,"0,00%",0,1,1,5,0,n/a,1,10,0,0,0,3,0,0,"12,66%",1,1
"org.apache.tools.ant.AntClassLoader.ResourceEnumeration.nextElement()",2,212,191,"20,00%",1,2,4,9,1,n/a,1,13,0,0,1,8,0,0,"16,46%",5,2
"org.apache.tools.ant.AntClassLoader.addJavaLibraries()",5,6,6,"20,00%",1,1,4,15,0,n/a,2,12,1,1,1,8,0,0,"0,82%",5,2
"org.apache.tools.ant.AntClassLoader.addLoaderPackageRoot(String)",2,3,3,"0,00%",0,1,1,13,0,n/a,1,12,0,0,0,3,1,0,"0,82%",1,2
"org.apache.tools.ant.AntClassLoader.addPathComponent(File)",2,2,2,"33,33%",1,2,2,8,1,n/a,1,13,0,0,1,6,1,0,"0,89%",3,2
"org.apache.tools.ant.AntClassLoader.addPathElement(String)",4,2,2,"25,00%",1,1,3,15,0,n/a,2,18,0,0,1,9,1,0,"1,23%",4,3
"org.apache.tools.ant.AntClassLoader.addPathFile(File)",28,2,2,"37,50%",12,7,20,123,2,n/a,9,60,1,1,3,50,1,0,"4,10%",32,12
"org.apache.tools.ant.AntClassLoader.addSystemPackageRoot(String)",2,5,5,"0,00%",0,1,1,13,0,n/a,1,12,0,0,0,3,1,0,"0,82%",1,2
"org.apache.tools.ant.AntClassLoader.buildFinished(BuildEvent)",1,5,5,"0,00%",0,1,1,2,0,n/a,1,9,0,0,0,3,1,0,"0,62%",1,1
"org.apache.tools.ant.AntClassLoader.buildStarted(BuildEvent)",0,3,3,"0,00%",0,1,0,0,0,n/a,1,8,0,0,0,2,1,0,"0,55%",0,1
"org.apache.tools.ant.AntClassLoader.cleanup()",6,29,26,"33,33%",3,1,6,25,1,n/a,3,19,1,1,2,14,0,0,"1,30%",9,4
"org.apache.tools.ant.AntClassLoader.defineClassFromData(File,byte[],String)",10,1,1,"0,00%",0,1,6,36,0,n/a,1,28,0,0,0,15,3,0,"1,91%",6,1
"org.apache.tools.ant.AntClassLoader.definePackage(File,String)",6,1,1,"30,00%",3,3,7,38,1,n/a,2,28,0,0,1,16,2,0,"1,91%",10,4
