Martin packaging metrics,Seg, 4 dez 2017 18:31:24 BRST
Package,A,Ca,Ce,D,I
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo","0,00",17,22,"0,44","0,58"
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo.columns","0,11",35,12,"0,63","0,26"
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo.mr","0,00",2,12,"0,14","0,86"
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo.predicate","0,00",5,31,"0,14","0,86"
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo.predicate.compare","0,15",33,0,"0,85","0,00"
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo.serde","0,11",17,39,"0,19","0,70"
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo","0,00",0,19,"0,00","1,00"
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo.columns","0,00",0,9,"0,00","1,00"
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo.mr","0,00",0,25,"0,00","1,00"
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo.predicate","0,00",0,20,"0,00","1,00"
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo.predicate.compare","0,00",0,0,"0,00","1,00"
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo.serde","0,00",0,35,"0,00","1,00"
"ant.src.org.apache.hadoop.hive.ant","0,00",5,4,"0,56","1,00"
"beeline.src.java.org.apache.hive.beeline","0,18",20,19,"0,34","0,56"
"beeline.src.java.org.apache.hive.beeline.util","0,00",1,3,"0,25","1,00"
"beeline.src.test.org.apache.hive.beeline","0,00",1,5,"0,17","1,00"
"cli.src.java.org.apache.hadoop.hive.cli","0,00",20,18,"0,53","0,47"
"cli.src.test.org.apache.hadoop.hive.cli","0,00",8,19,"0,30","0,92"
"common.src.java.org.apache.hadoop.hive.ant","0,00",0,2,"0,00","1,00"
"common.src.java.org.apache.hadoop.hive.common","0,19",102,8,"0,74","0,08"
"common.src.java.org.apache.hadoop.hive.common.classification","0,75",0,0,"0,75","1,00"
"common.src.java.org.apache.hadoop.hive.common.cli","0,50",6,1,"0,36","0,14"
"common.src.java.org.apache.hadoop.hive.common.io","0,14",29,0,"0,86","0,00"
"common.src.java.org.apache.hadoop.hive.common.metrics","0,25",4,2,"0,42","0,33"
"common.src.java.org.apache.hadoop.hive.common.type","0,12",94,2,"0,85","0,02"
"common.src.java.org.apache.hadoop.hive.conf","0,25",282,10,"0,72","0,01"
"common.src.java.org.apache.hive.common","0,33",5,2,"0,38","0,40"
"common.src.java.org.apache.hive.common.util","0,00",20,2,"0,91","0,10"
"common.src.test.org.apache.hadoop.hive.common.metrics","0,00",0,1,"0,00","1,00"
"common.src.test.org.apache.hadoop.hive.common.type","0,00",0,1,"0,00","1,00"
"common.src.test.org.apache.hadoop.hive.conf","0,00",0,6,"0,00","1,00"
"common.src.test.org.apache.hive.common.util","0,00",0,0,"0,00","1,00"
"contrib.src.java.org.apache.hadoop.hive.contrib.fileformat.base64","0,00",3,6,"0,33","0,80"
"contrib.src.java.org.apache.hadoop.hive.contrib.genericudf.example","0,00",0,6,"0,00","1,00"
"contrib.src.java.org.apache.hadoop.hive.contrib.metastore.hooks","0,00",0,2,"0,00","1,00"
"contrib.src.java.org.apache.hadoop.hive.contrib.mr","0,50",6,3,"0,17","0,33"
"contrib.src.java.org.apache.hadoop.hive.contrib.mr.example","0,00",0,2,"0,00","1,00"
"contrib.src.java.org.apache.hadoop.hive.contrib.serde2","0,00",0,13,"0,00","1,00"
"contrib.src.java.org.apache.hadoop.hive.contrib.serde2.s3","0,00",0,2,"0,00","1,00"
"contrib.src.java.org.apache.hadoop.hive.contrib.udaf.example","0,04",3,27,"0,06","0,86"
"contrib.src.java.org.apache.hadoop.hive.contrib.udf","0,00",0,1,"0,00","1,00"
"contrib.src.java.org.apache.hadoop.hive.contrib.udf.example","0,00",0,5,"0,00","1,00"
"contrib.src.java.org.apache.hadoop.hive.contrib.udtf.example","0,00",0,9,"0,00","1,00"
