Dependency metrics,Qua, 13 dez 2017 11:40:14 BRST
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"net.sourceforge.atunes.ApplicationArguments",0,0,0,1,1
"net.sourceforge.atunes.CheckThreadViolationRepaintManager",0,0,0,1,1
"net.sourceforge.atunes.Constants",240,1,286,30,247
"net.sourceforge.atunes.Main",0,11,291,0,0
"net.sourceforge.atunes.UncaughtExceptionHandler",0,3,287,1,1
"net.sourceforge.atunes.gui.AutoCompleteFeature",0,0,0,2,248
"net.sourceforge.atunes.gui.ColorDefinitions",0,1,1,4,248
"net.sourceforge.atunes.gui.Cover3D",240,2,286,1,247
"net.sourceforge.atunes.gui.FontSingleton",240,2,286,34,247
"net.sourceforge.atunes.gui.GuiUtils",0,0,0,12,250
"net.sourceforge.atunes.gui.LookAndFeelSelector",240,4,286,3,247
"net.sourceforge.atunes.gui.MultipleFrame",240,19,286,1,247
"net.sourceforge.atunes.gui.StandardFrame",240,15,286,4,247
"net.sourceforge.atunes.gui.ToolBar",240,2,286,7,247
"net.sourceforge.atunes.gui.dockableView.DockableDialog",240,3,286,2,247
"net.sourceforge.atunes.gui.dockableView.DockableFrame",240,4,286,3,247
"net.sourceforge.atunes.gui.dockableView.DockableFrameController",240,5,286,1,247
"net.sourceforge.atunes.gui.dockableView.DockableWindow",240,4,286,6,247
"net.sourceforge.atunes.gui.dockableView.MouseResizeListener",240,1,286,1,247
"net.sourceforge.atunes.gui.images.ImageLoader",240,2,286,39,247
"net.sourceforge.atunes.gui.images.themes.ThemePreviewLoader",0,0,0,1,248
"net.sourceforge.atunes.gui.model.AudioScrobblerAlbumsTableModel",240,2,286,1,247
"net.sourceforge.atunes.gui.model.AudioScrobblerArtistsTableModel",240,3,286,1,247
"net.sourceforge.atunes.gui.model.AudioScrobblerTracksTableModel",240,4,286,1,247
"net.sourceforge.atunes.gui.model.NavigationTableModel",240,11,286,8,247
"net.sourceforge.atunes.gui.model.PlayListTableModel",240,8,286,12,247
"net.sourceforge.atunes.gui.model.TransferableList",240,1,286,3,247
"net.sourceforge.atunes.gui.views.RendererSingleton",240,14,286,3,247
"net.sourceforge.atunes.gui.views.controls.CustomButton",240,1,286,17,247
"net.sourceforge.atunes.gui.views.controls.CustomDialog",0,1,1,17,248
"net.sourceforge.atunes.gui.views.controls.CustomJFileChooser",0,0,0,2,248
"net.sourceforge.atunes.gui.views.controls.DragSourceTable",240,2,286,1,247
"net.sourceforge.atunes.gui.views.controls.DragSourceTree",240,2,286,1,247
"net.sourceforge.atunes.gui.views.controls.Link",240,1,286,1,247
