Martin packaging metrics,Qua, 13 dez 2017 11:49:12 BRST
Package,A,Ca,Ce,D,I
"net.sourceforge.atunes","0,00",21,8,"0,72","0,28"
"net.sourceforge.atunes.gui","0,10",40,33,"0,45","0,45"
"net.sourceforge.atunes.gui.dockableView","0,43",10,8,"0,13","0,44"
"net.sourceforge.atunes.gui.images","0,00",16,1,"0,94","0,06"
"net.sourceforge.atunes.gui.images.themes","0,00",1,0,"1,00","0,00"
"net.sourceforge.atunes.gui.model","0,00",12,22,"0,35","0,65"
"net.sourceforge.atunes.gui.views","0,00",2,9,"0,18","0,82"
"net.sourceforge.atunes.gui.views.controls","0,00",22,9,"0,71","0,29"
"net.sourceforge.atunes.gui.views.controls.playList","0,17",28,38,"0,26","0,62"
"net.sourceforge.atunes.gui.views.dialogs","0,00",46,100,"0,32","0,70"
"net.sourceforge.atunes.gui.views.dialogs.editPreferences","0,08",14,35,"0,20","0,71"
"net.sourceforge.atunes.gui.views.dialogs.fullScreen","0,00",2,13,"0,13","0,87"
"net.sourceforge.atunes.gui.views.dialogs.properties","0,00",5,26,"0,16","0,84"
"net.sourceforge.atunes.gui.views.menu","0,00",4,3,"0,57","0,43"
"net.sourceforge.atunes.gui.views.panels","0,00",26,27,"0,49","0,51"
"net.sourceforge.atunes.kernel","0,00",39,34,"0,53","0,47"
"net.sourceforge.atunes.kernel.controllers","0,00",1,11,"0,08","0,92"
"net.sourceforge.atunes.kernel.controllers.audioScrobbler","0,00",4,21,"0,16","0,84"
"net.sourceforge.atunes.kernel.controllers.coverNavigator","0,00",3,5,"0,38","0,62"
"net.sourceforge.atunes.kernel.controllers.editPreferencesDialog","0,00",3,11,"0,21","0,79"
"net.sourceforge.atunes.kernel.controllers.editTagDialog","0,00",5,14,"0,26","0,74"
"net.sourceforge.atunes.kernel.controllers.editTitlesDialog","0,00",5,13,"0,28","0,72"
"net.sourceforge.atunes.kernel.controllers.exportOptionsDialog","0,00",4,16,"0,20","0,80"
