Martin packaging metrics,Sex, 17 nov 2017 11:25:20 BRST
Package,A,Ca,Ce,D,I
"java.org.apache.cassandra.auth","0,24",27,64,"0,06","0,79"
"java.org.apache.cassandra.batchlog","0,10",16,45,"0,16","0,68"
"java.org.apache.cassandra.cache","0,28",27,45,"0,09","0,60"
"java.org.apache.cassandra.client","0,00",0,2,"0,00","1,00"
"java.org.apache.cassandra.concurrent","0,19",77,26,"0,56","0,20"
"java.org.apache.cassandra.config","0,06",320,46,"0,81","0,13"
"java.org.apache.cassandra.cql3","0,20",258,435,"0,17","0,46"
"java.org.apache.cassandra.cql3.functions","0,42",44,77,"0,05","0,66"
"java.org.apache.cassandra.cql3.restrictions","0,35",23,183,"0,24","0,92"
"java.org.apache.cassandra.cql3.selection","0,32",23,91,"0,12","0,87"
"java.org.apache.cassandra.cql3.statements","0,16",92,364,"0,05","0,86"
"java.org.apache.cassandra.db","0,14",479,567,"0,32","0,47"
"java.org.apache.cassandra.db.columniterator","0,20",9,32,"0,02","0,83"
"java.org.apache.cassandra.db.commitlog","0,20",33,77,"0,10","0,73"
"java.org.apache.cassandra.db.compaction","0,14",101,179,"0,22","0,66"
"java.org.apache.cassandra.db.compaction.writers","0,20",10,32,"0,04","0,76"
"java.org.apache.cassandra.db.context","0,00",17,6,"0,74","0,29"
"java.org.apache.cassandra.db.filter","0,21",90,126,"0,21","0,43"
"java.org.apache.cassandra.db.lifecycle","0,00",52,65,"0,44","0,54"
"java.org.apache.cassandra.db.marshal","0,11",206,136,"0,49","0,39"
"java.org.apache.cassandra.db.partitions","0,46",108,76,"0,12","0,34"
"java.org.apache.cassandra.db.rows","0,46",152,143,"0,06","0,42"
"java.org.apache.cassandra.db.transform","0,50",24,24,"0,00","0,52"
"java.org.apache.cassandra.db.view","0,09",17,59,"0,13","0,79"
"java.org.apache.cassandra.dht","0,24",179,87,"0,43","0,30"
"java.org.apache.cassandra.dht.tokenallocator","0,25",15,18,"0,20","0,70"
"java.org.apache.cassandra.exceptions","0,15",127,13,"0,75","0,09"
"java.org.apache.cassandra.gms","0,14",81,81,"0,36","0,48"
"java.org.apache.cassandra.hadoop","0,00",5,3,"0,62","0,38"
"java.org.apache.cassandra.hadoop.cql3","0,00",12,35,"0,26","0,88"
"java.org.apache.cassandra.hints","0,05",42,117,"0,22","0,75"
"java.org.apache.cassandra.index","0,44",36,37,"0,05","0,56"
"java.org.apache.cassandra.index.internal","0,75",13,31,"0,45","0,70"
"java.org.apache.cassandra.index.internal.composites","0,12",1,39,"0,10","0,97"
"java.org.apache.cassandra.index.internal.keys","0,00",2,9,"0,18","0,82"
"java.org.apache.cassandra.index.transactions","0,80",9,5,"0,16","0,50"
"java.org.apache.cassandra.io","0,67",49,4,"0,26","0,08"
"java.org.apache.cassandra.io.compress","0,13",35,39,"0,34","0,48"
"java.org.apache.cassandra.io.sstable","0,17",124,150,"0,29","0,53"
"java.org.apache.cassandra.io.sstable.format","0,42",104,53,"0,24","0,31"
"java.org.apache.cassandra.io.sstable.format.big","0,00",20,72,"0,22","0,73"
"java.org.apache.cassandra.io.sstable.metadata","0,20",46,46,"0,30","0,43"
"java.org.apache.cassandra.io.util","0,18",267,110,"0,52","0,22"
"java.org.apache.cassandra.locator","0,30",52,64,"0,15","0,56"
"java.org.apache.cassandra.metrics","0,19",87,62,"0,39","0,45"
"java.org.apache.cassandra.net","0,19",110,67,"0,43","0,39"
"java.org.apache.cassandra.notifications","0,25",2,6,"0,00","0,75"
"java.org.apache.cassandra.repair","0,04",30,99,"0,19","0,78"
"java.org.apache.cassandra.repair.messages","0,10",33,72,"0,22","0,54"
"java.org.apache.cassandra.scheduler","0,20",4,4,"0,30","0,57"
"java.org.apache.cassandra.schema","0,00",160,86,"0,65","0,31"
"java.org.apache.cassandra.security","0,00",4,2,"0,67","0,33"
"java.org.apache.cassandra.serializers","0,10",59,25,"0,60","0,30"
"java.org.apache.cassandra.service","0,23",171,260,"0,16","0,57"
"java.org.apache.cassandra.service.pager","0,18",15,40,"0,09","0,68"
"java.org.apache.cassandra.service.paxos","0,09",18,37,"0,24","0,59"
"java.org.apache.cassandra.streaming","0,15",81,104,"0,29","0,52"
"java.org.apache.cassandra.streaming.compress","0,00",9,29,"0,24","0,74"
"java.org.apache.cassandra.streaming.management","0,00",3,5,"0,38","0,62"
"java.org.apache.cassandra.streaming.messages","0,14",15,60,"0,06","0,80"
"java.org.apache.cassandra.thrift","0,07",20,61,"0,18","0,77"
"java.org.apache.cassandra.tools","0,06",23,96,"0,13","0,89"
"java.org.apache.cassandra.tools.nodetool","0,00",1,110,"0,01","1,00"
"java.org.apache.cassandra.tracing","0,00",24,17,"0,59","0,46"
"java.org.apache.cassandra.transport","0,22",97,85,"0,31","0,47"
"java.org.apache.cassandra.transport.messages","0,04",41,59,"0,37","0,73"
"java.org.apache.cassandra.triggers","0,33",3,7,"0,03","0,70"
"java.org.apache.cassandra.utils","0,19",499,156,"0,58","0,16"
"java.org.apache.cassandra.utils.btree","0,18",51,16,"0,58","0,32"
"java.org.apache.cassandra.utils.concurrent","0,32",133,31,"0,49","0,09"
"java.org.apache.cassandra.utils.memory","0,22",37,39,"0,26","0,53"
"java.org.apache.cassandra.utils.obs","0,25",8,6,"0,32","0,43"
"java.org.apache.cassandra.utils.progress","0,60",18,0,"0,40","0,00"
"java.org.apache.cassandra.utils.progress.jmx","0,50",2,2,"0,00","0,50"
"java.org.apache.cassandra.utils.vint","0,00",4,0,"1,00","0,00"

