SmellMetrics,Seg, 4 jun 2018 10:36:43 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"null.add(ByteBuffer)",1,2,n/a,4,0,1,1,1
"null.add(Object)",1,2,n/a,4,0,1,1,1
"null.add(Permission)",1,0,n/a,4,0,1,1,1
"null.addIndexClusteringColumns(Builder,CFMetaData,ColumnDefinition)",4,0,n/a,10,0,3,4,2
"null.allocate(int)",1,1,n/a,4,0,1,1,1
"null.allowClusteringColumnSlices()",0,2,n/a,5,0,0,1,1
"null.allowNonPrimaryKeyInWhereClause()",0,1,n/a,5,0,0,1,1
"null.allowPartitionKeyRanges()",0,1,n/a,5,0,0,1,1
"null.allowUseOfSecondaryIndices()",0,1,n/a,5,0,0,1,1
"null.apply(ColumnDefinition)",1,0,n/a,4,0,1,1,1
"null.apply(IMutation,Iterable<InetAddress>,AbstractWriteResponseHandler<IMutation>,String,ConsistencyLevel)",3,1,n/a,9,0,5,1,1
"null.apply(InetAddress)",1,0,n/a,4,0,1,1,1
"null.apply(Row)",4,0,n/a,7,0,1,1,1
"null.apply(SSTableReader)",1,0,n/a,4,0,1,1,1
"null.apply(String)",1,0,n/a,4,0,1,1,1
"null.apply(Term)",1,0,n/a,4,0,1,1,1
"null.avgSize(List<SSTableReader>)",2,2,n/a,7,0,1,4,2
"null.bind(QueryOptions)",0,0,n/a,6,0,1,1,1
"null.build()",0,2,n/a,4,0,0,1,1
"null.buildBound(boolean,boolean)",1,0,n/a,4,0,2,1,1
"null.buildBoundWith(ByteBuffer,boolean,boolean)",1,0,n/a,4,0,3,1,1
"null.buildBoundWith(List<ByteBuffer>,boolean,boolean)",1,0,n/a,4,0,3,1,1
"null.buildSlice()",1,1,n/a,4,0,0,1,1
"null.buildWith(ByteBuffer)",1,0,n/a,4,0,1,1,1
"null.buildWith(List<ByteBuffer>)",1,0,n/a,4,0,1,1,1
"null.cancel()",0,1,n/a,3,0,0,0,1
"null.commit()",0,1,n/a,3,0,0,0,1
"null.comparator()",1,0,n/a,4,0,0,1,1
"null.compare(ColumnDefinition,ColumnDefinition)",4,0,n/a,6,0,2,2,2
"null.compare(DecoratedKey,DecoratedKey)",1,0,n/a,4,0,2,1,1
"null.compare(InetAddress,InetAddress)",5,0,n/a,4,0,2,1,1
"null.compare(Interval<Comparable, Object>,Interval<Comparable, Object>)",1,0,n/a,4,0,2,1,1
"null.compare(Pair<List<SSTableReader>, Double>,Pair<List<SSTableReader>, Double>)",4,0,n/a,9,0,2,4,2
"null.compare(Partition,Partition)",3,0,n/a,4,0,2,1,1
"null.compare(ReplayPosition,ReplayPosition)",2,0,n/a,6,0,2,3,2
"null.compare(SSTableReader,SSTableReader)",1,0,n/a,4,0,2,1,1
"null.compare(StreamMessage,StreamMessage)",2,0,n/a,4,0,2,1,1
"null.compareAsymmetric(Interval<Comparable, Object>,Comparable)",1,0,n/a,4,0,2,1,1
"null.count()",0,0,n/a,4,0,0,1,1
"null.decode(ByteBuf,int)",2,0,n/a,5,0,2,2,1
"null.deserialize(ReadableByteChannel,int,StreamSession)",1,0,n/a,4,0,3,1,1
"null.elements()",1,0,n/a,4,0,0,1,1
"null.encode(AuthChallenge,ByteBuf,int)",1,0,n/a,4,0,3,1,1
"null.encode(AuthResponse,ByteBuf,int)",1,0,n/a,4,0,3,1,1
"null.encode(AuthSuccess,ByteBuf,int)",1,0,n/a,4,0,3,1,1
"null.encode(AuthenticateMessage,ByteBuf,int)",1,0,n/a,4,0,3,1,1
"null.encode(BatchMessage,ByteBuf,int)",13,0,n/a,20,1,3,15,5
"null.encode(CredentialsMessage,ByteBuf,int)",1,0,n/a,4,0,3,1,1
"null.encode(ErrorMessage,ByteBuf,int)",30,0,n/a,57,2,3,48,11
"null.encode(EventMessage,ByteBuf,int)",1,0,n/a,4,0,3,1,1
"null.encode(ExecuteMessage,ByteBuf,int)",6,0,n/a,13,1,3,5,2
"null.encode(OptionsMessage,ByteBuf,int)",0,0,n/a,3,0,3,0,1
"null.encode(PrepareMessage,ByteBuf,int)",1,0,n/a,4,0,3,1,1
"null.encode(QueryMessage,ByteBuf,int)",4,0,n/a,8,0,3,4,2
"null.encode(ReadyMessage,ByteBuf,int)",0,0,n/a,3,0,3,0,1
"null.encode(RegisterMessage,ByteBuf,int)",3,0,n/a,6,0,3,3,2
"null.encode(ResultMessage,ByteBuf,int)",1,0,n/a,6,0,3,3,1
"null.encode(StartupMessage,ByteBuf,int)",1,0,n/a,4,0,3,1,1
"null.encode(SupportedMessage,ByteBuf,int)",1,0,n/a,4,0,3,1,1
"null.encodedSize(AuthChallenge,int)",1,0,n/a,4,0,2,1,1
"null.encodedSize(AuthResponse,int)",1,0,n/a,4,0,2,1,1
"null.encodedSize(AuthSuccess,int)",1,0,n/a,4,0,2,1,1
"null.encodedSize(AuthenticateMessage,int)",1,0,n/a,4,0,2,1,1
"null.encodedSize(BatchMessage,int)",9,0,n/a,16,1,2,9,4
"null.encodedSize(CredentialsMessage,int)",1,0,n/a,4,0,2,1,1
"null.encodedSize(ErrorMessage,int)",19,0,n/a,44,2,2,37,9
"null.encodedSize(EventMessage,int)",1,0,n/a,4,0,2,1,1
"null.encodedSize(ExecuteMessage,int)",6,0,n/a,15,1,2,7,2
"null.encodedSize(OptionsMessage,int)",0,0,n/a,4,0,2,1,1
"null.encodedSize(PrepareMessage,int)",1,0,n/a,4,0,2,1,1
"null.encodedSize(QueryMessage,int)",4,0,n/a,13,1,2,5,2
"null.encodedSize(ReadyMessage,int)",0,0,n/a,4,0,2,1,1
"null.encodedSize(RegisterMessage,int)",1,0,n/a,7,0,2,4,2
"null.encodedSize(ResultMessage,int)",1,0,n/a,6,0,2,3,1
"null.encodedSize(StartupMessage,int)",1,0,n/a,4,0,2,1,1
"null.encodedSize(SupportedMessage,int)",1,0,n/a,4,0,2,1,1
"null.execute()",4,0,n/a,16,1,0,5,3
"null.execute(ConsistencyLevel,ClientState)",1,0,n/a,4,0,2,1,1
