Complexity metrics,Qua, 13 dez 2017 15:31:40 BRST
Method,ev(G),iv(G),v(G)
"freemind.common.BooleanProperty.BooleanProperty(String,String)",1,1,1
"freemind.common.BooleanProperty.getDescription()",1,1,1
"freemind.common.BooleanProperty.getLabel()",1,1,1
"freemind.common.BooleanProperty.getValue()",1,1,2
"freemind.common.BooleanProperty.layout(DefaultFormBuilder,TextTranslator)",1,1,1
"freemind.common.BooleanProperty.setEnabled(boolean)",1,1,1
"freemind.common.BooleanProperty.setValue(String)",2,3,4
"freemind.common.ColorProperty.ColorProperty(String,String,String,TextTranslator)",1,1,1
"freemind.common.ColorProperty.actionPerformed(ActionEvent)",1,2,2
"freemind.common.ColorProperty.getColorValue()",1,1,1
"freemind.common.ColorProperty.getDescription()",1,1,1
"freemind.common.ColorProperty.getLabel()",1,1,1
"freemind.common.ColorProperty.getValue()",1,1,1
"freemind.common.ColorProperty.layout(DefaultFormBuilder,TextTranslator)",1,3,3
"freemind.common.ColorProperty.setColorValue(Color)",1,1,2
"freemind.common.ColorProperty.setEnabled(boolean)",1,1,1
"freemind.common.ColorProperty.setValue(String)",1,1,1
"freemind.common.ComboProperty.ComboProperty(String,String,List<String>,List<String>)",1,1,1
"freemind.common.ComboProperty.ComboProperty(String,String,String[],List<String>)",1,1,1
"freemind.common.ComboProperty.ComboProperty(String,String,String[],TextTranslator)",1,2,2
"freemind.common.ComboProperty.addActionListener()",1,1,1
"freemind.common.ComboProperty.fillPossibleValues(List<String>)",1,1,1
"freemind.common.ComboProperty.fillPossibleValues(String[])",1,1,1
"freemind.common.ComboProperty.getDescription()",1,1,1
"freemind.common.ComboProperty.getLabel()",1,1,1
"freemind.common.ComboProperty.getValue()",1,1,1
"freemind.common.ComboProperty.layout(DefaultFormBuilder,TextTranslator)",1,1,1
"freemind.common.ComboProperty.setEnabled(boolean)",1,1,1
"freemind.common.ComboProperty.setValue(String)",1,3,3
"freemind.common.ComboProperty.updateComboBoxEntries(List<String>,List<String>)",1,2,2
"freemind.common.DontShowNotificationProperty.DontShowNotificationProperty(String,String)",1,1,1
"freemind.common.FontProperty.FontProperty(String,String,TextTranslator)",1,1,1
"freemind.common.FontProperty.getDescription()",1,1,1
"freemind.common.FontProperty.getLabel()",1,1,1
"freemind.common.FontProperty.getValue()",1,1,1
"freemind.common.FontProperty.layout(DefaultFormBuilder,TextTranslator)",1,1,1
"freemind.common.FontProperty.setEnabled(boolean)",1,1,1
"freemind.common.FontProperty.setValue(String)",3,4,4
"freemind.common.FreeMindProgressMonitor.FreeMindProgressMonitor(String)",1,2,2
"freemind.common.FreeMindProgressMonitor.dismiss()",1,1,1
"freemind.common.FreeMindProgressMonitor.getString(String)",1,1,1
"freemind.common.FreeMindProgressMonitor.main(String[])",1,3,3
"freemind.common.FreeMindProgressMonitor.setProgress(int)",1,1,1
"freemind.common.FreeMindProgressMonitor.showProgress(int,String,Object[])",1,1,1
"freemind.common.FreeMindProgressMonitor.showProgress(int,int,String,Object[])",1,1,1
"freemind.common.FreeMindTask.FreeMindTask(RootPaneContainer,int,String)",1,1,1
"freemind.common.FreeMindTask.ProgressDescription.ProgressDescription(String,Object[])",1,1,1
"freemind.common.FreeMindTask.getAmountOfSteps()",1,1,1
"freemind.common.FreeMindTask.getRounds()",1,1,1
"freemind.common.FreeMindTask.isFinished()",1,1,1
"freemind.common.FreeMindTask.isInterrupted()",1,1,1
"freemind.common.FreeMindTask.run()",1,5,10
"freemind.common.FreeMindTask.setAmountOfSteps(int)",1,1,1
"freemind.common.FreeMindTask.setFinished(boolean)",1,1,1
"freemind.common.FreeMindTask.setInterrupted(boolean)",1,1,1
