Martin packaging metrics,Seg, 11 dez 2017 13:47:16 BRST
Package,A,Ca,Ce,D,I
"fr.jayasoft.ivy","0,30",200,103,"0,36","0,34"
"fr.jayasoft.ivy.ant","0,06",27,99,"0,16","0,82"
"fr.jayasoft.ivy.circular","0,29",11,13,"0,17","0,54"
"fr.jayasoft.ivy.conflict","0,12",9,15,"0,25","0,64"
"fr.jayasoft.ivy.event","0,50",17,15,"0,03","0,47"
"fr.jayasoft.ivy.event.download","0,20",5,15,"0,05","0,75"
"fr.jayasoft.ivy.event.resolve","0,00",10,15,"0,40","0,60"
"fr.jayasoft.ivy.extendable","0,25",22,3,"0,63","0,12"
"fr.jayasoft.ivy.external.m2","0,00",4,12,"0,25","0,67"
"fr.jayasoft.ivy.filter","0,14",13,7,"0,51","0,35"
"fr.jayasoft.ivy.latest","0,17",12,9,"0,40","0,45"
"fr.jayasoft.ivy.matcher","0,14",30,16,"0,51","0,30"
"fr.jayasoft.ivy.namespace","0,14",14,13,"0,38","0,43"
"fr.jayasoft.ivy.parser","0,75",17,15,"0,22","0,42"
"fr.jayasoft.ivy.report","0,12",29,19,"0,48","0,40"
"fr.jayasoft.ivy.repository","0,56",38,15,"0,16","0,28"
"fr.jayasoft.ivy.repository.file","0,00",4,5,"0,44","0,56"
"fr.jayasoft.ivy.repository.sftp","0,00",4,7,"0,36","0,67"
"fr.jayasoft.ivy.repository.ssh","0,11",13,18,"0,31","0,55"
"fr.jayasoft.ivy.repository.url","0,00",9,6,"0,60","0,40"
"fr.jayasoft.ivy.repository.vfs","0,00",7,10,"0,41","0,62"
"fr.jayasoft.ivy.repository.vsftp","0,00",3,9,"0,25","0,75"
"fr.jayasoft.ivy.resolver","0,24",43,90,"0,08","0,68"
"fr.jayasoft.ivy.status","0,00",6,3,"0,67","0,33"
"fr.jayasoft.ivy.tools.analyser","0,20",4,14,"0,02","0,78"
"fr.jayasoft.ivy.url","0,27",35,19,"0,38","0,36"
"fr.jayasoft.ivy.util","0,12",73,23,"0,64","0,21"
"fr.jayasoft.ivy.version","0,18",15,23,"0,21","0,62"
"fr.jayasoft.ivy.xml","0,00",20,31,"0,39","0,51"

