Dependency metrics,Qua, 13 dez 2017 14:38:28 BRST
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.eclipse.jdt.core.BindingKey",1.103,6,1.408,4,1.176
"org.eclipse.jdt.core.BufferChangedEvent",1.103,1,1.408,3,1.176
"org.eclipse.jdt.core.ClasspathContainerInitializer",1.103,4,1.408,4,1.176
"org.eclipse.jdt.core.ClasspathVariableInitializer",0,0,0,1,1.177
"org.eclipse.jdt.core.CompletionContext",1.103,1,1.408,6,1.176
"org.eclipse.jdt.core.CompletionFlags",0,0,0,2,1.177
"org.eclipse.jdt.core.CompletionProposal",1.103,2,1.408,6,1.176
"org.eclipse.jdt.core.CompletionRequestor",1.103,3,1.408,14,1.176
"org.eclipse.jdt.core.CompletionRequestorAdapter",0,2,3,0,0
"org.eclipse.jdt.core.CorrectionEngine",0,23,1.410,0,0
"org.eclipse.jdt.core.ElementChangedEvent",1.103,1,1.408,4,1.176
"org.eclipse.jdt.core.Flags",1.103,2,1.408,34,1.176
"org.eclipse.jdt.core.JavaConventions",1.103,18,1.408,12,1.176
"org.eclipse.jdt.core.JavaCore",1.103,60,1.408,85,1.176
"org.eclipse.jdt.core.JavaModelException",1.103,2,1.408,198,1.176
"org.eclipse.jdt.core.NamingConventions",0,7,1.410,0,0
"org.eclipse.jdt.core.NamingConventions.NamingRequestor",0,2,2,1,1
"org.eclipse.jdt.core.Signature",1.103,4,1.408,56,1.176
"org.eclipse.jdt.core.SourceRange",0,1,1,11,1.177
"org.eclipse.jdt.core.ToolFactory",1.103,28,1.408,5,1.176
"org.eclipse.jdt.core.WorkingCopyOwner",1.103,14,1.408,51,1.176
"org.eclipse.jdt.core.compiler.BuildContext",1.103,1,1.408,2,1.176
"org.eclipse.jdt.core.compiler.CategorizedProblem",1.103,3,1.408,65,1.176
"org.eclipse.jdt.core.compiler.CharOperation",1.103,2,1.408,312,1.176
"org.eclipse.jdt.core.compiler.CompilationParticipant",1.103,3,1.408,5,1.176
"org.eclipse.jdt.core.compiler.CompilationProgress",0,0,0,3,1.177
"org.eclipse.jdt.core.compiler.InvalidInputException",0,0,0,37,1.178
"org.eclipse.jdt.core.compiler.ReconcileContext",1.103,15,1.408,2,1.176
"org.eclipse.jdt.core.compiler.batch.BatchCompiler",0,2,1.409,0,0
"org.eclipse.jdt.core.dom.AST",1.103,119,1.408,128,1.176
"org.eclipse.jdt.core.dom.ASTConverter",1.103,234,1.408,3,1.176
"org.eclipse.jdt.core.dom.ASTMatcher",1.103,100,1.408,93,1.176
"org.eclipse.jdt.core.dom.ASTNode",1.103,102,1.408,178,1.176
"org.eclipse.jdt.core.dom.ASTNode.NodeList",1.103,4,1.408,54,1.176
"org.eclipse.jdt.core.dom.ASTNode.NodeList.Cursor",1.103,1,1.408,2,1.176
"org.eclipse.jdt.core.dom.ASTParser",1.103,60,1.408,10,1.176
"org.eclipse.jdt.core.dom.ASTRecoveryPropagator",1.103,60,1.408,2,1.176
"org.eclipse.jdt.core.dom.ASTRequestor",1.103,5,1.408,2,1.176
"org.eclipse.jdt.core.dom.ASTSyntaxErrorPropagator",1.103,14,1.408,2,1.176
