Complexity metrics,Qua, 13 dez 2017 16:15:53 BRST
Method,ev(G),iv(G),v(G)
"csidekick.CSideKickOptionPane.CSideKickOptionPane()",1,1,1
"csidekick.CSideKickOptionPane._init()",1,1,1
"csidekick.CSideKickOptionPane._save()",1,1,1
"csidekick.Project.getName()",1,1,1
"csidekick.Project.load(String)",1,1,1
"csidekick.Project.save()",1,1,1
"csidekick.ProjectProperties.ProjectProperties()",1,2,3
"csidekick.ProjectProperties.getIncludePath()",1,1,1
"csidekick.ProjectProperties.getProperty(String)",1,1,1
"csidekick.ProjectProperties.getProperty(String,String)",1,1,2
"csidekick.ProjectProperties.isCProject()",1,1,1
"csidekick.ProjectProperties.setCProject(boolean)",1,1,1
"csidekick.ProjectProperties.setIncludePath(String)",1,1,1
"csidekick.ProjectProperties.setProperty(String,String)",1,1,1
"csidekick.node.BlockNode.BlockNode()",1,1,1
"csidekick.node.BlockNode.BlockNode(String)",1,1,1
"csidekick.node.BlockNode.getOrdinal()",1,1,1
"csidekick.node.CUNode.CUNode()",1,1,1
"csidekick.node.CUNode.addInclude(IncludeNode)",2,1,3
"csidekick.node.CUNode.getImport(String)",4,2,4
"csidekick.node.CUNode.getIncludeNodes()",1,1,1
"csidekick.node.CUNode.getIncludes()",1,2,2
"csidekick.node.CUNode.getOrdinal()",1,1,1
"csidekick.node.CUNode.getPackageName()",1,1,1
"csidekick.node.CUNode.getResults()",1,1,1
"csidekick.node.CUNode.setPackageName(String)",1,1,1
"csidekick.node.CUNode.setResults(Results)",1,1,1
"csidekick.node.CUNode.toString()",1,2,2
"csidekick.node.ClassNode.ClassNode(String,int)",1,1,1
"csidekick.node.ClassNode.getOrdinal()",1,1,1
"csidekick.node.ClassNode.getTypeParams()",1,1,2
"csidekick.node.ClassNode.isInnerClass()",2,2,3
"csidekick.node.ClassNode.setExtendsList(List)",2,2,3
"csidekick.node.ClassNode.setTypeParams(String)",1,1,1
"csidekick.node.ClassNode.toString()",1,6,6
