Complexity metrics,Qua, 13 dez 2017 16:37:32 BRST
Method,ev(G),iv(G),v(G)
"net.sourceforge.jvlt.JVLT.JVLT()",1,1,1
"net.sourceforge.jvlt.JVLT.getConfig()",1,1,1
"net.sourceforge.jvlt.JVLT.getDataVersion()",1,1,1
"net.sourceforge.jvlt.JVLT.getInstance()",1,1,1
"net.sourceforge.jvlt.JVLT.getRuntimeProperties()",1,1,1
"net.sourceforge.jvlt.JVLT.getSupportedLocales()",1,1,1
"net.sourceforge.jvlt.JVLT.getVersion()",1,1,1
"net.sourceforge.jvlt.JVLT.init(Config)",1,3,3
"net.sourceforge.jvlt.actions.AddDictObjectAction.AddDictObjectAction(Reinitializable)",1,1,1
"net.sourceforge.jvlt.actions.DictObjectAction.DictObjectAction(Reinitializable)",1,1,1
"net.sourceforge.jvlt.actions.DictObjectAction.getObject()",1,1,1
"net.sourceforge.jvlt.actions.EditDictObjectAction.EditDictObjectAction(Reinitializable)",1,1,1
"net.sourceforge.jvlt.actions.EditDictObjectAction.EditDictObjectAction(Reinitializable,Reinitializable)",1,1,1
"net.sourceforge.jvlt.actions.EditDictObjectAction.executeAction()",1,1,1
"net.sourceforge.jvlt.actions.EditDictObjectAction.getNewData()",1,1,1
"net.sourceforge.jvlt.actions.EditDictObjectAction.getOldData()",1,1,1
"net.sourceforge.jvlt.actions.EditDictObjectAction.setNewData(Reinitializable)",1,1,1
"net.sourceforge.jvlt.actions.EditDictObjectAction.undoAction()",1,1,1
"net.sourceforge.jvlt.actions.EditEntriesAction.EditEntriesAction(EditEntryAction[])",1,1,1
"net.sourceforge.jvlt.actions.EditEntriesAction.executeAction()",1,2,2
"net.sourceforge.jvlt.actions.EditEntriesAction.getEntries()",1,2,2
"net.sourceforge.jvlt.actions.EditEntriesAction.undoAction()",1,2,2
"net.sourceforge.jvlt.actions.EditEntryAction.EditEntryAction(Entry,Entry)",1,1,1
"net.sourceforge.jvlt.actions.EditEntryAction.addSenseActions(List<DictObjectAction>)",1,1,1
"net.sourceforge.jvlt.actions.EditEntryAction.executeAction()",1,6,6
"net.sourceforge.jvlt.actions.EditEntryAction.undoAction()",1,6,6
"net.sourceforge.jvlt.actions.ImportAction.ImportAction(String,String,Collection<Entry>,Collection<Example>)",1,1,1
"net.sourceforge.jvlt.actions.ImportAction.getEntries()",1,1,1
"net.sourceforge.jvlt.actions.ImportAction.getExamples()",1,1,1
"net.sourceforge.jvlt.actions.ImportAction.getNewLanguage()",1,1,1
"net.sourceforge.jvlt.actions.ImportAction.getOldLanguage()",1,1,1
"net.sourceforge.jvlt.actions.LanguageChangeAction.LanguageChangeAction(String,String)",1,1,1
"net.sourceforge.jvlt.actions.LanguageChangeAction.getNewLanguage()",1,1,1
"net.sourceforge.jvlt.actions.LanguageChangeAction.getOldLanguage()",1,1,1
"net.sourceforge.jvlt.actions.MoveSenseAction.MoveSenseAction(Sense,int,int)",1,1,1
"net.sourceforge.jvlt.actions.MoveSenseAction.getNewIndex()",1,1,1
"net.sourceforge.jvlt.actions.MoveSenseAction.getOldIndex()",1,1,1
"net.sourceforge.jvlt.actions.RemoveEntriesAction.RemoveEntriesAction(Dict,Collection<Entry>)",1,10,10
"net.sourceforge.jvlt.actions.RemoveEntriesAction.executeAction()",1,4,4
"net.sourceforge.jvlt.actions.RemoveEntriesAction.getModifiedExamples()",1,2,2
"net.sourceforge.jvlt.actions.RemoveEntriesAction.getRemovedEntries()",1,1,1
"net.sourceforge.jvlt.actions.RemoveEntriesAction.getRemovedExamples()",1,1,1
"net.sourceforge.jvlt.actions.RemoveEntriesAction.undoAction()",1,4,4
"net.sourceforge.jvlt.actions.RemoveExamplesAction.RemoveExamplesAction(Collection<Example>)",1,1,1
