Complexity metrics,Seg, 11 dez 2017 18:53:32 BRST
Method,ev(G),iv(G),v(G)
"org.apache.nutch.crawl.AbstractFetchSchedule.AbstractFetchSchedule()",1,1,1
"org.apache.nutch.crawl.AbstractFetchSchedule.AbstractFetchSchedule(Configuration)",1,1,1
"org.apache.nutch.crawl.AbstractFetchSchedule.calculateLastFetchTime(CrawlDatum)",1,1,1
"org.apache.nutch.crawl.AbstractFetchSchedule.forceRefetch(Text,CrawlDatum,boolean)",1,3,3
"org.apache.nutch.crawl.AbstractFetchSchedule.initializeSchedule(Text,CrawlDatum)",1,1,1
"org.apache.nutch.crawl.AbstractFetchSchedule.setConf(Configuration)",2,1,2
"org.apache.nutch.crawl.AbstractFetchSchedule.setFetchSchedule(Text,CrawlDatum,long,long,long,long,int)",1,1,1
"org.apache.nutch.crawl.AbstractFetchSchedule.setPageGoneSchedule(Text,CrawlDatum,long,long,long)",1,2,2
"org.apache.nutch.crawl.AbstractFetchSchedule.setPageRetrySchedule(Text,CrawlDatum,long,long,long)",1,1,1
"org.apache.nutch.crawl.AbstractFetchSchedule.shouldFetch(Text,CrawlDatum,long)",2,3,4
"org.apache.nutch.crawl.AdaptiveFetchSchedule.main(String[])",1,3,8
"org.apache.nutch.crawl.AdaptiveFetchSchedule.setConf(Configuration)",2,1,2
"org.apache.nutch.crawl.AdaptiveFetchSchedule.setFetchSchedule(Text,CrawlDatum,long,long,long,long,int)",2,4,11
"org.apache.nutch.crawl.CrawlDatum.Comparator.Comparator()",1,1,1
"org.apache.nutch.crawl.CrawlDatum.Comparator.compare(byte[],int,int,byte[],int,int)",7,1,11
"org.apache.nutch.crawl.CrawlDatum.CrawlDatum()",1,1,1
"org.apache.nutch.crawl.CrawlDatum.CrawlDatum(int,int)",1,1,1
"org.apache.nutch.crawl.CrawlDatum.CrawlDatum(int,int,float)",1,1,1
"org.apache.nutch.crawl.CrawlDatum.clone()",1,1,2
"org.apache.nutch.crawl.CrawlDatum.compareTo(CrawlDatum)",7,1,11
"org.apache.nutch.crawl.CrawlDatum.equals(Object)",3,7,9
