Martin packaging metrics,Seg, 11 dez 2017 18:54:04 BRST
Package,A,Ca,Ce,D,I
"org.apache.nutch.crawl","0,05",98,103,"0,44","0,52"
"org.apache.nutch.fetcher","0,00",17,29,"0,37","0,64"
"org.apache.nutch.indexer","0,13",18,40,"0,18","0,70"
"org.apache.nutch.metadata","0,62",37,5,"0,26","0,12"
"org.apache.nutch.net","0,29",24,12,"0,38","0,33"
"org.apache.nutch.net.protocols","0,33",2,1,"0,33","0,33"
"org.apache.nutch.parse","0,12",64,52,"0,43","0,44"
"org.apache.nutch.plugin","0,09",38,7,"0,75","0,16"
"org.apache.nutch.protocol","0,22",32,13,"0,49","0,28"
"org.apache.nutch.scoring","0,50",12,17,"0,09","0,59"
"org.apache.nutch.scoring.webgraph","0,00",30,45,"0,40","0,69"
"org.apache.nutch.segment","0,08",12,34,"0,18","0,81"
"org.apache.nutch.service","0,60",13,9,"0,01","0,47"
"org.apache.nutch.service.impl","0,00",10,28,"0,26","0,74"
"org.apache.nutch.service.model.request","0,00",13,3,"0,81","0,19"
"org.apache.nutch.service.model.response","0,00",11,6,"0,65","0,50"
"org.apache.nutch.service.resources","0,14",9,22,"0,15","0,71"
"org.apache.nutch.tools","0,10",17,50,"0,15","0,78"
"org.apache.nutch.tools.arc","0,00",2,10,"0,17","0,83"
"org.apache.nutch.tools.warc","0,00",2,9,"0,18","0,80"
"org.apache.nutch.util","0,10",88,19,"0,73","0,14"
"org.apache.nutch.util.domain","0,00",13,9,"0,59","0,46"
"org.apache.nutch.webui","0,00",0,2,"0,00","1,00"
"org.apache.nutch.webui.client","0,33",5,7,"0,08","0,50"
"org.apache.nutch.webui.client.impl","0,12",11,18,"0,25","0,60"
"org.apache.nutch.webui.client.model","0,00",28,5,"0,85","0,19"
"org.apache.nutch.webui.config","0,00",2,4,"0,33","0,67"
"org.apache.nutch.webui.model","0,00",22,3,"0,88","0,12"
"org.apache.nutch.webui.pages","0,10",14,24,"0,27","0,59"
"org.apache.nutch.webui.pages.assets","0,00",1,0,"1,00","0,00"
"org.apache.nutch.webui.pages.components","0,00",10,3,"0,77","0,18"
"org.apache.nutch.webui.pages.crawls","0,00",2,8,"0,20","0,80"
"org.apache.nutch.webui.pages.instances","0,00",2,8,"0,20","0,80"
"org.apache.nutch.webui.pages.menu","0,00",1,0,"1,00","0,00"
"org.apache.nutch.webui.pages.seed","0,00",3,10,"0,23","0,77"
"org.apache.nutch.webui.pages.settings","0,00",1,4,"0,20","0,80"
"org.apache.nutch.webui.service","1,00",11,5,"0,31","0,31"
"org.apache.nutch.webui.service.impl","0,00",0,14,"0,00","1,00"

