Martin packaging metrics,Seg, 11 dez 2017 19:49:34 BRST
Package,A,Ca,Ce,D,I
"org.apache.hadoop.hive.serde2.objectinspector.primitive","0,00",6,0,"1,00","0,00"
"org.apache.pig","0,49",390,147,"0,24","0,27"
"org.apache.pig.backend","0,00",5,1,"0,83","0,17"
"org.apache.pig.backend.datastorage","0,57",39,5,"0,31","0,12"
"org.apache.pig.backend.executionengine","0,50",57,14,"0,30","0,21"
"org.apache.pig.backend.hadoop","0,00",22,14,"0,61","0,42"
"org.apache.pig.backend.hadoop.accumulo","0,12",6,18,"0,12","0,78"
"org.apache.pig.backend.hadoop.datastorage","0,14",38,17,"0,55","0,31"
"org.apache.pig.backend.hadoop.executionengine","0,38",17,42,"0,09","0,74"
"org.apache.pig.backend.hadoop.executionengine.fetch","0,00",7,40,"0,15","0,84"
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer","0,03",231,534,"0,27","0,68"
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.partitioners","0,00",10,21,"0,32","0,68"
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans","0,00",28,73,"0,28","0,68"
"org.apache.pig.backend.hadoop.executionengine.optimizer","1,00",2,0,"0,00","0,00"
"org.apache.pig.backend.hadoop.executionengine.physicalLayer","0,38",62,14,"0,44","0,19"
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators","0,19",176,201,"0,27","0,53"
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.regex","0,20",6,5,"0,35","0,45"
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans","0,00",46,41,"0,53","0,47"
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators","0,04",302,318,"0,44","0,50"
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.util","0,00",14,16,"0,47","0,45"
"org.apache.pig.backend.hadoop.executionengine.tez","0,00",15,79,"0,16","0,87"
"org.apache.pig.backend.hadoop.executionengine.tez.plan","0,00",55,98,"0,36","0,63"
"org.apache.pig.backend.hadoop.executionengine.tez.plan.operator","0,00",35,126,"0,22","0,80"
"org.apache.pig.backend.hadoop.executionengine.tez.plan.optimizer","0,08",14,87,"0,06","0,86"
"org.apache.pig.backend.hadoop.executionengine.tez.plan.udf","0,00",8,15,"0,35","0,65"
"org.apache.pig.backend.hadoop.executionengine.tez.runtime","0,25",27,36,"0,18","0,56"
"org.apache.pig.backend.hadoop.executionengine.tez.util","0,00",7,21,"0,25","0,75"
"org.apache.pig.backend.hadoop.executionengine.util","0,00",29,80,"0,27","0,73"
"org.apache.pig.backend.hadoop.hbase","0,00",8,15,"0,35","0,71"
"org.apache.pig.backend.hadoop.streaming","0,00",1,5,"0,17","0,83"
"org.apache.pig.builtin","0,11",195,994,"0,06","0,86"
"org.apache.pig.builtin.mock","0,00",8,17,"0,32","1,00"
"org.apache.pig.classification","0,75",0,0,"0,75","1,00"
"org.apache.pig.data","0,20",318,202,"0,41","0,29"
"org.apache.pig.data.utils","0,11",7,3,"0,59","0,50"
"org.apache.pig.impl","0,00",57,8,"0,88","0,12"
"org.apache.pig.impl.builtin","0,05",38,88,"0,25","0,70"
"org.apache.pig.impl.io","0,03",128,90,"0,56","0,39"
"org.apache.pig.impl.logicalLayer","0,00",33,4,"0,89","0,11"
"org.apache.pig.impl.logicalLayer.schema","0,00",37,13,"0,74","0,28"
"org.apache.pig.impl.logicalLayer.validators","0,00",1,2,"0,33","0,67"
"org.apache.pig.impl.plan","0,17",201,31,"0,69","0,13"
"org.apache.pig.impl.plan.optimizer","0,00",4,1,"0,80","0,20"
"org.apache.pig.impl.streaming","0,09",50,61,"0,36","0,57"
"org.apache.pig.impl.util","0,06",154,55,"0,68","0,26"
"org.apache.pig.impl.util.avro","0,00",11,13,"0,46","0,54"
"org.apache.pig.impl.util.hive","0,00",10,13,"0,43","0,71"
"org.apache.pig.newplan","0,33",108,51,"0,35","0,32"
"org.apache.pig.newplan.logical","0,00",8,13,"0,38","0,59"
"org.apache.pig.newplan.logical.expression","0,18",143,191,"0,25","0,57"
"org.apache.pig.newplan.logical.optimizer","0,15",22,55,"0,13","0,71"
"org.apache.pig.newplan.logical.relational","0,06",247,154,"0,56","0,40"
"org.apache.pig.newplan.logical.rules","0,09",51,235,"0,09","0,76"
"org.apache.pig.newplan.logical.visitor","0,00",30,182,"0,14","0,87"
"org.apache.pig.newplan.optimizer","0,80",10,13,"0,37","0,53"
"org.apache.pig.parser","0,04",41,70,"0,33","0,64"
"org.apache.pig.pen","0,08",16,96,"0,06","0,86"
"org.apache.pig.pen.util","0,00",10,19,"0,34","0,66"
"org.apache.pig.scripting","0,12",16,29,"0,23","0,64"
"org.apache.pig.scripting.groovy","0,20",44,68,"0,19","0,68"
"org.apache.pig.scripting.jruby","0,06",22,68,"0,18","0,80"
"org.apache.pig.scripting.js","0,00",3,18,"0,14","0,88"
"org.apache.pig.scripting.jython","0,00",5,22,"0,19","0,84"
"org.apache.pig.scripting.streaming.python","0,00",0,4,"0,00","1,00"
"org.apache.pig.tools","0,00",1,9,"0,10","1,00"
"org.apache.pig.tools.cmdline","0,00",3,1,"0,75","0,50"
"org.apache.pig.tools.counters","0,00",1,2,"0,33","0,67"
"org.apache.pig.tools.grunt","0,14",9,19,"0,18","0,73"
"org.apache.pig.tools.parameters","0,00",6,5,"0,55","0,45"
"org.apache.pig.tools.pigstats","0,20",92,64,"0,39","0,38"
"org.apache.pig.tools.pigstats.mapreduce","0,00",12,38,"0,24","0,76"
"org.apache.pig.tools.pigstats.tez","0,11",14,56,"0,09","0,80"
"org.apache.pig.tools.streams","0,00",0,0,"0,00","1,00"
"org.apache.pig.tools.timer","0,00",3,2,"0,60","0,50"
"org.apache.pig.validator","0,20",17,17,"0,30","0,50"

