Complexity metrics,Ter, 12 dez 2017 11:11:32 BRST
Method,ev(G),iv(G),v(G)
"org.apache.qpid.qmf2.agent.Agent.Agent(QmfCallback)",1,1,1
"org.apache.qpid.qmf2.agent.Agent.Agent(QmfCallback,int)",1,1,1
"org.apache.qpid.qmf2.agent.Agent.Agent(String,String,QmfCallback,int)",6,2,10
"org.apache.qpid.qmf2.agent.Agent.Heartbeat.run()",1,4,4
"org.apache.qpid.qmf2.agent.Agent.addObject(QmfAgentData)",3,11,13
"org.apache.qpid.qmf2.agent.Agent.destroy()",1,2,3
"org.apache.qpid.qmf2.agent.Agent.evaluateQuery(QmfQuery)",1,8,8
"org.apache.qpid.qmf2.agent.Agent.getEpoch()",1,1,1
"org.apache.qpid.qmf2.agent.Agent.getName()",1,1,1
"org.apache.qpid.qmf2.agent.Agent.getNextWorkitem()",1,1,1
"org.apache.qpid.qmf2.agent.Agent.getNextWorkitem(long)",1,1,1
"org.apache.qpid.qmf2.agent.Agent.getObject(ObjectId)",1,1,1
"org.apache.qpid.qmf2.agent.Agent.getWorkitemCount()",1,1,1
"org.apache.qpid.qmf2.agent.Agent.handleLocateRequest(Handle)",1,2,2
"org.apache.qpid.qmf2.agent.Agent.handleQueryRequest(Handle,QmfQuery)",6,19,20
"org.apache.qpid.qmf2.agent.Agent.methodResponse(String,Handle,QmfData,QmfData)",1,6,6
"org.apache.qpid.qmf2.agent.Agent.onMessage(Message)",1,20,20
"org.apache.qpid.qmf2.agent.Agent.queryResponse(Handle,List<Map>,String)",1,2,2
"org.apache.qpid.qmf2.agent.Agent.raiseEvent(QmfEvent)",1,2,2
"org.apache.qpid.qmf2.agent.Agent.raiseException(Handle,String)",1,2,2
"org.apache.qpid.qmf2.agent.Agent.registerEventClass(SchemaEventClass)",1,1,1
"org.apache.qpid.qmf2.agent.Agent.registerObjectClass(SchemaObjectClass)",1,1,1
"org.apache.qpid.qmf2.agent.Agent.releaseWorkitem()",1,1,1
"org.apache.qpid.qmf2.agent.Agent.removeConnection(Connection)",2,2,3
"org.apache.qpid.qmf2.agent.Agent.removeSubscription(Subscription)",1,1,1
"org.apache.qpid.qmf2.agent.Agent.sendResponse(Handle,Message)",1,3,3
"org.apache.qpid.qmf2.agent.Agent.sendSubscriptionIndicate(Handle,List<Map>)",1,2,2
"org.apache.qpid.qmf2.agent.Agent.setConnection(Connection)",1,1,1
"org.apache.qpid.qmf2.agent.Agent.setConnection(Connection,String)",3,3,7
"org.apache.qpid.qmf2.agent.Agent.setEpoch(int)",1,1,1
"org.apache.qpid.qmf2.agent.Agent.setInstance(String)",1,1,1
"org.apache.qpid.qmf2.agent.Agent.setProduct(String)",1,1,1
"org.apache.qpid.qmf2.agent.Agent.setVendor(String)",1,1,1
