Dependency metrics,Ter, 12 dez 2017 11:10:29 BRST
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.qpid.qmf2.agent.Agent",1,21,22,6,7
"org.apache.qpid.qmf2.agent.Agent.Heartbeat",1,2,22,1,7
"org.apache.qpid.qmf2.agent.AgentExternal",0,4,5,1,2
"org.apache.qpid.qmf2.agent.MethodCallParams",0,2,3,4,5
"org.apache.qpid.qmf2.agent.MethodCallWorkItem",0,3,3,4,5
"org.apache.qpid.qmf2.agent.QmfAgentData",0,2,3,13,14
"org.apache.qpid.qmf2.agent.QueryWorkItem",0,4,4,1,2
"org.apache.qpid.qmf2.agent.ResubscribeParams",0,1,1,1,2
"org.apache.qpid.qmf2.agent.ResubscribeRequestWorkItem",0,3,3,1,2
"org.apache.qpid.qmf2.agent.SubscribeRequestWorkItem",0,3,3,1,2
"org.apache.qpid.qmf2.agent.Subscription",0,3,3,1,2
"org.apache.qpid.qmf2.agent.SubscriptionParams",0,4,4,1,2
"org.apache.qpid.qmf2.agent.UnsubscribeRequestWorkItem",0,2,2,1,2
"org.apache.qpid.qmf2.common.AMQPMessage",0,1,1,2,27
"org.apache.qpid.qmf2.common.BlockingNotifier",0,0,0,2,2
"org.apache.qpid.qmf2.common.BooleanEquals",0,0,0,0,0
"org.apache.qpid.qmf2.common.BooleanExists",0,0,0,0,0
"org.apache.qpid.qmf2.common.BooleanExpression",0,1,1,0,0
"org.apache.qpid.qmf2.common.BooleanFalse",0,0,0,0,0
"org.apache.qpid.qmf2.common.BooleanGreaterEqual",0,0,0,0,0
"org.apache.qpid.qmf2.common.BooleanGreaterThan",0,0,0,0,0
"org.apache.qpid.qmf2.common.BooleanLessEqual",0,0,0,0,0
"org.apache.qpid.qmf2.common.BooleanLessThan",0,0,0,0,0
"org.apache.qpid.qmf2.common.BooleanNotEquals",0,0,0,0,0
"org.apache.qpid.qmf2.common.BooleanRegexMatch",0,0,0,0,0
"org.apache.qpid.qmf2.common.BooleanTrue",0,0,0,0,0
"org.apache.qpid.qmf2.common.Expression",0,0,0,0,0
"org.apache.qpid.qmf2.common.Handle",0,0,0,18,42
"org.apache.qpid.qmf2.common.LogicalAnd",0,0,0,0,0
"org.apache.qpid.qmf2.common.LogicalExpression",0,0,0,0,0
"org.apache.qpid.qmf2.common.LogicalNot",0,0,0,0,0
"org.apache.qpid.qmf2.common.LogicalOr",0,0,0,0,0
"org.apache.qpid.qmf2.common.NotifierWrapper",0,0,0,2,27
"org.apache.qpid.qmf2.common.NullQmfEventListener",0,0,0,2,27
"org.apache.qpid.qmf2.common.ObjectId",0,1,1,27,41
"org.apache.qpid.qmf2.common.QmfData",0,0,0,27,40
"org.apache.qpid.qmf2.common.QmfDescribed",0,0,0,0,0
"org.apache.qpid.qmf2.common.QmfEvent",0,1,1,18,35
"org.apache.qpid.qmf2.common.QmfException",0,0,0,32,40
"org.apache.qpid.qmf2.common.QmfManaged",0,0,0,20,32
"org.apache.qpid.qmf2.common.QmfQuery",0,0,0,13,35
"org.apache.qpid.qmf2.common.QmfQueryTarget",0,0,0,8,30
"org.apache.qpid.qmf2.common.QmfType",0,0,0,5,6
"org.apache.qpid.qmf2.common.SchemaClass",0,0,0,5,29
"org.apache.qpid.qmf2.common.SchemaClassId",0,0,0,8,32
"org.apache.qpid.qmf2.common.SchemaEventClass",0,0,0,10,34
"org.apache.qpid.qmf2.common.SchemaMethod",0,0,0,4,5
"org.apache.qpid.qmf2.common.SchemaObjectClass",0,1,1,15,37
"org.apache.qpid.qmf2.common.SchemaProperty",0,0,0,5,6
