Martin packaging metrics,Ter, 12 dez 2017 11:16:49 BRST
Package,A,Ca,Ce,D,I
"qpid-broker-plugins-management-qmf2.src.main.java.org.apache.qpid.server.qmf2","0,33",0,3,"0,33","1,00"
"qpid-broker-plugins-management-qmf2.src.main.java.org.apache.qpid.server.qmf2.agentdata","0,00",2,16,"0,11","0,94"
"qpid-qmf2-rest.src.main.java.org.apache.qpid.restapi","0,22",2,9,"0,04","0,82"
"qpid-qmf2-rest.src.main.java.org.apache.qpid.restapi.httpserver","0,00",4,4,"0,50","0,50"
"qpid-qmf2-test.src.main.java.org.apache.qpid.qmf2.test","0,00",2,44,"0,04","0,98"
"qpid-qmf2-tools.src.main.java.org.apache.qpid.qmf2.tools","0,00",1,23,"0,04","1,00"
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.agent","0,07",21,16,"0,50","0,41"
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.common","0,14",94,2,"0,84","0,02"
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.console","0,11",27,13,"0,56","0,33"
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.util","0,00",6,0,"1,00","0,00"

