Martin packaging metrics,Ter, 12 dez 2017 15:05:22 BRST
Package,A,Ca,Ce,D,I
"org.apache.xerces.dom","0,08",51,78,"0,31","0,61"
"org.apache.xerces.dom.events","0,00",3,5,"0,38","0,62"
"org.apache.xerces.dom.traversal","0,00",2,6,"0,25","0,75"
"org.apache.xerces.domx","0,33",3,7,"0,03","0,78"
"org.apache.xerces.domx.events","1,00",11,11,"0,50","0,50"
"org.apache.xerces.domx.traversal","1,00",10,9,"0,47","0,47"
"org.apache.xerces.framework","0,37",38,39,"0,13","0,44"
"org.apache.xerces.msg","0,00",0,0,"0,00","1,00"
"org.apache.xerces.parsers","0,00",4,17,"0,19","0,81"
"org.apache.xerces.readers","0,32",33,51,"0,07","0,63"
"org.apache.xerces.utils","0,20",45,10,"0,62","0,21"
"org.apache.xerces.validators.datatype","0,17",18,8,"0,53","0,31"
"org.apache.xerces.validators.dtd","0,14",41,57,"0,28","0,55"
"org.apache.xerces.validators.schema","0,00",11,21,"0,34","0,69"
"org.w3c.dom","1,00",67,16,"0,19","0,19"
"org.xml.sax","0,57",51,10,"0,26","0,16"
"org.xml.sax.helpers","0,00",2,4,"0,33","0,67"
"org.xml.sax.misc","1,00",3,3,"0,50","0,50"

