SmellMetrics,Seg, 4 jun 2018 16:57:18 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.xerces.dom.AttrImpl.AttrImpl(DocumentImpl,String)",1,3,n/a,9,0,2,3,1
"org.apache.xerces.dom.AttrImpl.AttrImpl(DocumentImpl,String,String)",3,1,n/a,20,1,3,10,2
"org.apache.xerces.dom.AttrImpl.getElement()",0,0,n/a,12,0,0,1,1
"org.apache.xerces.dom.AttrImpl.getLocalName()",1,7,n/a,13,1,0,3,2
"org.apache.xerces.dom.AttrImpl.getName()",1,4,n/a,10,1,0,3,2
"org.apache.xerces.dom.AttrImpl.getNamespaceURI()",1,4,n/a,20,1,0,3,2
"org.apache.xerces.dom.AttrImpl.getNodeType()",0,55,n/a,7,0,0,1,1
"org.apache.xerces.dom.AttrImpl.getNodeValue()",1,38,n/a,9,0,0,1,1
"org.apache.xerces.dom.AttrImpl.getOwnerElement()",0,5,n/a,9,0,0,1,1
"org.apache.xerces.dom.AttrImpl.getParentNode()",0,18,n/a,4,0,0,1,1
"org.apache.xerces.dom.AttrImpl.getPrefix()",1,0,n/a,17,1,0,3,2
"org.apache.xerces.dom.AttrImpl.getSpecified()",1,6,n/a,17,1,0,3,2
"org.apache.xerces.dom.AttrImpl.getValue()",5,6,n/a,13,1,0,6,2
"org.apache.xerces.dom.AttrImpl.setNodeValue(String)",1,8,n/a,9,0,1,1,1
"org.apache.xerces.dom.AttrImpl.setPrefix(String)",3,0,n/a,25,1,1,6,3
"org.apache.xerces.dom.AttrImpl.setSpecified(boolean)",1,20,n/a,7,1,1,3,2
"org.apache.xerces.dom.AttrImpl.setValue(String)",8,2,n/a,55,2,1,20,9
"org.apache.xerces.dom.AttrImpl.toString()",2,0,n/a,4,0,0,1,1
"org.apache.xerces.dom.CDATASectionImpl.CDATASectionImpl(DocumentImpl,String)",1,2,n/a,4,0,2,1,1
"org.apache.xerces.dom.CDATASectionImpl.cloneNode(boolean)",2,12,n/a,21,0,1,1,1
"org.apache.xerces.dom.CDATASectionImpl.getNodeName()",0,52,n/a,4,0,0,1,1
"org.apache.xerces.dom.CDATASectionImpl.getNodeType()",0,56,n/a,7,0,0,1,1
"org.apache.xerces.dom.CharacterDataImpl.CharacterDataImpl(DocumentImpl,String)",1,2,n/a,4,0,2,1,1
"org.apache.xerces.dom.CharacterDataImpl.appendData(String)",3,3,n/a,20,1,1,5,3
"org.apache.xerces.dom.CharacterDataImpl.deleteData(int,int)",9,1,n/a,38,1,2,10,6
"org.apache.xerces.dom.CharacterDataImpl.getChildNodes()",1,4,n/a,1,3,0,5,2
"org.apache.xerces.dom.CharacterDataImpl.getData()",1,0,n/a,14,1,0,3,2
"org.apache.xerces.dom.CharacterDataImpl.getLength()",2,9,n/a,10,1,0,3,2
"org.apache.xerces.dom.CharacterDataImpl.getNodeName()",n/a,52,3,n/a,n/a,0,n/a,n/a
"org.apache.xerces.dom.CharacterDataImpl.insertData(int,String)",7,1,n/a,30,1,2,7,4
"org.apache.xerces.dom.CharacterDataImpl.replaceData(int,int,String)",2,0,n/a,35,0,3,2,1
"org.apache.xerces.dom.CharacterDataImpl.setData(String)",1,0,n/a,9,0,1,1,1
"org.apache.xerces.dom.CharacterDataImpl.substringData(int,int)",5,0,n/a,33,1,2,7,5
"org.apache.xerces.dom.CommentImpl.CommentImpl(DocumentImpl,String)",1,2,n/a,4,0,2,1,1
"org.apache.xerces.dom.CommentImpl.cloneNode(boolean)",2,12,n/a,3,0,1,1,1
"org.apache.xerces.dom.CommentImpl.getNodeName()",0,52,n/a,4,0,0,1,1
"org.apache.xerces.dom.CommentImpl.getNodeType()",0,55,n/a,7,0,0,1,1
"org.apache.xerces.dom.DOMExceptionImpl.DOMExceptionImpl(short,String)",1,57,n/a,4,0,2,1,1
"org.apache.xerces.dom.DOMImplementationImpl.createDocument(String,String,DocumentType)",5,0,n/a,34,1,3,6,2
"org.apache.xerces.dom.DOMImplementationImpl.createDocumentType(String,String,String)",3,0,n/a,20,1,3,3,2
"org.apache.xerces.dom.DOMImplementationImpl.getDOMImplementation()",0,1,n/a,4,0,0,1,1
"org.apache.xerces.dom.DOMImplementationImpl.hasFeature(String,String)",3,1,n/a,21,0,2,1,3
"org.apache.xerces.dom.DeepNodeListImpl.DeepNodeListImpl(NodeImpl,String)",1,3,n/a,6,0,2,3,1
"org.apache.xerces.dom.DeepNodeListImpl.DeepNodeListImpl(NodeImpl,String,String)",3,2,n/a,8,0,3,3,4
"org.apache.xerces.dom.DeepNodeListImpl.getLength()",2,4,n/a,6,0,0,2,1
"org.apache.xerces.dom.DeepNodeListImpl.item(int)",8,5,n/a,28,2,1,14,7
"org.apache.xerces.dom.DeepNodeListImpl.nextMatchingElementAfter(Node)",12,1,n/a,50,3,1,16,16
"org.apache.xerces.dom.DeferredAttrImpl.DeferredAttrImpl(DeferredDocumentImpl,int)",1,1,n/a,10,0,2,4,1
"org.apache.xerces.dom.DeferredAttrImpl.getNodeIndex()",0,2,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredAttrImpl.synchronizeChildren()",3,16,n/a,30,2,0,15,4
"org.apache.xerces.dom.DeferredAttrImpl.synchronizeData()",9,44,n/a,25,1,0,11,2
"org.apache.xerces.dom.DeferredCDATASectionImpl.DeferredCDATASectionImpl(DeferredDocumentImpl,int)",1,1,n/a,9,0,2,3,1
"org.apache.xerces.dom.DeferredCDATASectionImpl.getNodeIndex()",0,2,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredCDATASectionImpl.synchronizeData()",2,44,n/a,9,0,0,4,1
"org.apache.xerces.dom.DeferredCommentImpl.DeferredCommentImpl(DeferredDocumentImpl,int)",1,1,n/a,9,0,2,3,1
"org.apache.xerces.dom.DeferredCommentImpl.getNodeIndex()",0,2,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredCommentImpl.synchronizeData()",1,44,n/a,8,0,0,3,1
"org.apache.xerces.dom.DeferredDocumentImpl.DeferredDocumentImpl(StringPool)",1,0,n/a,7,0,1,1,1
"org.apache.xerces.dom.DeferredDocumentImpl.DeferredDocumentImpl(StringPool,boolean)",1,1,n/a,7,0,2,1,1
"org.apache.xerces.dom.DeferredDocumentImpl.DeferredDocumentImpl(StringPool,boolean,boolean)",1,2,n/a,9,0,3,5,1
"org.apache.xerces.dom.DeferredDocumentImpl.IntVector.addElement(int)",1,1,n/a,5,0,1,2,1
"org.apache.xerces.dom.DeferredDocumentImpl.IntVector.elementAt(int)",0,1,n/a,4,0,1,1,1
"org.apache.xerces.dom.DeferredDocumentImpl.IntVector.ensureCapacity(int)",1,1,n/a,11,1,1,6,3
"org.apache.xerces.dom.DeferredDocumentImpl.IntVector.removeAllElements()",0,1,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredDocumentImpl.IntVector.size()",0,1,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredDocumentImpl.appendChild(int,int)",0,30,n/a,19,1,2,13,2
"org.apache.xerces.dom.DeferredDocumentImpl.binarySearch(int[],int,int,int)",5,1,n/a,52,3,4,20,10
"org.apache.xerces.dom.DeferredDocumentImpl.createAttribute(int,int,boolean)",3,13,n/a,15,0,3,8,2
"org.apache.xerces.dom.DeferredDocumentImpl.createCDATASection(int,boolean)",1,3,n/a,9,0,2,6,2
"org.apache.xerces.dom.DeferredDocumentImpl.createComment(int)",1,2,n/a,8,0,1,5,1
"org.apache.xerces.dom.DeferredDocumentImpl.createDocument()",1,1,n/a,5,0,0,2,1
"org.apache.xerces.dom.DeferredDocumentImpl.createDocumentType(int,int,int)",2,2,n/a,18,0,3,11,1
"org.apache.xerces.dom.DeferredDocumentImpl.createElement(int,XMLAttrList,int)",7,16,n/a,39,3,3,24,4
"org.apache.xerces.dom.DeferredDocumentImpl.createElementDefinition(int)",1,1,n/a,8,0,1,5,1
"org.apache.xerces.dom.DeferredDocumentImpl.createEntity(int,int,int,int)",2,3,n/a,18,0,4,12,1
"org.apache.xerces.dom.DeferredDocumentImpl.createEntityReference(int)",1,2,n/a,9,0,1,5,1
"org.apache.xerces.dom.DeferredDocumentImpl.createNode(short)",1,15,n/a,18,0,1,12,1
"org.apache.xerces.dom.DeferredDocumentImpl.createNotation(int,int,int)",2,1,n/a,17,0,3,11,1
"org.apache.xerces.dom.DeferredDocumentImpl.createProcessingInstruction(int,int)",1,2,n/a,9,0,2,6,1
"org.apache.xerces.dom.DeferredDocumentImpl.createTextNode(int,boolean)",1,7,n/a,9,0,2,6,2
"org.apache.xerces.dom.DeferredDocumentImpl.ensureCapacity(int,int)",8,1,n/a,63,1,2,45,4
"org.apache.xerces.dom.DeferredDocumentImpl.getAttributeList(int)",0,0,n/a,9,1,1,5,2
"org.apache.xerces.dom.DeferredDocumentImpl.getFirstChild(int)",0,21,n/a,9,1,1,5,2
"org.apache.xerces.dom.DeferredDocumentImpl.getLastChild(int)",0,3,n/a,29,3,1,17,8
"org.apache.xerces.dom.DeferredDocumentImpl.getNamespacesEnabled()",0,0,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredDocumentImpl.getNextSibling(int)",0,17,n/a,17,1,1,10,4
"org.apache.xerces.dom.DeferredDocumentImpl.getNodeName(int)",0,3,n/a,9,1,1,5,2
"org.apache.xerces.dom.DeferredDocumentImpl.getNodeNameString(int)",1,13,n/a,13,1,1,8,3
"org.apache.xerces.dom.DeferredDocumentImpl.getNodeObject(int)",20,9,n/a,127,6,1,65,23
"org.apache.xerces.dom.DeferredDocumentImpl.getNodeType(int)",0,8,n/a,9,1,1,5,2
"org.apache.xerces.dom.DeferredDocumentImpl.getNodeValue(int)",0,9,n/a,12,1,1,5,2
"org.apache.xerces.dom.DeferredDocumentImpl.getNodeValueString(int)",1,6,n/a,13,1,1,8,3
"org.apache.xerces.dom.DeferredDocumentImpl.getParentNode(int)",0,5,n/a,10,1,1,5,2
"org.apache.xerces.dom.DeferredDocumentImpl.getPreviousSibling(int)",0,2,n/a,29,3,1,16,7
"org.apache.xerces.dom.DeferredDocumentImpl.getRealNextSibling(int)",0,2,n/a,13,1,1,5,2
"org.apache.xerces.dom.DeferredDocumentImpl.getStringPool()",0,3,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredDocumentImpl.insertBefore(int,int,int)",3,4,n/a,38,1,3,21,4
"org.apache.xerces.dom.DeferredDocumentImpl.lookupElementDefinition(int)",6,1,n/a,28,3,1,14,6
"org.apache.xerces.dom.DeferredDocumentImpl.print()",21,0,n/a,31,3,0,26,4
"org.apache.xerces.dom.DeferredDocumentImpl.print(int[],int,int,int,int)",7,1,n/a,21,3,5,14,6
"org.apache.xerces.dom.DeferredDocumentImpl.putIdentifier(int,int)",5,1,n/a,28,1,2,15,4
"org.apache.xerces.dom.DeferredDocumentImpl.putIdentifier0(String,Element)",3,3,n/a,18,1,2,5,3
"org.apache.xerces.dom.DeferredDocumentImpl.setAsFirstChild(int,int)",0,1,n/a,16,1,2,12,2
"org.apache.xerces.dom.DeferredDocumentImpl.setAttributeNode(int,int)",3,11,n/a,54,2,2,37,7
"org.apache.xerces.dom.DeferredDocumentImpl.synchronizeChildren()",4,16,n/a,37,2,0,19,6
"org.apache.xerces.dom.DeferredDocumentImpl.synchronizeData()",13,44,n/a,59,6,0,35,10
"org.apache.xerces.dom.DeferredDocumentTypeImpl.DeferredDocumentTypeImpl(DeferredDocumentImpl,int)",1,1,n/a,10,0,2,4,1
"org.apache.xerces.dom.DeferredDocumentTypeImpl.getNodeIndex()",0,2,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredDocumentTypeImpl.synchronizeChildren()",22,16,n/a,54,4,0,32,9
"org.apache.xerces.dom.DeferredDocumentTypeImpl.synchronizeData()",7,44,n/a,13,0,0,7,1
"org.apache.xerces.dom.DeferredElementDefinitionImpl.DeferredElementDefinitionImpl(DeferredDocumentImpl,int)",1,1,n/a,10,0,2,4,1
"org.apache.xerces.dom.DeferredElementDefinitionImpl.getNodeIndex()",0,2,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredElementDefinitionImpl.synchronizeChildren()",5,16,n/a,16,1,0,8,2
"org.apache.xerces.dom.DeferredElementDefinitionImpl.synchronizeData()",1,44,n/a,8,0,0,3,1
"org.apache.xerces.dom.DeferredElementImpl.DeferredElementImpl(DeferredDocumentImpl,int)",1,1,n/a,10,0,2,4,1
"org.apache.xerces.dom.DeferredElementImpl.getNodeIndex()",0,2,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredElementImpl.synchronizeChildren()",3,16,n/a,30,2,0,15,4
"org.apache.xerces.dom.DeferredElementImpl.synchronizeData()",14,62,n/a,35,2,0,19,4
"org.apache.xerces.dom.DeferredEntityImpl.DeferredEntityImpl(DeferredDocumentImpl,int)",1,1,n/a,10,0,2,4,1
"org.apache.xerces.dom.DeferredEntityImpl.getNodeIndex()",0,2,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredEntityImpl.synchronizeChildren()",4,16,n/a,13,1,0,7,2
"org.apache.xerces.dom.DeferredEntityImpl.synchronizeData()",9,44,n/a,17,0,0,8,1
"org.apache.xerces.dom.DeferredEntityReferenceImpl.DeferredEntityReferenceImpl(DeferredDocumentImpl,int)",1,1,n/a,10,0,2,4,1
"org.apache.xerces.dom.DeferredEntityReferenceImpl.getNodeIndex()",0,2,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredEntityReferenceImpl.synchronizeChildren()",12,16,n/a,38,4,0,24,7
"org.apache.xerces.dom.DeferredEntityReferenceImpl.synchronizeData()",1,44,n/a,11,0,0,3,1
"org.apache.xerces.dom.DeferredNode.getNodeIndex()",n/a,2,11,n/a,n/a,0,n/a,n/a
"org.apache.xerces.dom.DeferredNotationImpl.DeferredNotationImpl(DeferredDocumentImpl,int)",1,1,n/a,9,0,2,3,1
"org.apache.xerces.dom.DeferredNotationImpl.getNodeIndex()",0,2,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredNotationImpl.synchronizeData()",7,44,n/a,16,0,0,7,1
"org.apache.xerces.dom.DeferredProcessingInstructionImpl.DeferredProcessingInstructionImpl(DeferredDocumentImpl,int)",1,1,n/a,9,0,2,3,1
"org.apache.xerces.dom.DeferredProcessingInstructionImpl.getNodeIndex()",0,2,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredProcessingInstructionImpl.synchronizeData()",2,44,n/a,9,0,0,4,1
"org.apache.xerces.dom.DeferredTextImpl.DeferredTextImpl(DeferredDocumentImpl,int)",1,1,n/a,9,0,2,3,1
"org.apache.xerces.dom.DeferredTextImpl.getNodeIndex()",0,2,n/a,4,0,0,1,1
"org.apache.xerces.dom.DeferredTextImpl.synchronizeData()",13,44,n/a,27,3,0,15,8
"org.apache.xerces.dom.DocumentFragmentImpl.DocumentFragmentImpl()",0,0,n/a,2,0,0,0,1
"org.apache.xerces.dom.DocumentFragmentImpl.DocumentFragmentImpl(DocumentImpl)",1,1,n/a,4,0,1,1,1
"org.apache.xerces.dom.DocumentFragmentImpl.getNodeName()",0,52,n/a,4,0,0,1,1
"org.apache.xerces.dom.DocumentFragmentImpl.getNodeType()",0,55,n/a,7,0,0,1,1
