Complexity metrics,Qui, 26 out 2017 17:44:33 BRST
Method,ev(G),iv(G),v(G)
"null.accept(CompletionProposal)",2,11,15
"null.accept(File,String)",1,1,1
"null.createBuffer(IOpenable)",1,1,1
"null.genericTypeArguments()",1,1,1
"null.getClasspathEntries()",1,1,1
"null.getDescription()",1,1,1
"null.getKind()",1,1,1
"null.getPath()",1,1,1
"null.isSuperAccess()",1,1,1
"null.isTypeAccess()",1,1,1
"null.preferenceChange(PreferenceChangeEvent)",1,4,4
"null.setActualReceiverType(ReferenceBinding)",1,1,1
"null.setDepth(int)",1,1,1
"null.setFieldIndex(int)",1,1,1
"null.sourceEnd()",1,1,1
"null.sourceStart()",1,1,1
"null.toString()",1,1,1
"org.eclipse.jdt.core.BufferChangedEvent.BufferChangedEvent(IBuffer,int,int,String)",1,1,1
"org.eclipse.jdt.core.BufferChangedEvent.getBuffer()",1,1,1
"org.eclipse.jdt.core.BufferChangedEvent.getLength()",1,1,1
"org.eclipse.jdt.core.BufferChangedEvent.getOffset()",1,1,1
"org.eclipse.jdt.core.BufferChangedEvent.getText()",1,1,1
"org.eclipse.jdt.core.CheckDebugAttributes.checkClassFile(IClassFileReader)",3,3,4
"org.eclipse.jdt.core.CheckDebugAttributes.execute()",5,10,10
"org.eclipse.jdt.core.CheckDebugAttributes.setFile(String)",1,1,1
"org.eclipse.jdt.core.CheckDebugAttributes.setProperty(String)",1,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.ClasspathContainerInitializer()",1,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.canUpdateClasspathContainer(IPath,IJavaProject)",1,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.getComparisonID(IPath,IJavaProject)",2,2,2
"org.eclipse.jdt.core.ClasspathContainerInitializer.getDescription(IPath,IJavaProject)",1,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.requestClasspathContainerUpdate(IPath,IJavaProject,IClasspathContainer)",1,1,1
"org.eclipse.jdt.core.ClasspathVariableInitializer.ClasspathVariableInitializer()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.CompletionProposal(int,int)",3,1,5
"org.eclipse.jdt.core.CompletionProposal.create(int,int)",1,1,1
"org.eclipse.jdt.core.CompletionProposal.findParameterNames(IProgressMonitor)",2,3,6
"org.eclipse.jdt.core.CompletionProposal.getCompletion()",1,6,6
"org.eclipse.jdt.core.CompletionProposal.getCompletionLocation()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.getDeclarationSignature()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.getFlags()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.getKind()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.getName()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.getRelevance()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.getReplaceEnd()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.getReplaceStart()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.getSignature()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.getTokenEnd()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.getTokenStart()",1,1,1
"org.eclipse.jdt.core.CompletionProposal.setCompletion(char[])",1,1,1
"org.eclipse.jdt.core.CompletionProposal.setDeclarationSignature(char[])",1,1,1
"org.eclipse.jdt.core.CompletionProposal.setFlags(int)",1,1,1
"org.eclipse.jdt.core.CompletionProposal.setName(char[])",1,1,1
"org.eclipse.jdt.core.CompletionProposal.setParameterNames(char[][])",1,1,1
"org.eclipse.jdt.core.CompletionProposal.setRelevance(int)",2,1,2
"org.eclipse.jdt.core.CompletionProposal.setReplaceRange(int,int)",2,1,3
"org.eclipse.jdt.core.CompletionProposal.setSignature(char[])",1,1,1
"org.eclipse.jdt.core.CompletionProposal.setTokenRange(int,int)",2,1,3
"org.eclipse.jdt.core.CompletionRequestor.CompletionRequestor()",1,1,1
"org.eclipse.jdt.core.CompletionRequestor.beginReporting()",1,1,1
"org.eclipse.jdt.core.CompletionRequestor.completionFailure(IProblem)",1,1,1
"org.eclipse.jdt.core.CompletionRequestor.endReporting()",1,1,1
"org.eclipse.jdt.core.CompletionRequestor.isIgnored(int)",2,1,3
"org.eclipse.jdt.core.CompletionRequestor.setIgnored(int,boolean)",2,1,4
