Dependency metrics,Sex, 27 out 2017 13:53:51 BRST
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"com.loomcom.ant.tasks.jarbundler.AppBundleProperties",0,2,2,0,0
"com.loomcom.ant.tasks.jarbundler.AppBundleProperties.DocumentType",0,0,0,1,1
"com.loomcom.ant.tasks.jarbundler.AppBundleProperties.Service",0,0,0,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler",0,3,3,0,0
"com.loomcom.ant.tasks.jarbundler.JarBundler.JarFileList",0,0,0,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.JarFileSet",0,0,0,1,1
"com.microstar.xml.HandlerBase",0,2,2,0,0
"com.microstar.xml.XmlException",0,0,0,2,22
"com.microstar.xml.XmlParser",0,1,1,0,0
"doclet.GenerateTocXML",0,1,1,0,0
"gnu.regexp.CharIndexedCharArray",0,1,1,0,0
"gnu.regexp.CharIndexedInputStream",0,0,0,0,0
"gnu.regexp.CharIndexedReader",0,0,0,0,0
"gnu.regexp.CharIndexedString",0,0,0,0,0
"gnu.regexp.CharIndexedStringBuffer",0,0,0,0,0
"gnu.regexp.CharUnit",0,0,0,1,18
"gnu.regexp.IntPair",0,0,0,1,18
"gnu.regexp.RE",0,3,3,2,17
"gnu.regexp.REException",0,0,0,0,0
"gnu.regexp.REFilterInputStream",0,1,1,0,0
"gnu.regexp.REFilterReader",0,1,1,0,0
"gnu.regexp.REMatch",0,1,1,0,0
"gnu.regexp.REMatchEnumeration",0,0,0,0,0
"gnu.regexp.RESyntax",0,0,0,0,0
"gnu.regexp.REToken",0,0,0,0,0
"gnu.regexp.RETokenAny",0,0,0,0,0
"gnu.regexp.RETokenBackRef",0,0,0,0,0
"gnu.regexp.RETokenChar",0,1,1,0,0
"gnu.regexp.RETokenEnd",0,0,0,0,0
"gnu.regexp.RETokenEndSub",0,0,0,0,0
"gnu.regexp.RETokenLookAhead",0,0,0,0,0
"gnu.regexp.RETokenOneOf",0,0,0,0,0
"gnu.regexp.RETokenPOSIX",0,1,1,0,0
"gnu.regexp.RETokenRange",0,0,0,0,0
"gnu.regexp.RETokenRepeated",0,0,0,0,0
"gnu.regexp.RETokenStart",0,0,0,0,0
"gnu.regexp.RETokenWordBoundary",0,0,0,0,0
"gnu.regexp.UncheckedRE",0,0,0,0,0
"org.gjt.sp.jedit.Abbrevs",0,3,7,1,11
"org.gjt.sp.jedit.Abbrevs.Expansion",0,0,0,1,12
"org.gjt.sp.jedit.AbstractOptionPane",0,0,0,0,0
"org.gjt.sp.jedit.ActionContext",0,1,1,0,0
"org.gjt.sp.jedit.ActionListHandler",0,1,3,0,0
"org.gjt.sp.jedit.ActionSet",0,3,45,0,0
"org.gjt.sp.jedit.Autosave",0,2,3,0,0
"org.gjt.sp.jedit.BeanShell",0,4,5,0,0
"org.gjt.sp.jedit.BeanShell.CustomClassManager",0,0,0,1,1
"org.gjt.sp.jedit.BeanShellAction",0,2,4,0,0
"org.gjt.sp.jedit.Buffer",0,3,15,8,8
"org.gjt.sp.jedit.Buffer.TokenList",0,0,0,1,9
"org.gjt.sp.jedit.BufferHistory",2,5,6,2,2
"org.gjt.sp.jedit.BufferHistory.Entry",2,1,6,2,2
"org.gjt.sp.jedit.BufferHistory.RecentHandler",2,3,6,1,2
"org.gjt.sp.jedit.Debug",0,0,0,14,55
"org.gjt.sp.jedit.EBMessage",0,0,0,6,48
"org.gjt.sp.jedit.EBPlugin",0,1,3,0,0
"org.gjt.sp.jedit.EditAction",0,0,0,1,1
"org.gjt.sp.jedit.EditAction.Wrapper",0,2,4,0,0
"org.gjt.sp.jedit.EditBus",0,2,3,0,0
"org.gjt.sp.jedit.EditPane",2,6,19,5,5
"org.gjt.sp.jedit.EditPane.MarkerHighlight",2,1,19,1,5
"org.gjt.sp.jedit.EditPane.StatusHandler",2,1,19,1,5
"org.gjt.sp.jedit.EditPlugin",1,4,20,2,2
"org.gjt.sp.jedit.EditPlugin.Broken",1,1,20,1,2
"org.gjt.sp.jedit.EditPlugin.Deferred",0,1,21,0,0
"org.gjt.sp.jedit.EditServer",0,2,5,0,0
"org.gjt.sp.jedit.GUIUtilities",3,5,8,9,28
"org.gjt.sp.jedit.GUIUtilities.UnixWorkaround",3,4,8,3,28
"org.gjt.sp.jedit.GUIUtilities.UnixWorkaround.ComponentHandler",3,3,8,1,28
"org.gjt.sp.jedit.GUIUtilities.UnixWorkaround.WindowHandler",3,3,8,1,28
"org.gjt.sp.jedit.JARClassLoader",0,3,4,0,0
"org.gjt.sp.jedit.Macros",4,6,10,2,15
"org.gjt.sp.jedit.Macros.BeanShellHandler",4,2,10,1,15
"org.gjt.sp.jedit.Macros.Handler",4,2,10,3,15
"org.gjt.sp.jedit.Macros.Macro",4,2,10,3,15
