,instance,smell_type
0,org.apache.tools.ant.taskdefs.optional.net.FTPTask,Blob
1,org.apache.tools.ant.taskdefs.Javac,Blob
2,org.apache.tools.ant.taskdefs.Concat,Blob
3,org.apache.tools.ant.taskdefs.optional.net.FTP,Blob
4,org.apache.tools.ant.taskdefs.XSLTProcess,Blob
5,org.apache.tools.ant.taskdefs.SQLExec,Blob
6,org.apache.tools.ant.taskdefs.optional.jsp.JspC,Blob
7,org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool,Blob
8,org.apache.tools.ant.taskdefs.Javadoc,Blob
9,org.apache.tools.ant.Project,Blob
10,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,Blob
11,org.apache.tools.ant.taskdefs.Zip,Blob
12,org.apache.tools.bzip2.CBZip2OutputStream,Blob
13,org.apache.tools.ant.taskdefs.Java,Blob
14,org.apache.tools.ant.taskdefs.optional.junit.JUnitTask,Blob
15,org.apache.tools.ant.taskdefs.Execute,Blob
16,org.apache.tools.ant.taskdefs.Copy,Blob
17,org.apache.tools.ant.types.CommandlineJava,Blob
18,org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool,Blob
19,org.apache.tools.ant.util.LayoutPreservingProperties,Blob
20,org.apache.tools.ant.AntClassLoader,Blob
21,org.apache.tools.ant.taskdefs.optional.NetRexxC,Blob
22,org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool,Blob
23,org.apache.tools.ant.taskdefs.optional.XMLValidateTask,Blob
24,org.apache.tools.ant.Main,Blob
25,org.apache.tools.ant.DirectoryScanner,Blob
26,org.apache.tools.ant.taskdefs.Jar,Blob
27,org.apache.tools.ant.ComponentHelper,Blob
28,org.apache.tools.ant.IntrospectionHelper,Blob
29,org.apache.tools.ant.util.FileUtils,Blob
