,instance,smell_type
0,serde.src.org.apache.hadoop.hive.serde2.SerDeUtils,FeatureEnvy
1,ql.src.org.apache.hadoop.hive.ql.parse.SemanticAnalyzer,FeatureEnvy
2,ql.src.org.apache.hadoop.hive.ql.exec.DDLTask,FeatureEnvy
3,ql.src.org.apache.hadoop.hive.ql.parse.SemanticAnalyzer,FeatureEnvy
4,ql.src.org.apache.hadoop.hive.ql.parse.SemanticAnalyzer,FeatureEnvy
5,metastore.src.org.apache.hadoop.hive.metastore.ObjectStore,FeatureEnvy
6,ql.src.org.apache.hadoop.hive.ql.exec.DDLTask,FeatureEnvy
7,ql.src.org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer,FeatureEnvy
8,ql.src.org.apache.hadoop.hive.ql.index.bitmap.BitmapIndexHandler,FeatureEnvy
9,org.apache.hadoop.hive.ql.security.authorization.DefaultHiveAuthorizationProvider,FeatureEnvy
10,org.apache.hadoop.hive.serde2.lazy.objectinspector.LazyObjectInspectorFactory,FeatureEnvy
11,org.apache.hadoop.hive.metastore.model.MPartitionPrivilege,FeatureEnvy
12,org.apache.hadoop.hive.ql.metadata.formatting.JsonMetaDataFormatter,FeatureEnvy
13,org.apache.hadoop.hive.ql.optimizer.GenMapRedUtils,FeatureEnvy
14,org.apache.hadoop.hive.ql.plan.GroupByDesc,FeatureEnvy
15,org.apache.hadoop.hive.ql.plan.PlanUtils,FeatureEnvy
16,org.apache.hadoop.hive.ql.metadata.Hive,FeatureEnvy
17,org.apache.hadoop.hive.ql.exec.ExplainTask,FeatureEnvy
18,org.apache.hadoop.hive.ql.exec.ExecDriver,FeatureEnvy
19,org.apache.hadoop.hive.ql.Driver,FeatureEnvy
20,org.apache.hadoop.hive.serde2.lazy.objectinspector.LazyObjectInspectorFactory,FeatureEnvy
21,org.apache.hadoop.hive.serde2.lazy.objectinspector.LazyObjectInspectorFactory,FeatureEnvy
