,instance,smell_type
0,org.apache.tools.ant.taskdefs.email.MimeMailer,LongMethod
1,org.apache.tools.ant.taskdefs.ExecuteJava,LongMethod
2,org.apache.tools.ant.taskdefs.optional.junit.JUnitTask,LongMethod
3,org.apache.tools.ant.taskdefs.optional.splash.SplashTask,LongMethod
4,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,LongMethod
5,org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,LongMethod
6,org.apache.tools.ant.taskdefs.email.EmailTask,LongMethod
7,org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool,LongMethod
8,org.apache.tools.ant.taskdefs.SQLExec,LongMethod
9,org.apache.tools.ant.taskdefs.Checksum,LongMethod
10,org.apache.tools.ant.DirectoryScanner,LongMethod
11,org.apache.tools.ant.taskdefs.AbstractCvsTask,LongMethod
12,org.apache.tools.ant.taskdefs.Javadoc,LongMethod
13,org.apache.tools.ant.taskdefs.Delete,LongMethod
14,org.apache.tools.ant.taskdefs.XSLTProcess,LongMethod
15,org.apache.tools.ant.taskdefs.Expand,LongMethod
16,org.apache.tools.ant.taskdefs.Copy,LongMethod
17,org.apache.tools.ant.taskdefs.Zip,LongMethod
18,org.apache.tools.ant.taskdefs.Ant,LongMethod
19,org.apache.tools.ant.taskdefs.Definer,LongMethod
20,org.apache.tools.ant.taskdefs.optional.net.FTPTaskMirrorImpl,LongMethod
21,org.apache.tools.ant.taskdefs.optional.net.FTP,LongMethod
22,org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool,LongMethod
23,org.apache.tools.ant.taskdefs.Parallel,LongMethod
24,org.apache.tools.ant.taskdefs.Zip,LongMethod
25,org.apache.tools.ant.taskdefs.LoadResource,LongMethod
26,org.apache.tools.ant.taskdefs.optional.Cab,LongMethod
27,org.apache.tools.ant.taskdefs.optional.NetRexxC,LongMethod
28,org.apache.tools.bzip2.CBZip2InputStream,LongMethod
29,org.apache.tools.bzip2.CBZip2OutputStream,LongMethod
30,org.apache.tools.bzip2.CBZip2OutputStream,LongMethod
31,org.apache.tools.ant.IntrospectionHelper,LongMethod
32,org.apache.tools.ant.helper.ProjectHelper2,LongMethod
33,org.apache.tools.ant.ComponentHelper,LongMethod
34,org.apache.tools.ant.IntrospectionHelper,LongMethod
35,org.apache.tools.ant.taskdefs.optional.EchoProperties,LongMethod
36,org.apache.tools.ant.taskdefs.XmlProperty,LongMethod
37,org.apache.tools.ant.taskdefs.Javadoc,LongMethod
38,org.apache.tools.ant.taskdefs.optional.ejb.JonasDeploymentTool,LongMethod
39,org.apache.tools.ant.taskdefs.optional.depend.Depend,LongMethod
40,org.apache.tools.ant.taskdefs.optional.depend.AntAnalyzer,LongMethod
41,org.apache.tools.ant.types.selectors.SelectorUtils,LongMethod
42,org.apache.tools.bzip2.CBZip2OutputStream,LongMethod
43,org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask,LongMethod
44,org.apache.tools.ant.taskdefs.optional.junit.JUnitTest,LongMethod
45,org.apache.tools.ant.DirectoryScanner,LongMethod
46,org.apache.tools.ant.taskdefs.Move,LongMethod
47,org.apache.tools.ant.taskdefs.optional.net.FTPTaskMirrorImpl,LongMethod
48,org.apache.tools.ant.taskdefs.optional.net.FTP,LongMethod
49,org.apache.tools.ant.taskdefs.Zip,LongMethod
50,org.apache.tools.ant.taskdefs.Checksum,LongMethod
51,org.apache.tools.ant.IntrospectionHelper,LongMethod
