,instance,smell_type
0,ParagraphListRewriter,ParallelInheritance
1,org.eclipse.jface.viewers.LabelProvider,ParallelInheritance
2,JavaSearchResultCollector,ParallelInheritance
3,TestASTRequestor,ParallelInheritance
4,TypeNameRequestor,ParallelInheritance
5,TypeNameRequestor,ParallelInheritance
6,org.eclipse.jdt.core.tests.model.ModifyingResourceTests,ParallelInheritance
7,ParagraphListRewriter,ParallelInheritance
8,ListRewriter,ParallelInheritance
9,SelectionOnQualifiedNameReference,ParallelInheritance
10,ListRewriter,ParallelInheritance
11,BaseConfigurationBlock,ParallelInheritance
12,AbstractJavaSearchTests,ParallelInheritance
13,AbstractASTTests,ParallelInheritance
14,SearchRequestor,ParallelInheritance
15,FullSourceWorkspaceTests,ParallelInheritance
16,org.eclipse.jdt.core.dom.ASTVisitor,ParallelInheritance
17,ASTVisitor,ParallelInheritance
18,ASTVisitor,ParallelInheritance
19,CompletionOnQualifiedNameReference,ParallelInheritance
