org.apache.tools.ant.types.RedirectorElement	public void configure(org.apache.tools.ant.taskdefs.Redirector, java.lang.String) 	redirector	B3	0/46
org.apache.tools.ant.taskdefs.MacroInstance	private org.apache.tools.ant.UnknownElement copy(org.apache.tools.ant.UnknownElement) 	rc	B4	0/35
org.apache.tools.ant.helper.ProjectHelperImpl.ProjectHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	helperImpl	B2	0/29
org.apache.tools.ant.helper.ProjectHelperImpl.ProjectHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	helperImpl	B12	0/17
org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate	public void execute() throws org.apache.tools.ant.BuildException	command	B1	0/26
org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate	public void execute() throws org.apache.tools.ant.BuildException	command	B3	0/24
org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate	public void execute() throws org.apache.tools.ant.BuildException	command	B5	0/22
org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate	public void execute() throws org.apache.tools.ant.BuildException	command	B7	0/20
org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate	public void execute() throws org.apache.tools.ant.BuildException	command	B9	0/18
org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate	public void execute() throws org.apache.tools.ant.BuildException	command	B11	0/16
org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate	public void execute() throws org.apache.tools.ant.BuildException	command	B13	0/14
org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate	public void execute() throws org.apache.tools.ant.BuildException	command	B15	0/12
org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate	public void execute() throws org.apache.tools.ant.BuildException	command	B17	0/10
org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate	public void execute() throws org.apache.tools.ant.BuildException	command	B19	0/8
