Dependency metrics,Sex, 6 out 2017 10:08:02 BRT
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.cassandra.auth.AllowAllAuthenticator",0,2,3,0,0
"org.apache.cassandra.auth.AllowAllAuthenticator.Negotiator",0,1,1,1,1
"org.apache.cassandra.auth.AllowAllAuthorizer",0,0,0,0,0
"org.apache.cassandra.auth.AllowAllInternodeAuthenticator",0,1,1,6,2.284
"org.apache.cassandra.auth.AuthCache",0,0,0,0,0
"org.apache.cassandra.auth.AuthConfig",642,5,1.117,1,2.282
"org.apache.cassandra.auth.AuthKeyspace",642,7,1.117,1,2.282
"org.apache.cassandra.auth.AuthSchemaChangeListener",642,4,1.117,1,2.282
"org.apache.cassandra.auth.AuthenticatedUser",0,1,1.118,2,2
"org.apache.cassandra.auth.CassandraAuthorizer",0,17,1.143,0,0
"org.apache.cassandra.auth.CassandraLoginModule",0,5,1.118,0,0
"org.apache.cassandra.auth.CassandraPrincipal",0,0,0,0,0
"org.apache.cassandra.auth.CassandraRoleManager",0,13,1.119,2,5
"org.apache.cassandra.auth.CassandraRoleManager.Role",0,0,0,1,6
"org.apache.cassandra.auth.DataResource",642,3,1.117,2,2.282
"org.apache.cassandra.auth.DataResource.Level",0,0,0,1,2.283
"org.apache.cassandra.auth.FunctionResource",0,10,1.130,1,1
"org.apache.cassandra.auth.FunctionResource.Level",0,0,0,1,2
"org.apache.cassandra.auth.IRoleManager.Option",0,0,0,2,2.284
"org.apache.cassandra.auth.JMXResource",0,2,2,0,0
"org.apache.cassandra.auth.JMXResource.Level",0,0,0,1,1
"org.apache.cassandra.auth.PasswordAuthenticator",2,16,1.123,4,4
"org.apache.cassandra.auth.PasswordAuthenticator.CredentialsCache",2,3,1.123,1,4
"org.apache.cassandra.auth.PasswordAuthenticator.PlainTextSaslAuthenticator",2,3,1.123,1,4
"org.apache.cassandra.auth.Permission",0,0,0,21,2.283
"org.apache.cassandra.auth.PermissionDetails",0,0,0,0,0
"org.apache.cassandra.auth.PermissionsCache",0,3,1.118,0,0
"org.apache.cassandra.auth.Resources",0,1,2,0,0
"org.apache.cassandra.auth.RoleOptions",0,5,1.118,0,0
"org.apache.cassandra.auth.RoleResource",0,4,1.119,2,2
"org.apache.cassandra.auth.RoleResource.Level",0,0,0,1,3
"org.apache.cassandra.auth.Roles",0,1,1.118,0,0
"org.apache.cassandra.auth.RolesCache",0,2,1.118,0,0
"org.apache.cassandra.auth.jmx.AuthenticationProxy",0,2,3,1,2
"org.apache.cassandra.auth.jmx.AuthenticationProxy.JMXCallbackHandler",0,1,1,1,3
"org.apache.cassandra.auth.jmx.AuthorizationProxy",1,4,1.119,1,1
"org.apache.cassandra.auth.jmx.AuthorizationProxy.JMXPermissionsCache",1,2,1.119,1,1
"org.apache.cassandra.batchlog.Batch",642,2,1.117,3,2.282
"org.apache.cassandra.batchlog.Batch.Serializer",642,10,1.117,1,2.282
"org.apache.cassandra.batchlog.BatchRemoveVerbHandler",642,2,1.117,1,2.282
"org.apache.cassandra.batchlog.BatchStoreVerbHandler",642,4,1.117,1,2.282
"org.apache.cassandra.batchlog.BatchlogManager",642,17,1.117,5,2.282
"org.apache.cassandra.batchlog.BatchlogManager.EndpointFilter",642,2,1.117,1,2.282
"org.apache.cassandra.batchlog.BatchlogManager.ReplayingBatch",642,13,1.117,1,2.282
"org.apache.cassandra.batchlog.BatchlogManager.ReplayingBatch.ReplayWriteResponseHandler",642,3,1.117,1,2.282
"org.apache.cassandra.cache.AutoSavingCache",642,16,1.117,2,2.282
"org.apache.cassandra.cache.AutoSavingCache.Writer",642,17,1.117,2,2.282
"org.apache.cassandra.cache.CacheKey",0,2,1.118,0,0
"org.apache.cassandra.cache.CaffeineCache",0,0,0,0,0
"org.apache.cassandra.cache.ChunkCache",642,6,1.117,9,2.282
"org.apache.cassandra.cache.ChunkCache.Buffer",642,1,1.117,2,2.282
"org.apache.cassandra.cache.ChunkCache.CachingRebufferer",642,5,1.117,1,2.282
"org.apache.cassandra.cache.ChunkCache.Key",0,0,0,2,2.283
"org.apache.cassandra.cache.CounterCacheKey",0,16,1.118,0,0
"org.apache.cassandra.cache.InstrumentingCache",0,1,17,2,2.283
"org.apache.cassandra.cache.KeyCacheKey",642,6,1.117,5,2.282
"org.apache.cassandra.cache.NopCacheProvider",0,1,1,0,0
"org.apache.cassandra.cache.NopCacheProvider.NopCache",0,0,0,1,1
"org.apache.cassandra.cache.OHCProvider",0,4,1.122,0,0
"org.apache.cassandra.cache.OHCProvider.KeySerializer",0,5,1.118,1,1
"org.apache.cassandra.cache.OHCProvider.OHCacheAdapter",0,0,0,1,1
"org.apache.cassandra.cache.OHCProvider.ValueSerializer",0,6,1.119,1,1
"org.apache.cassandra.cache.RefCountedMemory",0,1,1.118,0,0
"org.apache.cassandra.cache.RowCacheKey",642,7,1.117,2,2.282
"org.apache.cassandra.cache.RowCacheSentinel",0,0,0,1,2.283
"org.apache.cassandra.cache.SerializingCache",0,5,1.120,0,0
"org.apache.cassandra.cache.SerializingCacheProvider",0,2,1.119,0,0
"org.apache.cassandra.cache.SerializingCacheProvider.RowCacheSerializer",0,5,1.118,1,1
"org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService",2,3,1.120,1,2
"org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService.FutureTask",2,3,1.120,2,2
"org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService.LocalSessionFutureTask",2,1,1.120,1,2
"org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor",642,2,1.117,4,2.282
"org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor.UncomplainingRunnable",642,1,1.117,1,2.282
"org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor",642,2,1.117,8,2.282
"org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor.LocalSessionWrapper",0,0,0,1,2.283
"org.apache.cassandra.concurrent.ExecutorLocals",642,4,1.117,2,2.282
"org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutor",0,0,0,1,4
"org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor",0,1,16,10,2.283
"org.apache.cassandra.concurrent.NamedThreadFactory",0,0,0,29,2.286
"org.apache.cassandra.concurrent.SEPExecutor",1,5,26,5,5
"org.apache.cassandra.concurrent.SEPWorker",0,2,1.118,0,0
"org.apache.cassandra.concurrent.SEPWorker.Work",0,0,0,3,2.286
"org.apache.cassandra.concurrent.ScheduledExecutors",0,0,0,25,2.285
"org.apache.cassandra.concurrent.SharedExecutorPool",0,1,1,1,2.283
"org.apache.cassandra.concurrent.Stage",0,0,0,26,2.283
"org.apache.cassandra.concurrent.StageManager",642,5,1.117,24,2.282
"org.apache.cassandra.concurrent.StageManager.TracingExecutor",0,0,0,1,2.283
"org.apache.cassandra.config.Config",642,10,1.117,41,2.282
"org.apache.cassandra.config.Config.CommitFailurePolicy",0,0,0,5,2.283
