Chidamber-Kemerer metrics,Sex, 6 out 2017 13:35:53 BRT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.apache.hadoop.fs.DefaultFileAccess",4,0,1,0,18,11
"org.apache.hadoop.fs.ProxyFileSystem",2,3,2,1,81,40
"org.apache.hadoop.fs.ProxyLocalFileSystem",3,3,1,0,17,11
"org.apache.hadoop.fs.ProxyLocalFileSystem.PFileChecksum",2,1,2,0,9,8
"org.apache.hadoop.hive.VersionTestBase",3,0,1,2,11,50
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters",14,0,1,1,28,24
"org.apache.hadoop.hive.accumulo.AccumuloDefaultIndexScanner",8,0,1,0,28,21
"org.apache.hadoop.hive.accumulo.AccumuloHiveConstants",12,0,0,0,0,0
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow",13,0,1,0,25,28
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.ColumnTuple",2,0,3,0,11,16
"org.apache.hadoop.hive.accumulo.AccumuloIndexLexicoder",6,0,1,0,12,22
"org.apache.hadoop.hive.accumulo.AccumuloIndexScanner",n/a,n/a,n/a,n/a,3,n/a
"org.apache.hadoop.hive.accumulo.AccumuloIndexScannerException",3,0,0,0,3,3
"org.apache.hadoop.hive.accumulo.AccumuloStorageHandler",31,1,9,0,60,61
"org.apache.hadoop.hive.accumulo.HiveAccumuloHelper",10,0,2,0,54,26
"org.apache.hadoop.hive.accumulo.LazyAccumuloMap",16,3,1,0,33,17
"org.apache.hadoop.hive.accumulo.LazyAccumuloRow",23,3,1,0,32,19
"org.apache.hadoop.hive.accumulo.TestAccumuloConnectionParameters",1,0,3,0,17,6
"org.apache.hadoop.hive.accumulo.TestAccumuloDefaultIndexScanner",8,0,1,0,41,15
"org.apache.hadoop.hive.accumulo.TestAccumuloHiveRow",1,0,4,0,14,8
"org.apache.hadoop.hive.accumulo.TestAccumuloIndexLexicoder",2,0,8,0,20,12
"org.apache.hadoop.hive.accumulo.TestAccumuloIndexParameters",6,0,5,0,20,6
"org.apache.hadoop.hive.accumulo.TestAccumuloIndexParameters.MockAccumuloIndexScanner",2,0,3,0,3,3
"org.apache.hadoop.hive.accumulo.TestAccumuloStorageHandler",10,0,2,0,47,15
"org.apache.hadoop.hive.accumulo.TestHiveAccumuloHelper",2,0,5,0,34,7
"org.apache.hadoop.hive.accumulo.TestLazyAccumuloMap",14,0,1,0,24,5
"org.apache.hadoop.hive.accumulo.TestLazyAccumuloRow",19,0,1,0,21,3
"org.apache.hadoop.hive.accumulo.Utils",4,0,1,0,22,39
"org.apache.hadoop.hive.accumulo.columns.ColumnEncoding",30,n/a,4,n/a,15,21
"org.apache.hadoop.hive.accumulo.columns.ColumnMapper",19,0,3,0,18,23
"org.apache.hadoop.hive.accumulo.columns.ColumnMapping",19,0,4,3,8,6
"org.apache.hadoop.hive.accumulo.columns.ColumnMappingFactory",11,0,1,0,20,20
"org.apache.hadoop.hive.accumulo.columns.HiveAccumuloColumnMapping",14,1,1,0,7,10
"org.apache.hadoop.hive.accumulo.columns.HiveAccumuloMapColumnMapping",12,1,4,0,12,11
"org.apache.hadoop.hive.accumulo.columns.HiveAccumuloRowIdColumnMapping",15,1,0,0,4,2
"org.apache.hadoop.hive.accumulo.columns.HiveColumn",1,0,2,0,4,3
"org.apache.hadoop.hive.accumulo.columns.InvalidColumnMappingException",3,0,0,0,4,4
"org.apache.hadoop.hive.accumulo.columns.TestColumnEncoding",2,0,9,0,25,15
"org.apache.hadoop.hive.accumulo.columns.TestColumnMapper",12,0,1,0,29,10
"org.apache.hadoop.hive.accumulo.columns.TestColumnMappingFactory",10,0,6,0,27,13
"org.apache.hadoop.hive.accumulo.columns.TestHiveAccumuloColumnMapping",4,0,1,0,5,1
"org.apache.hadoop.hive.accumulo.columns.TestHiveRowIdColumnMapping",4,0,1,0,3,1
"org.apache.hadoop.hive.accumulo.mr.AccumuloIndexDefinition",1,0,3,0,9,12
"org.apache.hadoop.hive.accumulo.mr.AccumuloIndexedOutputFormat",3,1,2,1,15,7
"org.apache.hadoop.hive.accumulo.mr.AccumuloIndexedOutputFormat.AccumuloRecordWriter",4,0,1,0,54,36
"org.apache.hadoop.hive.accumulo.mr.HiveAccumuloRecordReader",3,0,4,0,26,13
"org.apache.hadoop.hive.accumulo.mr.HiveAccumuloSplit",2,2,1,0,18,8
"org.apache.hadoop.hive.accumulo.mr.HiveAccumuloTableInputFormat",23,0,1,0,73,33
"org.apache.hadoop.hive.accumulo.mr.HiveAccumuloTableOutputFormat",9,2,1,0,32,12
"org.apache.hadoop.hive.accumulo.mr.IndexOutputConfigurator",2,2,3,0,9,8
"org.apache.hadoop.hive.accumulo.mr.IndexOutputConfigurator.WriteOpts",1,n/a,0,n/a,1,1
"org.apache.hadoop.hive.accumulo.mr.TestHiveAccumuloTableInputFormat",28,0,1,0,93,41
"org.apache.hadoop.hive.accumulo.mr.TestHiveAccumuloTableOutputFormat",19,0,2,0,85,9
"org.apache.hadoop.hive.accumulo.mr.TestHiveAccumuloTypes",67,0,1,0,95,4
"org.apache.hadoop.hive.accumulo.predicate.AccumuloPredicateHandler",51,0,1,0,59,37
"org.apache.hadoop.hive.accumulo.predicate.AccumuloRangeGenerator",30,0,1,0,39,60
"org.apache.hadoop.hive.accumulo.predicate.NoSuchCompareOpException",3,0,0,0,3,3
"org.apache.hadoop.hive.accumulo.predicate.NoSuchPrimitiveComparisonException",2,0,0,0,3,3
"org.apache.hadoop.hive.accumulo.predicate.PrimitiveComparisonFilter",11,2,1,0,21,8
"org.apache.hadoop.hive.accumulo.predicate.PushdownTuple",16,0,3,0,18,9
"org.apache.hadoop.hive.accumulo.predicate.TestAccumuloPredicateHandler",43,0,1,0,88,47
"org.apache.hadoop.hive.accumulo.predicate.TestAccumuloRangeGenerator",27,0,1,0,38,14
"org.apache.hadoop.hive.accumulo.predicate.TestPrimitiveComparisonFilter",1,0,1,0,10,4
"org.apache.hadoop.hive.accumulo.predicate.compare.CompareOp",n/a,n/a,n/a,n/a,3,n/a
"org.apache.hadoop.hive.accumulo.predicate.compare.DoubleCompare",6,0,2,0,9,9
"org.apache.hadoop.hive.accumulo.predicate.compare.Equal",10,0,1,0,6,5
"org.apache.hadoop.hive.accumulo.predicate.compare.GreaterThan",10,0,1,0,6,5
"org.apache.hadoop.hive.accumulo.predicate.compare.GreaterThanOrEqual",10,0,1,0,6,5
"org.apache.hadoop.hive.accumulo.predicate.compare.IntCompare",6,0,2,0,9,9
"org.apache.hadoop.hive.accumulo.predicate.compare.LessThan",10,0,1,0,6,5
"org.apache.hadoop.hive.accumulo.predicate.compare.LessThanOrEqual",9,0,1,0,6,5
"org.apache.hadoop.hive.accumulo.predicate.compare.Like",7,0,1,0,6,5
"org.apache.hadoop.hive.accumulo.predicate.compare.LongCompare",6,0,2,0,9,9
"org.apache.hadoop.hive.accumulo.predicate.compare.NotEqual",8,0,1,0,6,5
"org.apache.hadoop.hive.accumulo.predicate.compare.PrimitiveComparison",n/a,n/a,n/a,n/a,9,n/a
"org.apache.hadoop.hive.accumulo.predicate.compare.StringCompare",6,0,1,0,9,9
"org.apache.hadoop.hive.accumulo.predicate.compare.TestDoubleCompare",8,0,1,0,29,10
"org.apache.hadoop.hive.accumulo.predicate.compare.TestIntCompare",8,0,1,0,29,9
"org.apache.hadoop.hive.accumulo.predicate.compare.TestLongComparison",8,0,1,0,30,10
"org.apache.hadoop.hive.accumulo.predicate.compare.TestStringCompare",8,0,1,0,25,8
"org.apache.hadoop.hive.accumulo.serde.AccumuloCompositeRowId",12,3,1,1,10,4
"org.apache.hadoop.hive.accumulo.serde.AccumuloIndexParameters",9,0,1,0,12,12
"org.apache.hadoop.hive.accumulo.serde.AccumuloRowIdFactory",n/a,n/a,n/a,n/a,5,n/a
